Course number,Course title,Registration restrictions,Units,Type,Section,Session,Time,Days,Seats,Registered,Waitlist,Instructor,Room,Department
CSCI-100xg,Explorations in Computing,,4.0 units,Lecture,30211D,1.0,11:00-12:20pm,"Tue, Thu",60.0,0.0,0.0,Sathyanaraya Raghavachary,ZHS352,CSCI
,,,,Lab,30212R,1.0,12:00-12:50pm,Wednesday,30.0,0.0,0.0,,SGM226,CSCI
,,,,Lab,30213R,1.0,1:00-1:50pm,Wednesday,30.0,0.0,0.0,,KAP145,CSCI
CSCI-102L,Introduction to Programming,,2.0 units,Lecture,29918D,1.0,1:00-1:50pm,"Mon, Wed",120.0,0.0,0.0,Mark Redekopp,GFS106,CSCI
,,,,Lecture,30235D,1.0,2:00-2:50pm,"Mon, Wed",120.0,0.0,0.0,Mark Redekopp,GFS106,CSCI
,,,,Lab,30010R,1.0,5:00-5:50pm,Tuesday,18.0,0.0,0.0,,GFS114,CSCI
,,,,Lab,30011R,1.0,12:00-12:50pm,Tuesday,18.0,0.0,0.0,,DMC108,CSCI
,,,,Lab,30012R,1.0,12:00-12:50pm,Tuesday,18.0,0.0,0.0,,THH106,CSCI
,,,,Lab,30013R,1.0,11:00-11:50am,Wednesday,18.0,0.0,0.0,,DMC107,CSCI
,,,,Lab,30018R,1.0,12:00-12:50pm,Wednesday,18.0,0.0,0.0,,KAP140,CSCI
,,,,Lab,30021R,1.0,12:00-12:50pm,Wednesday,18.0,0.0,0.0,,THH106,CSCI
,,,,Lab,30080R,1.0,5:00-5:50pm,Tuesday,18.0,0.0,0.0,,GFS204,CSCI
,,,,Lab,30081R,1.0,12:00-12:50pm,Tuesday,18.0,0.0,0.0,,SLH102,CSCI
,,,,Lab,30082R,1.0,12:00-12:50pm,Tuesday,15.0,0.0,0.0,,LVL3C,CSCI
,,,,Lab,30083R,1.0,11:00-11:50am,Wednesday,15.0,0.0,0.0,,LVL3C,CSCI
,,,,Lab,30084R,1.0,12:00-12:50pm,Wednesday,18.0,0.0,0.0,,DMC258,CSCI
,,,,Lab,30086R,1.0,12:00-12:50pm,Wednesday,15.0,0.0,0.0,,LVL3C,CSCI
,,,,Lab,30088R,1.0,10:00-10:50am,Tuesday,18.0,0.0,0.0,,VPD107,CSCI
,,,,Lab,30163R,1.0,4:00-4:50pm,Wednesday,15.0,0.0,0.0,,HED103,CSCI
,,,,Lab,30364R,1.0,10:00-10:50am,Tuesday,15.0,0.0,0.0,,LVL3C,CSCI
,,,,Lab,30365R,1.0,4:00-4:50pm,Tuesday,18.0,0.0,0.0,,GFS213,CSCI
,,,,Lab,30370R,1.0,4:00-4:50pm,Tuesday,18.0,0.0,0.0,,GFS111,CSCI
,,,,Quiz,30328R,1.0,7:00-8:50pm,Wednesday,240.0,0.0,0.0,,THH201,CSCI
CSCI-103L,Object Oriented Programming,P,4.0 units,Lecture,29919D,1.0,8:00-9:20am,"Tue, Thu",40.0,0.0,0.0,,DMC101,CSCI
,,,,Lecture,29920D,1.0,11:00-12:20pm,"Tue, Thu",120.0,0.0,0.0,Andrew Goodney,THH102,CSCI
,,,,Lecture,29934D,1.0,9:30-10:50am,"Tue, Thu",230.0,0.0,0.0,Andrew Goodney,SAL101,CSCI
,,,,Lab,29902R,1.0,3:00-4:50pm,Friday,33.0,0.0,0.0,,SAL127,CSCI
,,,,Lab,29913R,1.0,4:00-5:50pm,Friday,30.0,0.0,0.0,,SAL109,CSCI
,,,,Lab,29914R,1.0,4:00-5:50pm,Friday,33.0,0.0,0.0,,SAL126,CSCI
,,,,Lab,29924R,1.0,2:00-3:50pm,Friday,30.0,0.0,0.0,,SAL109,CSCI
,,,,Lab,29925R,1.0,2:00-3:50pm,Friday,33.0,0.0,0.0,,SAL126,CSCI
,,,,Lab,29926R,1.0,10:00-11:50am,Friday,33.0,0.0,0.0,,SAL126,CSCI
,,,,Lab,29927R,1.0,12:00-1:50pm,Friday,33.0,0.0,0.0,,SAL126,CSCI
,,,,Lab,30103R,1.0,9:00-10:50am,Friday,33.0,0.0,0.0,,SAL127,CSCI
,,,,Lab,30104R,1.0,6:00-7:50pm,Friday,30.0,0.0,0.0,,SAL109,CSCI
