Course number,Course title,Instructor
CSCI-100xg,Explorations in Computing,Sathyanaraya Raghavachary
,,
,,
CSCI-102L,Introduction to Programming,Mark Redekopp
,,Mark Redekopp
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CSCI-103L,Object Oriented Programming,
,,Andrew Goodney
,,Andrew Goodney
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CSCI-104L,Data Structures,Carter Slocum
,,Carter Slocum
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CSCI-170,Discrete Methods in Computer Science,Aaron Cote
,,Aaron Cote
,,Aaron Cote
,,Aaron Cote
,,
,,
,,
,,
,,
,,
,,
CSCI-201,Principles of Software Development,
,,
,,Marco Papa
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CSCI-270,Introduction to Algorithms and Theory of Computing,Mate Szabo
,,
,,
,,
,,Jiapeng Zhang
,,
,,
,,
,,
,,
CSCI-299,Special Topics,
,Programming Fundamentals for Computational Science,
,Programming for Applications for Computational Science,
CSCI-310,Software Engineering,Chao Wang
CSCI-350,Fundamentals of Operating Systems,
,,
,,
,,Tatyana Ryutov
,,
CSCI-353,Internetworking,
,,
,,Ramesh Govindan
,,
CSCI-356,Computer Systems,Mark Redekopp
,,Marco Paolieri
,,
,,
,,
,,Mark Redekopp Marco Paolieri
CSCI-360,Artificial Intelligence: Principles and Foundations,
,,
,,Mohammad Reza Rajati
,,
CSCI-368,Cross-Platform App Development,
,,
CSCI-380,Video Game Programming,Sanjay Madhav
,,
,,Matthew Whiting
CSCI-401,Capstone: Design and Construction of Large Software Systems,Victor Adamchik
,,Victor Adamchik
CSCI-402,Operating Systems,William Cheng
,,
,,William Cheng
,,
,,William Cheng
,,
CSCI-420,Computer Graphics,
,,
CSCI-426,Game Prototyping,Andrew Nealen
CSCI-430,Computer and Network Security,
,,Jelena Mirkovic
CSCI-431,Principles of Functional Programming,Mukund Raghothaman
CSCI-435,Professional C++,Sanjay Madhav
CSCI-444,Natural Language Processing,Swabha Swayamdipta
CSCI-445L,Introduction to Robotics,
,,Heather Culbertson
,,
,,
CSCI-450,Introduction to Computer Networks,Feng Qian
,,Feng Qian
,,Cauligi Raghavendra
,,Cauligi Raghavendra
,,Ali Zahid
,,Ali Zahid
,,Ali Zahid
,,Ali Zahid
,,Ali Zahid
,,Ali Zahid
CSCI-452,Parallel and Distributed Computation,
,,
CSCI-454L,Introduction to System-on-Chip,Shahin Nazarian
,,
CSCI-455x,Introduction to Programming Systems Design,Claire Bono
,,
,,
,,
,,
,,Claire Bono
,,
CSCI-457,Computer Systems Organization,Gandhi Puvvada
,,
,,Gandhi Puvvada
,,
,,
,,
,,
,,
CSCI-458,Numerical Methods,
,,
,,
,,
,,
,,
CSCI-461,Artificial Intelligence for Sustainable Development,Bistra Dilkina
CSCI-467,Introduction to Machine Learning,Victor Adamchik
,,
CSCI-476,Cryptography: Secure Communication and Computation,
CSCI-485,File and Database Management,
CSCI-490x,Directed Research,
CSCI-491aL,Advanced Game Project,Scott Easley
CSCI-495,Senior Project,
CSCI-502a,Numerical Analysis,
CSCI-505a,Applied Probability,
CSCI-510,Software Management and Economics,Mahdi Eslamimehr
CSCI-513,Autonomous Cyber-Physical Systems,Jyotirmoy Deshmukh
CSCI-517,Research Methods and Analysis for User Studies,
,,
CSCI-522,Game Engine Development,Artjoms Kovalovs
CSCI-526,Advanced Mobile Devices and Game Consoles,Scott Easley
,,Scott Easley
CSCI-529a,Graduate Advanced Game Project,Andrew Nealen
CSCI-530,Security Systems,Clifford Neuman
,,
,,Clifford Neuman
,,
CSCI-536,Linear Programming and Extensions,Niloufar Izadinia
CSCI-544,Applied Natural Language Processing,Jieyu Zhao
CSCI-545,Robotics,
,,Daniel Seita
,,
CSCI-547,Robot Dynamics and Control,Quang Nguyen
CSCI-550,Advanced Data Stores,Ibrahim Sabek
CSCI-551,Computer Networking,John Heidemann
,,John Heidemann
CSCI-554,Cyber-Physical Systems: A Computing Perspective,Paul Bogdan
,,
,,
CSCI-557,Computer Systems Architecture,Murali Annavaram
,,Murali Annavaram
,,
,,
CSCI-561,Foundations of Artificial Intelligence,Wei-Min Shen
,,
,,
,,Wei-Min Shen
,,
,,
CSCI-566,Deep Learning and Its Applications,Yan Liu
CSCI-567,Machine Learning,
,,
,,
,,
,,
,,
CSCI-570,Analysis of Algorithms,Shahriar Shamsian
,,
,,
,,Shahriar Shamsian
,,
,,
,,Shahriar Shamsian
,,
,,
,,Mate Szabo
,,
,,
CSCI-571,Web Technologies,Marco Papa
,,Marco Papa
