"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ACCT-370","External Financial Reporting Issues","P","4.0 units","Lecture","14025D","001","2:00-3:50pm","Tue, Thu","40","0","0","","ACC201"
"","","","","Lecture","14026D","001","4:00-5:50pm","Tue, Thu","40","0","0","","ACC201"
"","","","","Lecture","14027D","001","6:00-7:50pm","Tue, Thu","40","0","0","","ACC201"
"","","","","Lab","14029R","001","10:00-11:50am","Friday","120","0","0","","HOHEDI"
"ACCT-371","Introduction to Accounting Systems","P","4.0 units","Lecture","14040D","001","10:00-11:50am","Mon, Wed","32","0","0","Andreas Simon","BRI8"
"","","","","Lecture","14041D","001","12:00-1:50pm","Mon, Wed","32","0","0","Andreas Simon","ACC236"
"","","","","Lecture","14042D","001","2:00-3:50pm","Mon, Wed","32","0","0","Andreas Simon","ACC236"
"","","","","Discussion","14044R","001","TBA","Friday","108","0","0","Andreas Simon","HOHEDI"
"ACCT-405","Introduction to Sustainability Reporting","","4.0 units","Lecture","14181R","001","4:00-5:50pm","Tue, Thu","36","0","0","Patricia Dechow","ACC205"
"ACCT-410x","Foundations of Accounting","M","4.0 units","Lecture","14090R","001","8:00-9:50am","Tue, Thu","36","0","0","Zivia Wilson Sweeney","JFF239"
"","","","","Lecture","14091R","001","4:00-5:50pm","Mon, Wed","36","0","0","","ACC201"
"","","","","Lecture","14093R","001","10:00-11:50am","Tue, Thu","36","0","0","Zivia Wilson Sweeney","JFF239"
"","","","","Lecture","14095R","001","4:00-5:50pm","Tue, Thu","36","0","0","Tracie Majors","ACC236"
"","","","","Lecture","14096R","001","8:00-9:50am","Tue, Thu","36","0","0","","ACC201"
"","","","","Lecture","14097R","001","8:00-9:50am","Mon, Wed","36","0","0","Ruben Davila","ACC201"
"ACCT-416","Financial Statement Analysis","P","4.0 units","Lecture","14105R","001","4:00-5:50pm","Mon, Wed","28","0","0","Tony Aaron","ACC236"
"","","","","Lecture","14106R","001","10:00-11:50am","Tue, Thu","28","0","0","Tony Aaron","ACC205"
"ACCT-451","Tax Analysis with Data Analytics","PM","4.0 units","Lecture","14061R","001","8:00-9:50am","Mon, Wed","28","0","0","Shiing-Wu Wang","ACC236"
"","","","","Lecture","14062R","001","10:00-11:50am","Mon, Wed","28","0","0","Shiing-Wu Wang","ACC236"
"","","","","Lab","14063R","001","12:00-1:50pm","Friday","78","0","0","Shiing-Wu Wang","HOH2"
"ACCT-456","Auditing with Data Analytics","PM","4.0 units","Lecture","14056R","001","12:00-1:50pm","Tue, Thu","28","0","0","Tracie Majors","ACC236"
"","","","","Lecture","14057R","001","2:00-3:50pm","Tue, Thu","28","0","0","Tracie Majors","ACC236"
"","","","","Discussion","14058R","001","10:00-11:50am","Friday","78","0","0","Tracie Majors","HOH2"
"ACCT-470","Advanced External Financial Reporting Issues","P","4.0 units","Lecture","14120R","001","10:00-11:50am","Mon, Wed","38","0","0","Smrity Randhawa","JFF236"
"ACCT-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","14180D","001","TBA","","10","0","0","","OFFICE"
"ACCT-494","Marshall Honors Research and Thesis","PMC","2.0 units, max 4","Lecture","14188D","001","TBA","","10","0","0","Maria Ogneva","OFFICE"
