"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-100g","Introduction to Visual Culture","","4.0 units","Lecture","11800R","001","9:30-10:50am","Tue, Thu","150","0","0","Samantha Burton","THH202"
"","","","","Discussion","11801R","001","9:00-9:50am","Friday","25","0","0","","DMC260"
"","","","","Discussion","11802R","001","10:00-10:50am","Friday","25","0","0","","DMC260"
"","","","","Discussion","11803R","001","11:00-11:50am","Friday","25","0","0","","WPH101"
"","","","","Discussion","11804R","001","12:00-12:50pm","Friday","25","0","0","","WPH203"
"","","","","Discussion","11814R","001","1:00-1:50pm","Friday","25","0","0","","DMC256"
"","","","","Discussion","11815R","001","2:00-2:50pm","Friday","25","0","0","","DMC256"
"AHIS-120gp","Foundations of Western Art: Prehistoric to Renaissance","","4.0 units","Lecture","11805R","001","11:00-12:20pm","Tue, Thu","150","0","0","Hector Reyes","SGM101"
"","","","","Discussion","11806R","001","9:00-9:50am","Friday","25","0","0","","WPH203"
"","","","","Discussion","11807R","001","10:00-10:50am","Friday","25","0","0","","WPH107"
"","","","","Discussion","11808R","001","10:00-10:50am","Friday","25","0","0","","MRF229"
"","","","","Discussion","11809R","001","9:00-9:50am","Friday","25","0","0","","SOSB47"
"","","","","Discussion","11810D","001","9:00-9:50am","Friday","25","0","0","","SOSB37"
"","","","","Discussion","11811D","001","10:00-10:50am","Friday","25","0","0","","SOSB37"
"AHIS-125gp","Arts of Asia: Antiquity to 1300","","4.0 units","Lecture","11838R","001","12:30-1:50pm","Tue, Thu","50","0","0","","DMC150"
"","","","","Discussion","11839R","001","9:00-9:50am","Friday","25","0","0","","DMC161"
"","","","","Discussion","11840R","001","10:00-10:50am","Friday","25","0","0","","DMC109"
"AHIS-201g","Digging into the Past","","4.0 units","Lecture","11868D","001","11:00-12:20pm","Tue, Thu","50","0","0","John Pollini","DMC150"
"","","","","Discussion","11869R","001","9:00-9:50am","Friday","24","0","0","","DMC160"
"","","","","Discussion","11870R","001","10:00-10:50am","Friday","26","0","0","","DMC158"
"AHIS-304mg","Art, Power and Identity in Renaissance Italy","","4.0 units","Lecture","11912R","001","9:30-10:50am","Tue, Thu","30","0","0","Lisa Pon","WPH107"
"AHIS-321","Greek Art and Archaeology","","4.0 units","Lecture","11923R","001","2:00-3:20pm","Tue, Thu","25","0","0","John Pollini","WPH203"
"AHIS-324","Late Antique Art and Archaeology","","4.0 units","Lecture","19830R","001","9:30-10:50am","Tue, Thu","19","0","0","Ann Marie Yasin","DMC154"
"AHIS-344","Baroque Art","","4.0 units","Lecture","11938D","001","3:30-4:50pm","Tue, Thu","36","0","0","Hector Reyes","DMC207"
"AHIS-366g","Picturing Democracy: American Art and Visual Culture, 1750-1900","","4.0 units","Lecture","11959R","001","3:30-4:50pm","Tue, Thu","19","0","0","Kate Flint","THH205"
"AHIS-369","Modern Art II: 1851-1940","","4.0 units","Lecture","11967R","001","9:30-10:50am","Tue, Thu","16","0","0","Amy Ogata","HED103"
"AHIS-373g","History and Theory of Photography","","4.0 units","Lecture","11971R","001","2:00-3:20pm","Tue, Thu","29","0","0","Samantha Burton","DMC158"
"AHIS-400x","Undergraduate Apprenticeship","MC","2.0 units, max 4","Lecture","11988D","001","TBA","","10","0","0","","OFFICE"
"AHIS-415","Object-Worlds: Histories and Theories of Things","","4.0 units","Lecture","11991D","001","10:00-12:50pm","Friday","19","0","0","Ann Marie Yasin","DMC111"
"AHIS-449","History of Prints and Drawings","","4.0 units","Lecture","12008D","001","3:30-6:20pm","Thursday","19","0","0","Lisa Pon","GFS218"
"AHIS-483","East Asian Garden and Designed Landscape","","4.0 units","Lecture","12035D","001","10:00-12:50pm","Friday","19","0","0","Miya Elise Desjardins","DMC107"
"AHIS-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","12041D","001","TBA","","10","0","0","","OFFICE"
"AHIS-494","Undergraduate Proseminar in Art History","","4.0 units","Lecture","12045D","001","2:00-4:50pm","Wednesday","8","0","0","Hector Reyes","WPH204"
"AHIS-495a","Undergraduate Honors Thesis","","2.0 units","Lecture","12047D","001","TBA","","7","0","0","","OFFICE"
"AHIS-495b","Undergraduate Honors Thesis","P","2.0 units","Lecture","12048D","001","TBA","","5","0","0","","OFFICE"
"AHIS-500","Methods and Theory of Art History","MC","4.0 units","Lecture","12055D","001","9:30-12:20pm","Tuesday","5","0","0","Vittoria Di Palma","THH308"
"AHIS-515","Seminar in Contemporary Art","","4.0 units, max 16","Lecture","12069D","001","2:00-4:50pm","Monday","10","0","0","Suzanne Hudson","THH308"
"AHIS-590","Directed Research","","1.0-12.0 units","Lecture","12101D","001","TBA","","4","0","0","","OFFICE"
"AHIS-593x","Practicum in Teaching the Liberal Arts","MC","2.0 units","Lecture","12105D","001","9:30-10:50am","Monday","6","0","0","","THH308"
"AHIS-790","Research","","1.0-12.0 units","Lecture","12180D","001","TBA","","10","0","0","","OFFICE"
"AHIS-794a","Doctoral Dissertation","C","2.0 units","Lecture","12190D","001","TBA","","10","0","0","","OFFICE"
"AHIS-794b","Doctoral Dissertation","PC","2.0 units","Lecture","12191D","001","TBA","","10","0","0","","OFFICE"
"AHIS-794c","Doctoral Dissertation","PC","2.0 units","Lecture","12192D","001","TBA","","15","0","0","","OFFICE"
"AHIS-794d","Doctoral Dissertation","PC","2.0 units","Lecture","12193D","001","TBA","","10","0","0","","OFFICE"
"AHIS-794z","Doctoral Dissertation","PC","0.0 units","Lecture","12194D","001","TBA","","10","0","0","","OFFICE"
