"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AMST-101mgw","Race and Class in Los Angeles","","4.0 units","Lecture","10310R","001","9:30-10:50am","Tue, Thu","150","0","0","Chrisshonna Nieva","THH201"
"","","","","Discussion","10311R","001","12:00-12:50pm","Wednesday","25","0","0","","THHB9"
"","","","","Discussion","10312R","001","10:00-10:50am","Wednesday","25","0","0","","DMC200"
"","","","","Discussion","10313R","001","9:00-9:50am","Wednesday","25","0","0","","ZHS360"
"","","","","Discussion","10314R","001","10:00-10:50am","Wednesday","25","0","0","","MRF206"
"","","","","Discussion","10315D","001","10:00-10:50am","Friday","25","0","0","","SGM601"
"","","","","Discussion","10316D","001","9:00-9:50am","Friday","25","0","0","","SGM601"
"AMST-135mgw","Peoples and Cultures of the Americas","","4.0 units","Lecture","10320R","001","2:00-3:20pm","Mon, Wed","200","0","0","Alicia Chavez","SAL101"
"","","","","Discussion","10321R","001","10:00-10:50am","Friday","25","0","0","","KAP148"
"","","","","Discussion","10322R","001","11:00-11:50am","Wednesday","25","0","0","","THH121"
"","","","","Discussion","10323R","001","11:00-11:50am","Friday","25","0","0","","THH112"
"","","","","Discussion","10324R","001","9:00-9:50am","Monday","25","0","0","","KAP167"
"","","","","Discussion","10325R","001","10:00-10:50am","Thursday","25","0","0","","GFS221"
"","","","","Discussion","10326R","001","10:00-10:50am","Monday","25","0","0","","KAP164"
"","","","","Discussion","10327R","001","11:00-11:50am","Thursday","25","0","0","","GFS221"
"","","","","Discussion","10328R","001","9:00-9:50am","Wednesday","25","0","0","","KAP159"
"AMST-150gw","The American War in Viet Nam","","4.0 units","Lecture","10338R","001","11:00-12:20pm","Tue, Thu","50","0","0","Rick Berg","THH212"
"","","","","Discussion","10341R","001","10:00-10:50am","Wednesday","25","0","0","","THHB10"
"","","","","Discussion","10342R","001","11:00-11:50am","Wednesday","25","0","0","","THHB10"
"AMST-200mg","Introduction to American Studies and Ethnicity","","4.0 units","Lecture","10345R","001","12:30-1:50pm","Tue, Thu","100","0","0","Alicia Chavez","MHP101"
"","","","","Discussion","10348R","001","11:00-11:50am","Tuesday","25","0","0","","MRF229"
"","","","","Discussion","10349R","001","11:00-11:50am","Thursday","25","0","0","","MHP102"
"","","","","Discussion","10350D","001","10:00-10:50am","Tuesday","25","0","0","","THH215"
"","","","","Discussion","10351R","001","10:00-10:50am","Thursday","25","0","0","","THH215"
"AMST-201g","LGBTQ America","","4.0 units","Lecture-Discussion","10353R","001","9:30-10:50am","Tue, Thu","30","0","0","Joshua Mitchell","DMC207"
"AMST-205g","Introduction to American Popular Culture","","4.0 units","Lecture","10360R","001","8:30-9:50am","Mon, Wed","50","0","0","Joshua Mitchell","THH212"
"","","","","Discussion","10361R","001","11:00-11:50am","Friday","25","0","0","","DMC260"
"","","","","Discussion","10362R","001","12:00-12:50pm","Friday","25","0","0","","GFS107"
