"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ANTH-101g","Body, Mind and Healing: Introduction to Medical Anthropology","","4.0 units","Lecture","10600R","001","12:30-1:50pm","Tue, Thu","25","0","0","Erin Moore","KAP141"
"ANTH-105g","Culture, Medicine and Politics","","4.0 units","Lecture","10701R","001","3:00-4:20pm","Mon, Wed","25","0","0","Silvana Matassini Eyzaguirre","KAP113"
"ANTH-140g","Mesoamerican Cosmovision and Culture","","4.0 units","Lecture","10601R","001","5:00-6:20pm","Tue, Thu","100","0","0","Eric Heller","SOSB2"
"","","","","Discussion","10602R","001","2:00-2:50pm","Wednesday","25","0","0","Eric Heller","KAP113"
"","","","","Discussion","10603R","001","9:00-9:50am","Wednesday","25","0","0","Eric Heller","THH112"
"","","","","Discussion","10604R","001","10:00-10:50am","Wednesday","25","0","0","Eric Heller","ZHS360"
"","","","","Discussion","10605R","001","11:00-11:50am","Wednesday","25","0","0","Eric Heller","ZHS360"
"ANTH-200Lg","The Human Animal","","4.0 units","Lecture","38511R","001","2:00-3:20pm","Mon, Wed","144","0","0","Chrisandra Kufeldt","MRF340"
"","","","","Lab","38513R","001","8:00-9:50am","Monday","10","0","0","","PEDB13"
"","","","","Lab","38515R","001","10:00-11:50am","Monday","10","0","0","","PEDB13"
"","","","","Lab","38516R","001","12:00-1:50pm","Monday","10","0","0","","PEDB13"
"","","","","Lab","38517R","001","2:00-3:50pm","Tuesday","10","0","0","","PEDB13"
"","","","","Lab","38518R","001","4:00-5:50pm","Tuesday","10","0","0","","PEDB13"
"","","","","Lab","38522R","001","6:00-7:50pm","Tuesday","10","0","0","","PEDB13"
"","","","","Lab","38528R","001","9:00-10:50am","Friday","10","0","0","","PEDB13"
"","","","","Lab","38537R","001","11:00-12:50pm","Friday","10","0","0","","PEDB13"
"","","","","Lab","38538R","001","1:00-2:50pm","Friday","10","0","0","","PEDB13"
"ANTH-201g","Introduction to Social and Cultural Anthropology","","4.0 units","Lecture","10610D","001","8:00-9:20am","Tue, Thu","94","0","0","Emily Zeamer","SGM101"
"","","","","Discussion","10611R","001","8:00-8:50am","Monday","23","0","0","","KAP159"
"","","","","Discussion","10612R","001","9:00-9:50am","Monday","23","0","0","","KAP159"
"","","","","Discussion","10613R","001","11:00-11:50am","Monday","24","0","0","","KAP167"
"","","","","Discussion","10614R","001","10:00-10:50am","Monday","24","0","0","","KAP167"
"ANTH-202g","Archaeology: Our Human Past","","4.0 units","Lecture","10615R","001","2:00-3:20pm","Tue, Thu","100","0","0","Tracie Mayfield","GFS106"
"","","","","Discussion","10616R","001","8:00-8:50am","Tuesday","25","0","0","Tracie Mayfield","GFS223"
"","","","","Discussion","10617R","001","9:00-9:50am","Tuesday","25","0","0","Tracie Mayfield","GFS223"
"","","","","Discussion","10718R","001","10:00-10:50am","Tuesday","25","0","0","Tracie Mayfield","GFS223"
"","","","","Discussion","10719R","001","11:00-11:50am","Tuesday","25","0","0","Tracie Mayfield","WPHB27"
"ANTH-203g","Global Media","","4.0 units","Lecture","10902R","001","8:00-9:20am","Tue, Thu","25","0","0","Jennifer Cool","WPHB30"
"ANTH-205g","Introduction to Global Studies and Cross-cultural Research","","4.0 units","Lecture-Discussion","10618R","001","2:00-3:20pm","Wed, Fri","25","0","0","Hrag Papazian","MRF229"
"ANTH-220g","Anthropology of the Environment","","4.0 units","Lecture","10769R","001","11:00-12:20pm","Tue, Thu","25","0","0","Eduardo Romero Dianderas",""
"ANTH-263g","Exploring Culture through Film","","4.0 units","Lecture","10660R","001","9:30-10:50am","Mon, Wed","100","0","0","Xochitl Ruiz","GFS106"
"","","","","Discussion","10661R","001","8:00-8:50am","Monday","25","0","0","","GFS108"
"","","","","Discussion","10662R","001","11:00-11:50am","Monday","25","0","0","","MHP102"
"","","","","Discussion","10663R","001","8:00-8:50am","Wednesday","25","0","0","","GFS108"
"","","","","Discussion","10664R","001","11:00-11:50am","Wednesday","25","0","0","","KAP164"
"","","","","Lecture","10665R","001","9:30-10:50am","Tue, Thu","100","0","0","Jennifer Cool","WPHB27"
"","","","","Discussion","10666R","001","8:00-8:50am","Tuesday","25","0","0","","GFS108"
"","","","","Discussion","10667R","001","1:00-1:50pm","Tuesday","25","0","0","","VHE206"
"","","","","Discussion","10668R","001","8:00-8:50am","Thursday","25","0","0","","WPH107"
"","","","","Discussion","10669R","001","1:00-1:50pm","Thursday","25","0","0","","VHE206"
"ANTH-272","Mindfulness and Culture","","4.0 units","Lecture","10777R","001","9:30-10:50am","Mon, Wed","20","0","0","Thomas Ward","THH205"
"ANTH-273gw","Shamans, Spirits and Ancestors: Non-Western Religious Tradit","","4.0 units","Lecture","10715R","001","2:00-3:20pm","Tue, Thu","25","0","0","Janet Hoskins","DMC211"
"ANTH-300","Evolution, Ecology, and Culture","","4.0 units","Lecture","38529R","001","4:00-6:50pm","Monday","35","0","0","Michael Campbell","DMC252"
"ANTH-308","Origins and Evolution of Human Behavior","","4.0 units","Lecture","38530R","001","3:30-4:50pm","Tue, Thu","27","0","0","Chrisandra Kufeldt","LVL13"
"ANTH-316mgp","Native Americans in American Public Life","","4.0 units","Lecture","10680R","001","3:30-4:50pm","Tue, Thu","100","0","0","Tok Thompson","THH102"
"","","","","Discussion","10681R","001","10:00-10:50am","Tuesday","25","0","0","Kristiana Willsey","THH110"
"","","","","Discussion","10682R","001","9:00-9:50am","Tuesday","25","0","0","Kristiana Willsey","KAP167"
"","","","","Discussion","10683R","001","10:00-10:50am","Thursday","25","0","0","Kristiana Willsey","MHP102"
"","","","","Discussion","10684R","001","9:00-9:50am","Thursday","25","0","0","Kristiana Willsey","MHP102"
"ANTH-321","Space, Place, Perception and Power","","4.0 units","Lecture","10624R","001","3:30-4:50pm","Tue, Thu","25","0","0","Eric Heller","LVL16"
"ANTH-332g","Anthropology and Narrative Medicine","","4.0 units","Lecture-Discussion","10628R","001","2:00-3:20pm","Tue, Thu","25","0","0","Kristiana Willsey","THH119"
"ANTH-336","Health, Gender and Ethnicity","P","4.0 units","Lecture","34927R","001","11:00-12:20pm","Tue, Thu","20","0","0","Atia Sattar",""
"ANTH-338g","Food in Culture and Society","","4.0 units","Lecture","10687R","001","2:00-3:20pm","Mon, Wed","25","0","0","Xochitl Ruiz","KAP140"
"ANTH-345","Politics, Social Organization and Law","","4.0 units","Lecture","10744R","001","9:30-10:50am","Tue, Thu","25","0","0","Erin Moore","KAP134"
"ANTH-372","Interpretation of Myth and Narrative","","4.0 units","Lecture","10632R","001","12:30-1:50pm","Tue, Thu","25","0","0","Tok Thompson","KAP148"
"ANTH-410","Ethnographic Research Methods","","4.0 units","Lecture","10833R","001","2:00-4:50pm","Tuesday","20","0","0","Fiori Berhane","KAP138"
"ANTH-415","Global Issues Seminar","","4.0 units","Lecture","10634R","001","2:00-4:50pm","Tuesday","19","0","0","Peter Redfield","KAP141"
"ANTH-440","History of Anthropological Theory","","4.0 units","Lecture","10635R","001","2:00-4:50pm","Thursday","20","0","0","Xochitl Ruiz","KAP158"
"ANTH-441w","Cities of the Middle East","","4.0 units","Lecture","41501R","001","2:00-3:20pm","Tue, Thu","19","0","0","Bandar Alsaeed","VPD107"
"ANTH-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","10640D","001","TBA","","10","0","0","Peter Redfield","OFFICE"
"ANTH-491","Directed Research for Honors","P","4.0 units","Lecture","10641D","001","TBA","","10","0","0","Peter Redfield","OFFICE"
"ANTH-501","History and Foundations of Anthropology","C","4.0 units","Lecture","10901R","001","2:00-4:50pm","Thursday","15","0","0","Fiori Berhane","KAP141"
"ANTH-562","The Practice of Ethnography","","4.0 units","Lecture","10672R","001","2:00-4:50pm","Tuesday","15","0","0","Eduardo Romero Dianderas",""
"ANTH-570","Topics in Ethnographic Media Arts","","2.0-6.0 units, max 12"
"","Ethnofiction","","4.0","Lecture-Lab","37473D","037","10:00-12:50pm","Tuesday","15","0","0","Stephanie Spray","SCI106"
"ANTH-575","Seminar in Ethnographic Film","","4.0 units","Lecture","10645R","001","2:00-4:50pm","Monday","15","0","0","Nancy Lutkehaus","OFFICE"
"ANTH-590","Directed Research","","1.0-12.0 units","Lecture","10651D","001","TBA","","10","0","0","Peter Redfield","OFFICE"
"","","","","Lecture","10653D","001","TBA","","3","0","0","","OFFICE"
"ANTH-593","Practicum for Teaching in Anthropology","MC","2.0 units","Lecture","10903R","001","9:30-10:50am","Thursday","15","0","0","Emily Zeamer","OFFICE"
"ANTH-596","Internship for Curricular Practical Training","MC","1.0-3.0 units, max 3","Lecture","10750D","001","TBA","","1","0","0","Peter Redfield","OFFICE"
"ANTH-790","Research","C","1.0-12.0 units","Lecture","10700D","001","TBA","","6","0","0","Peter Redfield","OFFICE"
