"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ART-105","Art and Design Studio I","","4.0 units","Lecture","33796D","001","9:00-11:40am","Mon, Wed","26","0","0","","WAH108"
"","","","","Lecture","33799D","001","9:00-11:40am","Tue, Thu","28","0","0","Paul Donald Brian O'Connell","WAH108"
"ART-106","Art and Design Studio II","","4.0 units","Lecture","33795D","001","3:00-5:40pm","Mon, Wed","28","0","0","Paul Donald China Adams","WAH118"
"ART-110","Drawing for Art and Design","","4.0 units","Lecture","33843D","001","9:00-11:40am","Mon, Wed","30","0","0","","WAH118"
"","","","","Lecture","33844D","001","3:00-5:40pm","Tue, Thu","30","0","0","Karen Liebowitz","WAH118"
"ART-120","Painting I","","4.0 units","Lecture","33878R","001","9:00-11:40am","Mon, Wed","15","0","0","Karen Liebowitz","HAR203"
"","","","","Lecture","33879R","001","3:00-5:40pm","Tue, Thu","15","0","0","","HAR203"
"ART-130","Ceramics I","","4.0 units","Lecture","33361R","001","12:00-2:40pm","Mon, Wed","18","0","0","Thomas Mueller","WAH107"
"","","","","Lecture","33362R","001","9:00-11:40am","Tue, Thu","18","0","0","Thomas Mueller","WAH107"
"ART-131","Wheel Throwing","","4.0 units","Lecture","33359D","001","6:00-8:40pm","Tue, Thu","16","0","0","","WAH107"
"","","","","Lecture","33369D","001","9:00-11:40am","Mon, Wed","16","0","0","","WAH107"
"ART-140","Sculpture I","","4.0 units","Lecture","33888R","001","3:00-5:40pm","Mon, Wed","20","0","0","Ruben Ochoa","WAH108"
"ART-141xg","Creating and Understanding Visuals","","4.0 units","Lecture","33426R","001","6:00-7:50pm","Tue, Thu","30","0","0","Paul Donald","WAH118"
"ART-149","Black and White Film and Darkroom Photography","","4.0 units","Lecture","33873R","001","3:00-5:40pm","Mon, Wed","18","0","0","Julia Paull","HAR211"
"","","","","Lecture","33874R","001","12:00-2:40pm","Tue, Thu","18","0","0","Julia Paull","HAR211"
"ART-150","Introduction to Photography: Process and Concept","","4.0 units","Lecture","33861R","001","12:00-2:40pm","Mon, Wed","18","0","0","Caroline Clerc","IFT141"
"","","","","Lecture","33863R","001","12:00-2:40pm","Tue, Thu","18","0","0","Caroline Clerc","IFT141"
"ART-205","Foundation Studio Intensive","M","4.0 units","Lecture","33502D","001","12:00-2:40pm","Tue, Thu","20","0","0","Sherin Guirguis","WAH108"
"ART-207a","Two-Dimensional Art Workshop","","2.0 units, max 8","Lecture","33858D","001","12:00-2:40pm","Friday","20","0","0","","WAH102B"
"ART-207b","Two-Dimensional Art Workshop","P","2.0 units, max 8","Lecture","33882D","001","9:00-11:40am","Friday","20","0","0","","HAR117"
"ART-260","Introduction to Video: Projection and Virtual Worlds in Art","","4.0 units","Lecture","33865R","001","9:00-11:40am","Mon, Wed","16","0","0","Patty Chang","WAH6"
"ART-280","Studio Critique I","MC","2.0 units","Lecture","33801D","001","6:00-8:40pm","Tuesday","17","0","0","Nao Bustamante","HAR117"
"ART-310","Drawing II","P","4.0 units","Lecture","33850R","001","9:00-11:40am","Mon, Wed","20","0","0","Karen Liebowitz","WAH102A"
"ART-312","Comics Project","","4.0 units, max 8","Lecture","33848R","001","12:00-2:40pm","Tue, Thu","20","0","0","","HAR117"
"","","","","Lecture","33853R","001","6:00-8:40pm","Mon, Wed","20","0","0","Keith Mayerson","WAH102B"
"ART-314","Illustration for Art and Design","","2.0 units","Lecture","33851R","001","12:00-2:40pm","Friday","20","0","0","","WAH118"
"ART-320","Painting II","P","4.0 units","Lecture","33883R","001","9:00-11:40am","Tue, Thu","15","0","0","Edgar Arceneaux","HAR203"
"ART-330","Ceramics II","P","4.0 units","Lecture","33366R","001","12:00-2:40pm","Tue, Thu","16","0","0","","WAH107"
"ART-350","Intermediate Photography: Studio, Field, Independent Project","P","4.0 units","Lecture","33875R","001","3:00-5:40pm","Mon, Wed","16","0","0","Caroline Clerc","IFT141"
"ART-362","Ideas in Intermedia","","4.0 units"
"","Artificial Intelligence","","4.0","Lecture","33868R","001","12:00-1:50pm","Tue, Thu","20","0","0","Jean Robison","WAH102B"
"ART-380","Studio Critique II","PMC","2.0 units","Lecture","33802D","001","3:00-5:40pm","Thursday","16","0","0","","WAH108"
"ART-410","Topics in Advanced Drawing","P","4.0 units, max 12","Lecture","33854R","001","3:00-5:40pm","Tue, Thu","15","0","0","","HAR202"
