"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BAEP-423","Management of Small Businesses","","4.0 units","Lecture","14350R","001","10:00-11:50am","Tue, Thu","40","0","0","Glenn Fox","JFF416"
"","","","","Lecture","14352R","001","12:00-1:50pm","Tue, Thu","40","0","0","Glenn Fox","JFF416"
"BAEP-450","Fundamentals of Entrepreneurship","","4.0 units","Lecture","14354R","001","10:00-11:50am","Mon, Wed","60","0","0","","JFF414"
"","","","","Lecture","14356R","001","12:00-1:50pm","Mon, Wed","60","0","0","","JFF414"
"","","","","Lecture","14358R","001","2:00-3:50pm","Mon, Wed","60","0","0","","JFF414"
"","","","","Lecture","14360R","001","6:00-9:20pm","Wednesday","60","0","0","","JFF414"
"BAEP-452","Feasibility Analysis","P","4.0 units","Lecture","14362R","001","2:00-3:50pm","Tue, Thu","46","0","0","","JFF416"
"BAEP-453","Venture Management","P","4.0 units","Lecture","14364R","001","12:00-1:50pm","Mon, Wed","40","0","0","","JFF416"
"BAEP-455","Founder's Dilemmas","C","4.0 units","Lecture","14366R","001","4:00-5:50pm","Tue, Thu","24","0","0","","JFF416"
"BAEP-460","Seminar in Entrepreneurship","","2.0 units, max 4"
"","Philanthropy and Social Impact","","2.0","Lecture","14368R","001","12:00-1:50pm","Tuesday","26","0","0","","ACC205"
"BAEP-465","Digital Playbook for Entrepreneurs: Creating a Tech Startup","","2.0 units","Lecture","14370R","001","2:00-3:50pm","Wednesday","42","0","0","","JFF416"
"","","","","Lecture","14371R","001","4:00-5:50pm","Wednesday","48","0","0","","JFF416"
"BAEP-472","The Science of Peak Performance","C","2.0 units","Lecture","14372R","001","12:00-1:50pm","Tuesday","60","0","0","","JFF414"
"BAEP-473","Sales Mindset for Entrepreneurs","","2.0 units","Lecture","14373R","001","6:00-7:50pm","Monday","60","0","0","","JFF414"
"BAEP-475","Entertainment Entrepreneurship","C","2.0 units","Lecture","14375R","001","2:00-3:50pm","Monday","32","0","0","","JFF417"
"BAEP-476","Green Entrepreneurship","","2.0 units","Lecture","14376R","001","2:00-3:50pm","Tuesday","24","0","0","","JFF417"
"BAEP-477","Entrepreneurial Imagination: Past, Present and Future","","4.0 units","Lecture","14377R","001","12:00-1:50pm","Tue, Thu","30","0","0","","JFF417"
"BAEP-480","Entrepreneurial Family Business","C","4.0 units","Lecture","14380R","001","4:00-5:50pm","Tue, Thu","60","0","0","","JFF414"
"BAEP-491","Introduction to Social Entrepreneurship","","4.0 units","Lecture","14381R","001","10:00-11:50am","Tue, Thu","36","0","0","","JFF417"
"BAEP-495","Practicum in Business Issues (Internship)","","1.0 unit","Lecture","14385D","001","TBA","","5","0","0","","OFFICE"
"BAEP-497","Field Project in Entrepreneurship","C","1.0-2.0 units, max 4","Lecture","14386D","001","TBA","","5","0","0","","OFFICE"
"BAEP-552","Venture Feasibility","MC","3.0 units","Lecture","14392R","033","6:30-9:30pm","Tuesday","59","0","0","","JKP110"
"BAEP-553","Cases in New Venture Management","MC","1.5-3.0 units","Lecture","14393R","033","6:30-9:30pm","Wednesday","60","0","0","","JKP110"
"BAEP-555","Founder's Dilemmas: Anticipate and Avoid Startup Pitfalls","MC","3.0 units","Lecture","14395R","033","2:00-3:20pm","Tue, Thu","50","0","0","","JKP112"
"BAEP-556","Technology Feasibility","MC","3.0 units","Lecture","14396R","033","3:30-4:50pm","Tue, Thu","42","0","0","","BRI5"
"BAEP-558","The Entrepreneurial Advisor: Problem Solving for Early-Stage Companies","MC","1.5-3.0 units","Lecture","14397R","033","3:30-4:50pm","Tue, Thu","60","0","0","Abby Fifer Mandell","JKP112"
"","","","","Lecture","14398R","033","5:00-6:20pm","Tue, Thu","60","0","0","Abby Fifer Mandell","JKP112"
"BAEP-559","Investing in New Ventures","MC","3.0 units","Lecture","14399R","033","6:30-9:30pm","Monday","40","0","0","","JKP210"
