"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BIOC-511","Foundations for Molecular Medicine","","4.0 units","Lecture","40445D","046","2:00-3:50pm","Tue, Thu","50","0","0","","MCH256"
"BIOC-561","Molecular Biology","","4.0 units","Lecture","40664D","046","3:00-4:50pm","Tue, Thu","85","0","0","","MCH256"
"BIOC-573","Optimal Research Presentations","","1.0 units, max 12","Lecture","40361D","046","TBA","","90","0","0","","OFFICE"
"BIOC-581","Toolbox for Biochemistry and Molecular Biology","","2.0-4.0 units, max 4","Lecture","40362D","060","TBA","","60","0","0","Pragna Patel","ONLINE"
"","","","","Lecture","40425D","046","12:00-2:50pm","Mon, Wed","50","0","0","","KAMB21/23"
"BIOC-582","Exploring the Path from Data to Publication","","2.0 units","Lecture","40351D","046","10:00-12:00pm","Wednesday","40","0","0","","KAMB21/23"
"BIOC-590","Directed Research","","1.0-12.0 units","Lecture","40365D","046","TBA","","30","0","0","","OFFICE"
"BIOC-594a","Master's Thesis","C","2.0 units","Lecture","40370D","046","TBA","","25","0","0","","OFFICE"
"BIOC-594b","Master's Thesis","PC","2.0 units","Lecture","40375D","046","TBA","","25","0","0","","OFFICE"
"BIOC-594z","Master's Thesis","PC","0.0 units","Lecture","40380D","046","TBA","","25","0","0","","OFFICE"
"BIOC-596","Internship for Curricular Practical Training","C","1.0-3.0 units, max 3","Lecture","40366D","046","TBA","","30","0","0","","OFFICE"
"BIOC-790","Research","C","1.0-12.0 units","Lecture","40386D","046","TBA","","95","0","0","Sita Reddy","OFFICE"
"BIOC-794a","Doctoral Dissertation","C","2.0 units","Lecture","40383D","001","TBA","","30","0","0","Sita Reddy","OFFICE"
"BIOC-794b","Doctoral Dissertation","PC","2.0 units","Lecture","40395D","046","TBA","","40","0","0","Sita Reddy","OFFICE"
"BIOC-794c","Doctoral Dissertation","PC","2.0 units","Lecture","40405D","046","TBA","","20","0","0","Sita Reddy","OFFICE"
"BIOC-794d","Doctoral Dissertation","PC","2.0 units","Lecture","40410D","046","TBA","","20","0","0","Sita Reddy","OFFICE"
"BIOC-794z","Doctoral Dissertation","PC","0.0 units","Lecture","40415D","046","TBA","","40","0","0","Sita Reddy","OFFICE"
