"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BISC-101Lxg","Cellular and Molecular Biology","","4.0 units","Lecture","13102R","001","8:30-9:50am","Wed, Fri","60","0","0","Raffaella Ghittoni","ZHS159"
"","","","","Lab","13103R","001","10:00-11:50am","Wednesday","20","0","0","","ZHS258"
"","","","","Lab","13105R","001","10:00-11:50am","Friday","20","0","0","","ZHS258"
"","","","","Lab","13117R","001","1:00-2:50pm","Wednesday","20","0","0","","ZHS258"
"BISC-102Lxg","Humans and Their Environment","","4.0 units","Lecture","13000R","001","9:30-10:50am","Tue, Thu","144","0","0","Carly Kenkel","THH301"
"","","","","Lab","13101R","001","12:00-1:50pm","Tuesday","16","0","0","","ZHS257"
"","","","","Lab","13104R","001","2:00-3:50pm","Tuesday","16","0","0","","ZHS257"
"","","","","Lab","13106R","001","4:00-5:50pm","Tuesday","16","0","0","","ZHS257"
"","","","","Lab","13107R","001","8:00-9:50am","Wednesday","16","0","0","","ZHS257"
"","","","","Lab","13108R","001","10:00-11:50am","Wednesday","16","0","0","","ZHS257"
"","","","","Lab","13109R","001","12:00-1:50pm","Wednesday","16","0","0","","ZHS257"
"","","","","Lab","13111R","001","2:00-3:50pm","Wednesday","16","0","0","","ZHS257"
"","","","","Lab","13112R","001","12:00-1:50pm","Thursday","16","0","0","","ZHS257"
"","","","","Lab","13113R","001","2:00-3:50pm","Thursday","16","0","0","","ZHS257"
"BISC-104Lxg","How the Body Works","","4.0 units","Lecture","13001R","001","1:00-1:50pm","MWF","96","0","0","Rita Barakat","ZHS159"
"","","","","Lab","13120R","001","10:00-11:50am","Tuesday","16","0","0","","ZHS372"
"","","","","Lab","13121R","001","10:00-11:50am","Wednesday","16","0","0","","ZHS372"
"","","","","Lab","13122R","001","10:00-11:50am","Thursday","16","0","0","","ZHS372"
"","","","","Lab","13126R","001","2:00-3:50pm","Tuesday","16","0","0","","ZHS372"
"","","","","Lab","13127R","001","2:00-3:50pm","Wednesday","16","0","0","","ZHS372"
"","","","","Lab","13128R","001","2:00-3:50pm","Thursday","16","0","0","","ZHS372"
"BISC-108L","Special Laboratory I","","1.0 unit","Lecture-Lab","13002D","001","TBA","","10","0","0","Cameron Egan","OFFICE"
"BISC-109L","Special Laboratory II","","1.0 unit","Lecture-Lab","13027D","001","TBA","","10","0","0","Cameron Egan","OFFICE"
"BISC-120Lg","General Biology: Organismal Biology and Evolution","","4.0 units","Lecture","13003R","001","2:00-3:20pm","Tue, Thu","200","0","0","Cameron Egan","THH101"
"","","","","Lecture","13004R","001","9:00-9:50am","MWF","200","0","0","Trond Sigurdsen","SAL101"
"","","","","Lecture","13005R","001","10:00-10:50am","MWF","200","0","0","Andrew Gracey","THH101"
"","","","","Lecture","13006R","001","12:30-1:50pm","Tue, Thu","200","0","0","Cameron Egan","THH101"
"","","","","Lab","13140R","001","8:00-10:50am","Tuesday","20","0","0","","ZHS361"
"","","","","Lab","13141R","001","8:00-10:50am","Tuesday","20","0","0","","ZHS363"
"","","","","Lab","13142R","001","8:00-10:50am","Tuesday","20","0","0","","ZHS365"
"","","","","Lab","13143R","001","8:00-10:50am","Thursday","20","0","0","","ZHS361"
"","","","","Lab","13144R","001","8:00-10:50am","Thursday","20","0","0","","ZHS363"
"","","","","Lab","13145R","001","8:00-10:50am","Thursday","20","0","0","","ZHS365"
"","","","","Lab","13146R","001","8:00-10:50am","Friday","20","0","0","","ZHS361"
"","","","","Lab","13147R","001","11:00-1:50pm","Tuesday","20","0","0","","ZHS258"
"","","","","Lab","13148R","001","11:00-1:50pm","Tuesday","20","0","0","","ZHS361"
"","","","","Lab","13149R","001","11:00-1:50pm","Tuesday","20","0","0","","ZHS363"
"","","","","Lab","13150R","001","11:00-1:50pm","Tuesday","20","0","0","","ZHS365"
"","","","","Lab","13151R","001","11:00-1:50pm","Wednesday","20","0","0","","ZHS361"
"","","","","Lab","13152R","001","11:00-1:50pm","Wednesday","20","0","0","","ZHS363"
"","","","","Lab","13153R","001","11:00-1:50pm","Wednesday","20","0","0","","ZHS365"
"","","","","Lab","13154R","001","11:00-1:50pm","Thursday","20","0","0","","ZHS361"
"","","","","Lab","13155R","001","11:00-1:50pm","Thursday","20","0","0","","ZHS363"
"","","","","Lab","13156R","001","11:00-1:50pm","Friday","20","0","0","","ZHS361"
"","","","","Lab","13157R","001","11:00-1:50pm","Friday","20","0","0","","ZHS363"
"","","","","Lab","13158R","001","2:00-4:50pm","Tuesday","20","0","0","","ZHS258"
"","","","","Lab","13159R","001","2:00-4:50pm","Tuesday","20","0","0","","ZHS361"
"","","","","Lab","13160R","001","2:00-4:50pm","Tuesday","20","0","0","","ZHS363"
"","","","","Lab","13161R","001","2:00-4:50pm","Tuesday","20","0","0","","ZHS365"
"","","","","Lab","13162R","001","2:00-4:50pm","Wednesday","20","0","0","","ZHS361"
"","","","","Lab","13163R","001","2:00-4:50pm","Wednesday","20","0","0","","ZHS363"
"","","","","Lab","13164R","001","2:00-4:50pm","Wednesday","20","0","0","","ZHS365"
"","","","","Lab","13165R","001","2:00-4:50pm","Thursday","20","0","0","","ZHS361"
"","","","","Lab","13166R","001","2:00-4:50pm","Thursday","20","0","0","","ZHS363"
"","","","","Lab","13167R","001","4:00-6:50pm","Friday","20","0","0","","ZHS361"
"","","","","Lab","13168R","001","4:00-6:50pm","Friday","20","0","0","","ZHS363"
"","","","","Lab","13169R","001","5:00-7:50pm","Tuesday","20","0","0","","ZHS258"
"","","","","Lab","13170R","001","5:00-7:50pm","Tuesday","20","0","0","","ZHS361"
"","","","","Lab","13171R","001","5:00-7:50pm","Tuesday","20","0","0","","ZHS363"
"","","","","Lab","13173R","001","5:00-7:50pm","Tuesday","20","0","0","","ZHS365"
"","","","","Lab","13174R","001","5:00-7:50pm","Wednesday","20","0","0","","ZHS361"
"","","","","Lab","13175R","001","5:00-7:50pm","Wednesday","20","0","0","","ZHS363"
"","","","","Lab","13176R","001","5:00-7:50pm","Wednesday","20","0","0","","ZHS365"
"","","","","Lab","13177R","001","5:00-7:50pm","Thursday","20","0","0","","ZHS361"
"","","","","Lab","13182R","001","5:00-7:50pm","Thursday","24","0","0","","ZHS363"
"BISC-121Lg","Advanced General Biology: Organismal Biology and Evolution","","4.0 units","Lecture","13012D","001","10:00-10:50am","MWF","60","0","0","Jed Fuhrman David Hutchins","ZHS159"
"","","","","Lab","13191R","001","11:00-12:25pm","Tue, Thu","16","0","0","Christa Bancroft Raffaella Ghittoni","ZHS369"
"","","","","Lab","13192R","001","11:00-1:50pm","Friday","11","0","0","","ZHS369"
"","","","","Lab","13193R","001","2:00-4:50pm","Friday","11","0","0","","ZHS369"
"","","","","Lab","13194R","001","11:00-1:50pm","Wednesday","11","0","0","Nancy Castro","ZHS369"
"","","","","Lab","13195R","001","2:00-4:50pm","Wednesday","11","0","0","Rory Spence","ZHS369"
"BISC-150Lxg","The Nature of Human Health and Disease","","4.0 units","Lecture","13007R","001","9:30-10:50am","Tue, Thu","96","0","0","Raffaella Ghittoni Rory Spence","ZHS159"
"","","","","Lab","13212R","001","10:00-11:50am","Monday","16","0","0","","ZHS458"
"","","","","Lab","13213R","001","12:00-1:50pm","Monday","16","0","0","","ZHS458"
"","","","","Lab","13214R","001","2:00-3:50pm","Monday","16","0","0","","ZHS458"
"","","","","Lab","13215R","001","12:00-1:50pm","Tuesday","16","0","0","","ZHS458"
"","","","","Lab","13216R","001","2:00-3:50pm","Tuesday","16","0","0","","ZHS458"
"","","","","Lab","13220R","001","10:00-11:50am","Wednesday","16","0","0","","ZHS458"
"BISC-193","Introduction to Research I","","1.0 unit","Lecture","13008R","001","11:00-11:50am","Tuesday","150","0","0","Albert Herrera","SGM124"
"BISC-220Lg","General Biology: Cell Biology and Physiology","","4.0 units","Lecture","13022R","001","9:30-10:50am","Tue, Thu","136","0","0","Albert Herrera","MRF340"
"","","","","Lab","13023R","001","2:00-4:50pm","Thursday","20","0","0","","ZHS365"
"","","","","Lab","13024R","001","5:00-7:50pm","Thursday","16","0","0","","ZHS369"
"","","","","Lab","13025R","001","8:00-10:50am","Friday","20","0","0","","ZHS365"
"","","","","Lab","13026R","001","11:00-1:50pm","Friday","20","0","0","","ZHS365"
"","","","","Lab","13030R","001","2:00-4:50pm","Friday","20","0","0","","ZHS365"
"","","","","Lab","13031R","001","11:00-1:50pm","Thursday","20","0","0","","ZHS365"
"","","","","Lab","13178R","001","5:00-7:50pm","Thursday","20","0","0","","ZHS365"
"BISC-230Lxg","The Biology of the Brain","","4.0 units","Lecture","13250R","001","3:00-3:50pm","MWF","48","0","0","Rita Barakat","MHPB7B"
"","","","","Lab","13253R","001","10:00-11:50am","Monday","16","0","0","","ZHS372"
"","","","","Lab","13254R","001","10:00-11:50am","Friday","16","0","0","","ZHS372"
"","","","","Lab","13256R","001","1:00-2:50pm","Monday","16","0","0","","ZHS372"
"BISC-290","Introduction to Biological Research","P","2.0-4.0 units, max 4","Lecture","13015D","001","TBA","","15","0","0","Cameron Egan","OFFICE"
"","","","","Lecture","13016D","001","TBA","","5","0","0","Cameron Egan","OFFICE"
"BISC-314L","Cell Culture","P","4.0 units","Lecture","13414R","001","9:00-10:20am","Mon, Wed","12","0","0","Rory Spence","ZHS454"
"","","","","Lab","13415R","001","9:00-11:50am","Friday","12","0","0","","ZHS454"
"BISC-315L","Introduction to Ecology","P","4.0 units","Lecture","13299D","001","2:00-3:20pm","Mon, Wed","19","0","0","Cameron Egan","ZHS360"
"","","","","Lab","13300R","001","10:00-12:50pm","Monday","19","0","0","","ZHS469"
"BISC-320Lg","Molecular Biology","P","4.0 units","Lecture","13019R","001","11:00-11:50am","MWF","264","0","0","Oscar Aparicio Irene Chiolo Carolyn Phillips","THH101"
"","","","","Lecture","13020R","001","12:00-12:50pm","MWF","264","0","0","Oscar Aparicio Irene Chiolo Carolyn Phillips","THH101"
"","","","","Lab","13311R","001","9:00-11:50am","Tuesday","20","0","0","","ZHS357"
"","","","","Lab","13312R","001","9:00-11:50am","Tuesday","20","0","0","","ZHS359"
"","","","","Lab","13313R","001","1:00-3:50pm","Tuesday","20","0","0","","ZHS357"
"","","","","Lab","13314R","001","1:00-3:50pm","Tuesday","20","0","0","","ZHS359"
"","","","","Lab","13315R","001","5:00-7:50pm","Tuesday","20","0","0","","ZHS357"
"","","","","Lab","13316R","001","5:00-7:50pm","Tuesday","20","0","0","","ZHS359"
"","","","","Lab","13331R","001","9:00-11:50am","Thursday","20","0","0","","ZHS357"
"","","","","Lab","13332R","001","9:00-11:50am","Thursday","20","0","0","","ZHS359"
"","","","","Lab","13333R","001","1:00-3:50pm","Thursday","20","0","0","","ZHS357"
"","","","","Lab","13334R","001","1:00-3:50pm","Thursday","20","0","0","","ZHS359"
"","","","","Lab","13335R","001","5:00-7:50pm","Thursday","20","0","0","","ZHS357"
"","","","","Lab","13336R","001","5:00-7:50pm","Thursday","20","0","0","","ZHS359"
"BISC-325","Genetics","P","4.0 units","Lecture","13340R","001","1:00-1:50pm","MWF","144","0","0","Sergey Nuzhdin Trond Sigurdsen","THH101"
"","","","","Discussion","13341R","001","9:30-10:50am","Tuesday","18","0","0","","ZHS360"
"","","","","Discussion","13342R","001","12:30-1:50pm","Tuesday","18","0","0","","VHE210"
"","","","","Discussion","13344R","001","3:30-4:50pm","Monday","18","0","0","","ZHS360"
"","","","","Discussion","13345R","001","3:30-4:50pm","Wednesday","18","0","0","","ZHS360"
"","","","","Discussion","13346R","001","3:30-4:50pm","Wednesday","18","0","0","","KAP140"
"","","","","Discussion","13347R","001","12:30-1:50pm","Thursday","18","0","0","","VHE210"
"","","","","Discussion","13349R","001","3:30-4:50pm","Tuesday","18","0","0","","GFS221"
"","","","","Discussion","13350R","001","3:30-4:50pm","Thursday","18","0","0","","GFS221"
"BISC-330L","Biochemistry","P","4.0 units","Lecture","13330R","001","12:00-12:50pm","MWF","66","0","0","Christa Bancroft Grayson Jaggers","ZHS252"
"","","","","Lab","13337R","001","1:00-3:50pm","Monday","20","0","0","","SGM301"
"","","","","Lab","13338R","001","9:00-11:50am","Tuesday","22","0","0","","SGM301"
"","","","","Lab","13339R","001","1:00-3:50pm","Tuesday","22","0","0","","SGM301"
"BISC-350","Bioethics","P","4.0 units","Lecture","13351R","001","10:00-11:50am","Mon, Fri","20","0","0","Nancy Castro","KDC236"
"BISC-365","Phylogenetics and Evolution","","2.0 units","Lecture","13365R","001","11:00-12:50pm","Friday","19","0","0","Trond Sigurdsen","ZHS360"
"BISC-372","Cell Biology","P","4.0 units","Lecture","13372R","001","12:00-1:50pm","Mon, Wed","16","0","0","Rory Spence Xianrui Cheng","HED103"
"","","","","Discussion","13373R","001","1:00-1:50pm","Thursday","16","0","0","","WPH104"
"BISC-401","Introduction to Computational Analysis of Biological Data","","4.0 units","Lecture","12951R","001","2:00-3:20pm","Mon, Wed","72","0","0","Peter Calabrese","THH212"
"","","","","Discussion","12952R","001","3:00-3:50pm","Thursday","24","0","0","","SOSB48"
"","","","","Discussion","12971R","001","2:00-2:50pm","Thursday","24","0","0","","DMC210"
"","","","","Discussion","12975R","001","4:00-4:50pm","Thursday","24","0","0","","WPH101"
"BISC-403","Advanced Molecular Biology","P","4.0 units","Lecture","13028D","001","2:00-3:20pm","Tue, Thu","55","0","0","Oscar Aparicio Irene Chiolo Matt Michael","THH116"
"","","","","Discussion","13370R","001","4:00-5:50pm","Tuesday","28","0","0","","GFS107"
"","","","","Discussion","13371R","001","2:00-3:50pm","Wednesday","27","0","0","","KAP145"
