"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BME-101","Introduction to Biomedical Engineering","","4.0 units","Lecture","29200D","001","11:00-12:20pm","Tue, Thu","36","0","0","Jesse Yen","VPD106"
"","","","","Lab","29201R","001","12:00-1:50pm","Wednesday","15","0","0","","GFS220"
"","","","","Lab","29203R","001","9:00-10:50am","Wednesday","18","0","0","","KAP134"
"BME-202","Control and Communication in the Nervous System","P","4.0 units","Lecture","29208D","001","12:30-1:50pm","Tue, Thu","35","0","0","Bartlett Mel","DMC205"
"","","","","Lecture","29209D","001","9:30-10:50am","Tue, Thu","34","0","0","Bartlett Mel","WPHB28"
"","","","","Discussion","29215R","001","10:00-10:50am","Friday","22","0","0","","KAP141"
"","","","","Discussion","29216R","001","1:00-1:50pm","Friday","23","0","0","","GFS221"
"","","","","Discussion","29217R","001","2:00-2:50pm","Friday","22","0","0","","GFS220"
"","","","","Discussion","29219R","001","11:00-11:50am","Friday","22","0","0","","KAP141"
"BME-302L","Medical Electronics","","4.0 units","Lecture","29310D","001","12:30-1:50pm","Tue, Thu","40","0","0","Jean-Michel Maarek","WPH102"
"","","","","Lab","29231R","001","9:30-11:50am","Monday","14","0","0","","DRB351"
"","","","","Lab","29232R","001","2:00-4:20pm","Monday","16","0","0","","DRB351"
"BME-403L","Physiological Systems","P","4.0 units","Lecture","29222D","001","2:00-3:20pm","Tue, Thu","36","0","0","Vasileios Christopoulos Mack Yang","SGM601"
"","","","","Lab","29221R","001","12:30-1:50pm","Tuesday","18","0","0","","DRB351"
"","","","","Lab","29223R","001","2:00-3:20pm","Wednesday","18","0","0","","DRB351"
"BME-405L","Senior Projects: Measurements and Instrumentation","P","4.0 units","Lecture","29230D","001","11:00-12:20pm","Tue, Thu","36","0","0","John Mai","DMC211"
"","","","","Lab","29235R","001","9:00-11:50am","Friday","18","0","0","","DRB351"
"BME-406","Introduction to Bioengineering in Medicine","","4.0 units","Lecture","29238D","001","2:00-3:50pm","Tue, Thu","28","0","0","Keyue Shen","WPH102"
"BME-408","Rehabilitation Engineering and Assistive Technologies","","2.0 units","Lecture","29239D","001","4:00-5:50pm","Monday","22","0","0","Brittany Kay","KAP141"
"BME-413","Bioengineering Signals and Systems","P","4.0 units","Lecture","29241D","001","12:00-1:50pm","Mon, Wed","25","0","0","Shaoying Lu","WPH107"
"","","","","Lecture","29240D","001","12:00-1:50pm","Mon, Wed","40","0","0","Brent Liu","DMC101"
"","","","","Discussion","29242R","001","12:00-12:50pm","Friday","40","0","0","","KAP158"
"","","","","Discussion","29243R","001","1:00-1:50pm","Friday","31","0","0","","VHE210"
"BME-423","Statistical and Data Science Methods in Biomedical Engineeri","P","4.0 units","Lecture","29250D","001","10:00-11:50am","Mon, Wed","30","0","0","David D'Argenio","GFS207"
"","","","","Lecture","29255D","001","10:00-11:50am","Mon, Wed","30","0","0","Brittany Kay","KAP158"
"","","","","Discussion","29256R","001","4:00-5:20pm","Tuesday","42","0","0","","SLH102"
"","","","","Discussion","29257R","001","12:30-1:50pm","Thursday","42","0","0","","GFS118"
"BME-430","Principles and Applications of Systems Biology","P","4.0 units","Lecture","29253D","001","2:00-3:20pm","Mon, Wed","30","0","0","Stacey Finley","DMC211"
"","","","","Discussion","29254R","001","9:00-10:50am","Tuesday","30","0","0","","VHE206"
"BME-451L","Fundamentals of Biomedical Microdevices","","4.0 units","Lecture","29260D","001","9:30-10:50am","Tue, Thu","12","0","0","Alexander Baldwin","THH107"
"","","","","Lab","29261R","001","4:00-5:50pm","Thursday","13","0","0","","BHEB8"
"BME-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","29270D","001","TBA","","25","0","0","","OFFICE"
"BME-499","Special Topics 10","","1.0-7.0 units, max 8"
"","Senior Design Project","","2.0","Lecture","29271D","001","2:00-4:50pm","Tuesday","24","0","0","John Mai","DRB351"
"","Senior Design Project","","2.0","Lecture","29272D","001","2:00-4:50pm","Wednesday","24","0","0","John Mai","DRB351"
