"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BUAD-101","Freshman Leadership Seminar","MC","2.0 units","Lecture","14472D","001","10:00-11:50am","Friday","150","0","0","","JFFLL105"
"BUAD-111","World Bachelor in Business Program Freshman Academy","M","2.0 units","Lecture","14474D","001","10:00-11:50am","Friday","36","0","0","Marion Philadelphia","JFFLL102"
"BUAD-112","AI for Business Freshman Academy","MC","2.0 units","Lecture","14476D","001","10:00-11:50am","Friday","50","0","0","Charlie Hannigan","JFF233"
"BUAD-200x","Economic Foundations for Business","M","2.0 units","Lecture","14485R","001","8:00-9:50am","Tuesday","48","0","0","","JFF316"
"BUAD-201x","Introduction to Business for Non-Majors","M","4.0 units","Lecture","14490R","001","6:00-9:20pm","Monday","40","0","0","","JFF241"
"","","","","Lecture","14491R","001","6:00-9:20pm","Tuesday","36","0","0","","JFF416"
"BUAD-252","Choosing and Planning a Future Career in Business","","2.0 units","Lecture","14591R","001","12:00-1:50pm","Monday","42","0","0","Andrew Ogilvie","ACC303"
"BUAD-280","Introduction to Financial Accounting","","3.0 units","Lecture","14505D","001","8:00-9:20am","Mon, Wed","8","0","0","","JFF233"
"","","","","Lecture","14506D","001","9:30-10:50am","Mon, Wed","8","0","0","","JFF233"
"","","","","Lecture","14507R","001","11:00-12:20pm","Mon, Wed","8","0","0","","JFF233"
"","","","","Lecture","14508D","001","12:30-1:50pm","Mon, Wed","8","0","0","","JFF233"
"","","","","Lecture","14509R","001","2:00-3:20pm","Mon, Wed","8","0","0","","JFF233"
"","","","","Lecture","14510R","001","3:30-4:50pm","Mon, Wed","8","0","0","","JFF233"
"","","","","Lecture","14514R","001","12:30-1:50pm","Tue, Thu","8","0","0","","JFF233"
"","","","","Lecture","14515R","001","2:00-3:20pm","Tue, Thu","8","0","0","","JFF233"
"","","","","Lecture","14516R","001","3:30-4:50pm","Tue, Thu","8","0","0","","JFF233"
