"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CE-106","Introduction to Civil Engineering","","2.0 units","Lecture","29600R","001","9:00-9:50am","Mon, Wed","35","0","0","Amy Rechenmacher","KAP158"
"CE-110","Introduction to Environmental Engineering","","2.0 units","Lecture","29604R","001","9:30-10:20am","Tue, Thu","30","0","0","Amy Childress Adam Smith Kandis Leslie Abdul-Aziz Felipe De Barros Daniel McCurry Kelly Sanders Adam Simpson Jiachen Zhang","DMC258"
"CE-119","Statistical Data Analysis in Engineering","P","2.0 units","Lecture","29605R","001","9:00-10:50am","Wednesday","49","0","0","Audrey Olivier","SGM601"
"CE-215","Statics and Dynamics","P","4.0 units","Lecture","29609R","001","11:00-12:50pm","Mon, Wed","48","0","0","Mihailo Trifunac",""
"","","","","Discussion","29613R","001","2:00-2:50pm","Friday","48","0","0","","KAP156"
"CE-334L","Mechanical Behavior of Materials","P","4.0 units","Lecture","29636R","001","4:00-5:50pm","Mon, Wed","36","0","0","Bora Gencturk","KAP158"
"","","","","Lab","29638R","001","11:00-1:50pm","Tuesday","9","0","0","","KAPB28"
"","","","","Lab","29640R","001","9:00-11:50am","Friday","9","0","0","","KAPB28"
"","","","","Lab","29641R","001","11:00-1:50pm","Monday","9","0","0","","KAPB28"
"","","","","Lab","29642R","001","11:00-1:50pm","Wednesday","9","0","0","","KAPB28"
"CE-358L","Elementary Theory of Structures","P","4.0 units","Lecture","29644R","001","9:00-10:50am","Tue, Thu","36","0","0","Mihailo Trifunac","WPH102"
"","","","","Discussion","29648R","001","8:00-8:50am","Tue, Thu","36","0","0","","GFS116"
"","","","","Lab","29646R","001","2:00-3:20pm","Wednesday","36","0","0","","SAL126"
"CE-408","Risk and Decision Analysis in Civil Engineering","","2.0 units","Lecture","29655R","001","12:00-1:50pm","Thursday","50","0","0","Roger Ghanem","GFS101"
"CE-410L","Introduction to Environmental Engineering Microbiology","P","4.0 units","Lecture","29616R","001","10:00-11:20am","Mon, Wed","21","0","0","Adam Smith","WPHB30"
"","","","","Lab","29617R","001","12:00-1:50pm","Tuesday","21","0","0","","BHEB8"
"CE-430","Sustainable Transportation","","2.0 units","Lecture","29625R","001","10:00-11:50am","Friday","20","0","0","Eric Shen","RTH115"
"CE-450","Coastal Engineering and Design","P","4.0 units","Lecture","29620R","001","2:00-3:50pm","Mon, Wed","30","0","0","Patrick Lynett","VHE210"
"CE-453","Water Quality Science and Engineering","P","4.0 units","Lecture","29670R","001","4:00-5:50pm","Tue, Thu","20","0","0","Adam Simpson","ZHS360"
"","","","","Discussion","29671R","001","1:00-1:50pm","Wednesday","20","0","0","","GFS210"
"CE-456","Structural Design I","P","4.0 units","Lecture","29673R","001","2:00-3:50pm","Tue, Thu","40","0","0","Maria Mohammed","GFS207"
"CE-459","Introduction to Structural Dynamics","P","2.0 units","Lecture","29674R","001","12:00-1:50pm","Tuesday","20","0","0","Mihailo Trifunac","THH118"
"CE-460","Construction Engineering","","4.0 units","Lecture","29677R","001","12:00-3:20pm","Monday","36","0","0","Henry Koffman","DMC203"
"CE-469","Sustainable Design and Construction","","2.0 units","Lecture","29607R","001","12:00-1:40pm","Tuesday","60","0","0","Henry Koffman","OHE100C"
"CE-470","Building Information Modeling: Project Visualization and Sim","C","4.0 units","Lecture","29615D","001","10:30-1:50pm","Monday","27","0","0","Burcin Becerik","RTH115"
"CE-471","Principles of Transportation Engineering","P","4.0 units","Lecture","29699D","001","6:00-7:50pm","Tue, Thu","35","0","0","Ruolin Li",""
"CE-482","Subsurface Foundation Design","P","4.0 units","Lecture","29709R","001","10:00-11:50am","Mon, Wed","35","0","0","Amy Rechenmacher","DMC201"
