"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CHEM-050x","General Chemistry Tutorial","","2.0 units","Lecture","17200D","001","5:30-6:50pm","Monday","20","0","0","","GFS114"
"CHEM-102","The Molecular World","","4.0 units","Lecture","17204D","001","10:00-10:50am","MWF","80","0","0","Jessica Parr","SAL101"
"","","","","Discussion","17206R","001","3:30-4:50pm","Thursday","80","0","0","","SOSB2"
"CHEM-103Lxg","General Chemistry for the Environment and Life","","4.0 units","Lecture","17208R","001","3:30-4:50pm","Tue, Thu","72","0","0","Thomas Bertolini","GFS116"
"","","","","Lab","17211R","001","9:00-11:50am","Monday","6","0","0","","SGM133C"
"","","","","Lab","17212R","001","9:00-11:50am","Thursday","6","0","0","","SGM133C"
"","","","","Lab","17213R","001","9:00-11:50am","Friday","6","0","0","","SGM133C"
"","","","","Lab","17214R","001","1:00-3:50pm","Monday","6","0","0","","SGM133C"
"","","","","Lab","17215R","001","1:00-3:50pm","Friday","6","0","0","","SGM133C"
"","","","","Lab","17216R","001","4:00-6:50pm","Monday","6","0","0","","SGM133C"
"CHEM-105aLg","General Chemistry","P","4.0 units","Lecture","17218R","001","9:00-9:50am","MWF","140","0","0","Thomas Bertolini","SGM123"
"","","","","Quiz","17219R","001","3:30-4:50pm","Thursday","140","0","0","","MHP101"
"","","","","Lecture","17220R","001","10:00-10:50am","MWF","200","0","0","Stuart Moon","SGM123"
"","","","","Quiz","17221R","001","3:30-4:50pm","Thursday","200","0","0","","SGM123"
"","","","","Lecture","17222R","001","11:00-11:50am","MWF","200","0","0","Jessica Parr","SGM124"
"","","","","Quiz","17224R","001","3:30-4:50pm","Thursday","200","0","0","","SGM124"
"","","","","Lab","17226R","001","9:30-12:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17228R","001","9:30-12:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17230R","001","9:30-12:20pm","Tuesday","6","0","0","","SGM136C/D"
"","","","","Lab","17236R","001","12:00-2:50pm","Monday","6","0","0","","SGM136C/D"
"","","","","Lab","17238R","001","12:00-2:50pm","Monday","6","0","0","","SGM136C/D"
"","","","","Lab","17240R","001","12:00-2:50pm","Wednesday","6","0","0","","SGM136C/D"
"","","","","Lab","17242R","001","12:00-2:50pm","Wednesday","6","0","0","","SGM136C/D"
"","","","","Lab","17244R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM133A/B"
"","","","","Lab","17246R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM133A/B"
"","","","","Lab","17248R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17250R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17252R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM136C/D"
"","","","","Lab","17254R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM136C/D"
"","","","","Lab","17256R","001","1:00-3:50pm","Monday","6","0","0","","SGM136A/B"
"","","","","Lab","17258R","001","1:00-3:50pm","Monday","6","0","0","","SGM136A/B"
"","","","","Lab","17260R","001","1:00-3:50pm","Monday","6","0","0","","SGM133A/B"
"","","","","Lab","17262R","001","1:00-3:50pm","Monday","6","0","0","","SGM133A/B"
"","","","","Lab","17263R","001","1:00-3:50pm","Monday","6","0","0","","SGM136A/B"
"","","","","Lab","17264R","001","1:00-3:50pm","Wednesday","6","0","0","","SGM136A/B"
