"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CLAS-101gp","State and Society in the Ancient World","","4.0 units","Lecture","37008R","001","8:30-9:50am","Tue, Thu","50","0","0","Maya Maskarinec","DMC156"
"","","","","Discussion","37011R","001","10:00-10:50am","Friday","25","0","0","","THH119"
"","","","","Discussion","37012R","001","11:00-11:50am","Friday","25","0","0","","WPHB26"
"CLAS-151gp","The Legacy of Rome","","4.0 units","Lecture","19880R","001","12:30-1:50pm","Tue, Thu","170","0","0","Frederic Clark","HAR101"
"","","","","Discussion","19881R","001","8:00-8:50am","Friday","22","0","0","","DMC209"
"","","","","Discussion","19882R","001","9:00-9:50am","Friday","22","0","0","","DMC209"
"","","","","Discussion","19883R","001","10:00-10:50am","Friday","22","0","0","","DMC206"
"","","","","Discussion","19884R","001","11:00-11:50am","Friday","22","0","0","","DMC209"
"","","","","Discussion","19885R","001","11:00-11:50am","Friday","22","0","0","","DMC206"
"","","","","Discussion","19886R","001","12:00-12:50pm","Friday","22","0","0","","DMC209"
"","","","","Discussion","19887D","001","9:00-9:50am","Friday","22","0","0","","THH217"
"","","","","Discussion","19888D","001","10:00-10:50am","Friday","22","0","0","","THH108"
"CLAS-202g","Archaeology: Our Human Past","","4.0 units","Lecture","10615R","001","2:00-3:20pm","Tue, Thu","100","0","0","Tracie Mayfield","GFS106"
"","","","","Discussion","10616R","001","8:00-8:50am","Tuesday","25","0","0","Tracie Mayfield","GFS223"
"","","","","Discussion","10617R","001","9:00-9:50am","Tuesday","25","0","0","Tracie Mayfield","GFS223"
"","","","","Discussion","10718R","001","10:00-10:50am","Tuesday","25","0","0","Tracie Mayfield","GFS223"
"","","","","Discussion","10719R","001","11:00-11:50am","Tuesday","25","0","0","Tracie Mayfield","WPHB27"
"CLAS-280gp","Classical Mythology in Art and Literature","","4.0 units","Lecture","19870R","001","11:00-12:20pm","Tue, Thu","100","0","0","Lucas Herchenroeder","THH301"
"","","","","Discussion","19872R","001","9:00-9:50am","Monday","25","0","0","","DMC257"
"","","","","Discussion","19873R","001","10:00-10:50am","Monday","25","0","0","","DMC257"
"","","","","Discussion","19875R","001","11:00-11:50am","Friday","25","0","0","","THH121"
"","","","","Discussion","19876R","001","12:00-12:50pm","Friday","25","0","0","","THH214"
"CLAS-307","Law and Society in Classical Greece","","4.0 units","Lecture","19835R","001","12:30-1:50pm","Tue, Thu","20","0","0","Susan Lape","THH115"
"CLAS-321","Greek Art and Archaeology","","4.0 units","Lecture","11923R","001","2:00-3:20pm","Tue, Thu","25","0","0","John Pollini","WPH203"
"CLAS-324","Late Antique Art and Archaeology","","4.0 units","Lecture","19830R","001","9:30-10:50am","Tue, Thu","19","0","0","Ann Marie Yasin","DMC154"
"CLAS-337gp","Ancient Drama","","4.0 units","Lecture","19855R","001","2:00-3:20pm","Mon, Wed","50","0","0","Afroditi Angelopoulou","SOSB44"
"","","","","Discussion","19856R","001","10:00-10:50am","Friday","25","0","0","","THH215"
"","","","","Discussion","19857R","001","11:00-11:50am","Friday","25","0","0","","KDC235"
"CLAS-348g","Athens in the Age of Democracy and Empire","","4.0 units","Lecture","19836R","001","3:00-4:20pm","Tue, Thu","50","0","0","Stefano Rebeggiani","DMC102"
"","","","","Discussion","19837R","001","11:00-11:50am","Monday","25","0","0","","DMC257"
"","","","","Discussion","19838R","001","12:00-12:50pm","Monday","25","0","0","","DMC154"
"CLAS-410","Capstone Research Seminar","MC","4.0 units","Lecture","19833R","001","3:30-4:50pm","Tue, Thu","6","0","0","Lucas Herchenroeder","THH221"
"CLAS-415","Object-Worlds: Histories and Theories of Things","","4.0 units","Lecture","11991D","001","10:00-12:50pm","Friday","19","0","0","Ann Marie Yasin","DMC111"
"CLAS-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","19840D","001","TBA","","10","0","0","Lucas Herchenroeder","OFFICE"
"CLAS-520","Approaches to Antiquity","","4.0 units, max 12"
"","Introduction to Byzantine Studies","","4.0","Lecture","19844R","001","12:30-3:20pm","Monday","10","0","0","Alexandre Roberts","OFFICE"
"CLAS-560","Seminar in Republican Latin Literature","","4.0 units"
"","Ovid's Fasti and Imperial Rome","","4.0","Lecture","19846R","001","2:00-4:50pm","Tuesday","10","0","0","Anthony Boyle","OFFICE"
"CLAS-565","Seminar in Theoretical Approaches to Greek/Roman Culture and","","4.0 units, max 12"
"","Critical Theory and Roman Comedy","","4.0","Lecture","19843R","001","9:30-12:20pm","Thursday","10","0","0","Brandon Bourgeois","OFFICE"
"CLAS-590","Directed Research","","1.0-12.0 units","Lecture","19850D","001","TBA","","10","0","0","Stefano Rebeggiani","OFFICE"
"CLAS-593x","Practicum in Teaching Liberal Arts: Classics","MC","2.0 units","Lecture","19851R","001","2:00-3:50pm","Wednesday","4","0","0","Stefano Rebeggiani","OFFICE"
"CLAS-794a","Doctoral Dissertation","C","2.0 units","Lecture","19860D","001","TBA","","10","0","0","","OFFICE"
"CLAS-794b","Doctoral Dissertation","P","2.0 units","Lecture","19861D","001","TBA","","10","0","0","","OFFICE"
"CLAS-794c","Doctoral Dissertation","P","2.0 units","Lecture","19862D","001","TBA","","10","0","0","","OFFICE"
"CLAS-794d","Doctoral Dissertation","P","2.0 units","Lecture","19864D","001","TBA","","10","0","0","","OFFICE"
"CLAS-794z","Doctoral Dissertation","P","0.0 units","Lecture","19865D","001","TBA","","10","0","0","","OFFICE"
