"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CMGT-502","Strategic Organizational Communication","","4.0 units","Lecture","21706D","001","5:00-7:50pm","Wednesday","18","0","0","Jessica Neff","ASC230"
"CMGT-505","Communication in Work Settings","M","4.0 units","Lecture","21709R","001","6:00-8:50pm","Monday","22","0","0","Brad Shipley","ANN210"
"CMGT-508","Communicating Strategy and Change","","4.0 units","Lecture","21714D","001","2:00-4:50pm","Monday","22","0","0","Brad Shipley","ANN210"
"CMGT-510","Communication and Persuasion","","4.0 units","Lecture","21717D","001","2:00-4:50pm","Wednesday","15","0","0","Sheila Murphy","ANN408"
"CMGT-514","Analytical Tools for Communication Decisions","PM","4.0 units","Lecture","21722D","001","1:00-3:50pm","Wednesday","18","0","0","Jessica Neff","ASC230"
"","","","","Lecture","21723D","001","2:00-4:50pm","Monday","20","0","0","Mathew Curtis","ANN211"
"CMGT-517","Communication in the Luxury Fashion Industry","","4.0 units","Lecture","21726D","001","2:00-4:50pm","Monday","22","0","0","Alexis Brunswick","ASC231"
"","","","","Lecture","21727D","001","5:30-8:20pm","Monday","22","0","0","Alexis Brunswick","ASC231"
"CMGT-519","Analyzing Communication Strategies: Self-Care Segments","","2.0 units","Lecture","21729D","758","6:00-8:50pm","Wednesday","22","0","0","Jennifer Houghton","ANN309"
"CMGT-529","Creator Culture and Industries","","4.0 units","Lecture","21738D","001","6:30-9:20pm","Wednesday","30","0","0","David Craig Andrew Leonard","ASC204"
"CMGT-532","Partnerships in the U.S. Media Industry","","4.0 units","Lecture","21740D","001","6:00-8:50pm","Monday","30","0","0","Steven Dustin Bomar Monica Koyama","ANNL101"
"CMGT-537","The Industry, Science and Culture of Video Games","","4.0 units","Lecture","21746D","001","5:30-8:20pm","Monday","22","0","0","Dmitri Williams","ANN405"
"CMGT-540","Uses of Communication Research","M","4.0 units","Lecture","21749R","001","6:30-9:20pm","Monday","188","0","0","Mathew Curtis Courtney Pade","ASCG26"
