"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"COMM-200","Communication and Social Science","","4.0 units","Lecture","20327R","001","11:00-12:20pm","Tue, Thu","90","0","0","Jillian Pierson","ANNL105A"
"","","","","Discussion","20328R","001","2:00-2:50pm","Tuesday","25","0","0","","ANN408"
"","","","","Discussion","20329R","001","1:00-1:50pm","Tuesday","25","0","0","","ANN405"
"","","","","Discussion","20330R","001","9:00-9:50am","Wednesday","25","0","0","","ANN210"
"","","","","Discussion","20331R","001","10:00-10:50am","Wednesday","25","0","0","","ANN210"
"COMM-204","Public Speaking","","4.0 units","Lecture","20374R","001","2:00-3:20pm","Mon, Wed","19","0","0","Rook Campbell","ANNL116"
"","","","","Lecture","20375R","001","12:30-1:50pm","Tue, Thu","19","0","0","Adam Navarro","ANN309"
"","","","","Lecture","20376R","001","12:00-1:50pm","Mon, Wed","19","0","0","Perry Johnson","ASC228"
"","","","","Lecture","20377R","001","11:00-12:20pm","Tue, Thu","19","0","0","Adam Navarro","ANN309"
"","","","","Lecture","20378R","001","10:00-11:50am","Mon, Wed","19","0","0","Michael Wissot","ANN406"
"","","","","Lecture","20379R","001","3:30-4:50pm","Mon, Wed","19","0","0","","ASC331"
"","","","","Lecture","20380R","001","9:30-10:50am","Tue, Thu","19","0","0","Adam Navarro","ANN309"
"","","","","Lecture","20381R","001","12:30-1:50pm","Tue, Thu","19","0","0","","ASC328"
"COMM-205x","Communication Practicum","C","1.0-2.0 units, max 4","Lecture","20385D","001","TBA","","25","0","0","","OFFICE"
"COMM-206","Communication and Culture","","4.0 units","Lecture","20388R","001","9:30-10:50am","Tue, Thu","100","0","0","Alison Trope","ANNL105A"
"","","","","Discussion","20389R","001","12:00-12:50pm","Tuesday","25","0","0","","ANNL116"
"","","","","Discussion","20390R","001","1:00-1:50pm","Tuesday","25","0","0","","ANNL116"
"","","","","Discussion","20391R","001","9:00-9:50am","Wednesday","25","0","0","","ANNL101"
"","","","","Discussion","20392R","001","10:00-10:50am","Wednesday","25","0","0","","ANNL101"
"COMM-209","Communication and Media Economics","","4.0 units","Lecture","20402R","001","3:30-4:50pm","Tue, Thu","75","0","0","Hernan Galperin","ANNL105A"
"","","","","Discussion","20403R","001","11:00-11:50am","Wednesday","25","0","0","","ANN210"
"","","","","Discussion","20404R","001","12:00-12:50pm","Wednesday","25","0","0","","ANN210"
"","","","","Discussion","20405R","001","1:00-1:50pm","Wednesday","25","0","0","","ANN210"
