"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CSCI-100xg","Explorations in Computing","","4.0 units","Lecture","30211D","001","11:00-12:20pm","Tue, Thu","60","0","0","Sathyanaraya Raghavachary","ZHS352"
"","","","","Lab","30212R","001","12:00-12:50pm","Wednesday","30","0","0","","SGM226"
"","","","","Lab","30213R","001","1:00-1:50pm","Wednesday","30","0","0","","KAP145"
"CSCI-102L","Introduction to Programming","","2.0 units","Lecture","29918D","001","1:00-1:50pm","Mon, Wed","120","0","0","Mark Redekopp","GFS106"
"","","","","Lecture","30235D","001","2:00-2:50pm","Mon, Wed","120","0","0","Mark Redekopp","GFS106"
"","","","","Lab","30010R","001","5:00-5:50pm","Tuesday","18","0","0","","GFS114"
"","","","","Lab","30011R","001","12:00-12:50pm","Tuesday","18","0","0","","DMC108"
"","","","","Lab","30012R","001","12:00-12:50pm","Tuesday","18","0","0","","THH106"
"","","","","Lab","30013R","001","11:00-11:50am","Wednesday","18","0","0","","DMC107"
"","","","","Lab","30018R","001","12:00-12:50pm","Wednesday","18","0","0","","KAP140"
"","","","","Lab","30021R","001","12:00-12:50pm","Wednesday","18","0","0","","THH106"
"","","","","Lab","30080R","001","5:00-5:50pm","Tuesday","18","0","0","","GFS204"
"","","","","Lab","30081R","001","12:00-12:50pm","Tuesday","18","0","0","","SLH102"
"","","","","Lab","30082R","001","12:00-12:50pm","Tuesday","15","0","0","","LVL3C"
"","","","","Lab","30083R","001","11:00-11:50am","Wednesday","15","0","0","","LVL3C"
"","","","","Lab","30084R","001","12:00-12:50pm","Wednesday","18","0","0","","DMC258"
"","","","","Lab","30086R","001","12:00-12:50pm","Wednesday","15","0","0","","LVL3C"
"","","","","Lab","30088R","001","10:00-10:50am","Tuesday","18","0","0","","VPD107"
"","","","","Lab","30163R","001","4:00-4:50pm","Wednesday","15","0","0","","HED103"
"","","","","Lab","30364R","001","10:00-10:50am","Tuesday","15","0","0","","LVL3C"
"","","","","Lab","30365R","001","4:00-4:50pm","Tuesday","18","0","0","","GFS213"
"","","","","Lab","30370R","001","4:00-4:50pm","Tuesday","18","0","0","","GFS111"
"","","","","Quiz","30328R","001","7:00-8:50pm","Wednesday","240","0","0","","THH201"
"CSCI-103L","Object Oriented Programming","P","4.0 units","Lecture","29919D","001","8:00-9:20am","Tue, Thu","40","0","0","","DMC101"
"","","","","Lecture","29920D","001","11:00-12:20pm","Tue, Thu","120","0","0","Andrew Goodney","THH102"
"","","","","Lecture","29934D","001","9:30-10:50am","Tue, Thu","230","0","0","Andrew Goodney","SAL101"
"","","","","Lab","29902R","001","3:00-4:50pm","Friday","33","0","0","","SAL127"
"","","","","Lab","29913R","001","4:00-5:50pm","Friday","30","0","0","","SAL109"
"","","","","Lab","29914R","001","4:00-5:50pm","Friday","33","0","0","","SAL126"
"","","","","Lab","29924R","001","2:00-3:50pm","Friday","30","0","0","","SAL109"
"","","","","Lab","29925R","001","2:00-3:50pm","Friday","33","0","0","","SAL126"
"","","","","Lab","29926R","001","10:00-11:50am","Friday","33","0","0","","SAL126"
"","","","","Lab","29927R","001","12:00-1:50pm","Friday","33","0","0","","SAL126"
"","","","","Lab","30103R","001","9:00-10:50am","Friday","33","0","0","","SAL127"
"","","","","Lab","30104R","001","6:00-7:50pm","Friday","30","0","0","","SAL109"
"","","","","Lab","30180R","001","10:00-11:50am","Friday","30","0","0","","SAL109"
"","","","","Lab","30193R","001","5:00-6:50pm","Friday","33","0","0","","SAL127"
"","","","","Lab","30286R","001","8:00-9:50am","Friday","33","0","0","","SAL126"
"","","","","Lab","30313R","001","8:00-9:50am","Friday","30","0","0","","SAL109"
"","","","","Quiz","30024R","001","7:00-8:50pm","Thursday","350","0","0","","TBD"
"CSCI-104L","Data Structures","P","4.0 units","Lecture","29903D","001","12:30-1:50pm","Tue, Thu","175","0","0","Carter Slocum","THH201"
"","","","","Lecture","30397D","001","9:30-10:50am","Tue, Thu","175","0","0","Carter Slocum","SGM124"
"","","","","Lab","29905R","001","2:00-3:50pm","Tuesday","30","0","0","","SAL109"
"","","","","Lab","29907R","001","4:00-5:50pm","Tuesday","30","0","0","","SAL109"
"","","","","Lab","29932R","001","12:00-1:50pm","Friday","30","0","0","","SAL109"
"","","","","Lab","29933R","001","2:00-3:50pm","Wednesday","30","0","0","","SAL109"
"","","","","Lab","29937R","001","5:00-6:50pm","Thursday","30","0","0","","SAL126"
"","","","","Lab","29938R","001","12:00-1:50pm","Friday","30","0","0","","SAL127"
"","","","","Lab","30117R","001","8:00-9:50am","Wednesday","30","0","0","","SAL126"
"","","","","Lab","30118R","001","6:00-7:50pm","Wednesday","30","0","0","","SAL126"
"","","","","Lab","30119R","001","12:00-1:50pm","Monday","30","0","0","","SAL127"
"","","","","Lab","30210R","001","10:00-11:50am","Wednesday","30","0","0","","SAL127"
"","","","","Lab","30251R","001","4:00-5:50pm","Wednesday","30","0","0","","SAL126"
