"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTIN-101","Fundamentals of Procedural Media","","2.0 units","Lecture","18351D","001","2:00-3:50pm","Thursday","43","0","0","","SCI108"
"CTIN-180","Video Game Production","","2.0 units","Lecture","31830R","001","1:00-2:50pm","Wednesday","30","0","0","Kyle Ackerman","EGG108"
"CTIN-190","Introduction to Interactive Entertainment","","4.0 units","Lecture","18353D","001","3:00-5:50pm","Tuesday","154","0","0","","SCA108"
"CTIN-191","Survey of Themed Entertainment","","4.0 units","Lecture","18431D","001","9:00-12:50pm","Wednesday","42","0","0","","SCI106"
"CTIN-289","Game Development Fundamentals","P","4.0 units","Lecture-Lab","18364D","001","10:00-11:50am","Mon, Thu","20","0","0","","SCIL113"
"CTIN-290","Digital Media Workshop","","4.0 units","Lecture-Lab","18432D","001","1:00-3:20pm","Monday","18","0","0","","SCB104, SCI209"
"CTIN-291","Crew for Advanced Game Project","","2.0 units, max 4","Lecture","18413D","001","2:00-5:20pm","Thursday","42","0","0","","EGG108"
"CTIN-389","Game Development Principles","P","4.0 units","Lecture-Lab","18433D","001","2:00-3:50pm","Mon, Thu","20","0","0","","SCIL113"
"","","","","Lecture-Lab","18434D","001","4:00-5:50pm","Tue, Thu","23","0","0","","SCIL113"
"CTIN-395","Miniature Golf Design","","4.0 units","Lecture-Lab","18429D","001","9:00-12:50pm","Wednesday","16","0","0","","SCIL114"
"CTIN-401L","Interface Design for Games","","2.0 units","Lecture-Lab","18441D","001","6:00-7:50pm","Thursday","22","0","0","","SCIL113"
"CTIN-409","Producing Interactive Projects","","2.0 units","Lecture","18354D","001","6:00-7:50pm","Thursday","12","0","0","","SCB104"
"CTIN-411","Tabletop Game Mechanics Seminar","","2.0 units","Lecture","18380D","001","5:00-6:50pm","Wednesday","48","0","0","","SCI108"
"CTIN-412","Interactive Systems Design","","2.0 units","Lecture","18435D","001","1:00-2:50pm","Wednesday","60","0","0","","SCI108"
"CTIN-444","Audio Expression","","2.0 units","Lecture","18442D","001","1:00-2:50pm","Wednesday","24","0","0","","SCIL113"
"CTIN-452L","Themed Entertainment Design","P","4.0 units","Lecture-Lab","18356D","001","2:00-5:50pm","Wednesday","29","0","0","","SCIL114"
"CTIN-457","Themed Entertainment Business Operations","","2.0 units","Lecture","18436D","001","5:00-6:50pm","Tuesday","20","0","0","","SCIL114"
"CTIN-458","Business and Management of Games","","2.0 units","Lecture","18366D","001","6:00-8:50pm","Monday","80","0","0","","SCI108"
"CTIN-463","Anatomy of a Game","","4.0 units","Lecture","18423D","001","7:00-10:20pm","Wednesday","81","0","0","","SCI106"
"CTIN-468","Advanced Games Business","","2.0 units","Lecture","18402D","001","6:30-9:20pm","Monday","20","0","0","","SCI206"
"CTIN-487","Streaming Explorations: Games and Entertainment for Communit","","2.0 units","Lecture","18428D","001","3:00-4:50pm","Wednesday","45","0","0","","SCI108"
"CTIN-488","Game Design Workshop","","4.0 units","Lecture","18358D","001","10:00-11:50am","Monday","164","0","0","","SCA108"
"","","","","Lab","18355D","001","4:00-5:50pm","Thursday","16","0","0","","SCI206"
"","","","","Lab","18359D","001","12:00-1:50pm","Friday","16","0","0","","SCI206"
"","","","","Lab","18360D","001","10:00-11:50am","Wednesday","16","0","0","","SCI206"
"","","","","Lab","18361D","001","4:00-5:50pm","Wednesday","16","0","0","","SCI206"
"","","","","Lab","18393D","001","1:00-2:50pm","Tuesday","16","0","0","","SCI206"
"","","","","Lab","18394D","001","12:00-1:50pm","Thursday","16","0","0","","SCI206"
"","","","","Lab","18401D","001","6:00-7:50pm","Wednesday","16","0","0","","SCI206"
"","","","","Lab","18403D","001","12:00-1:50pm","Wednesday","16","0","0","","SCI206"
"","","","","Lab","18438D","001","6:00-7:50pm","Thursday","16","0","0","","SCI206"
"","","","","Lab","18439D","001","2:00-3:50pm","Wednesday","16","0","0","","SCI206"
"","","","","Lab","18443D","001","10:00-11:50am","Friday","16","0","0","","SCI206"
"CTIN-489L","Intermediate Game Design and Production","P","4.0 units","Lecture-Lab","18368D","001","4:00-5:50pm","Mon, Fri","18","0","0","","SCIL113"
"","","","","Lecture-Lab","18427D","001","12:00-1:50pm","Mon, Thu","18","0","0","","SCIL113"
"CTIN-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","18407D","001","TBA","","16","0","0","","OFFICE"
"CTIN-491L","Advanced Game Project I","P","4.0 units, max 8","Lecture","18418D","001","2:00-5:20pm","Thursday","12","0","0","","EGG108"
