"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DSCI-250","Introduction to Data Science","","4.0 units","Lecture","32401D","001","2:00-3:50pm","Tue, Thu","263","0","0","","SAL101"
"DSCI-351","Foundations of Data Management","P","4.0 units","Lecture","32402D","001","10:00-11:50am","Mon, Wed","98","0","0","","SOSB2"
"DSCI-352","Applied Machine Learning and Data Mining","P","4.0 units","Lecture","32459D","001","3:30-5:20pm","Tue, Thu","60","0","0","","DMC156"
"DSCI-429","Security and Privacy","","4.0 units","Lecture","32403D","001","4:00-7:20pm","Wednesday","30","0","0","","RTH217"
"DSCI-510","Principles of Programming for Data Science","","4.0 units","Lecture","32404D","048","10:00-11:50am","Tuesday","93","0","0","","SLH100"
"","","","","Lab","32427R","048","10:00-11:50am","Thursday","93","0","0","","SLH100"
"","","","","Lecture","32433D","048","4:00-5:50pm","Tuesday","120","0","0","","OHE122"
"","","","","Lab","32434R","048","4:00-5:50pm","Thursday","120","0","0","","OHE122"
"","","","","Lecture","32405D","034","4:00-5:50pm","Tuesday","30","0","0","","DEN@Viterbi"
"","","","","Lab","32428R","034","4:00-5:50pm","Thursday","30","0","0","","DEN@Viterbi"
"DSCI-517","Research Methods and Analysis for User Studies","","4.0 units","Lecture","32454D","048","8:00-11:20am","Monday","120","0","0","","OHE122"
"","","","","Lecture","32456D","034","8:00-11:20am","Monday","30","0","0","","DEN@Viterbi"
"DSCI-519","Foundations and Policy for Information Security","","4.0 units","Lecture","32406D","048","12:00-3:20pm","Wednesday","56","0","0","","OHE100D"
"","","","","Lecture","32407D","034","12:00-3:20pm","Wednesday","20","0","0","","DEN@Viterbi"
"DSCI-523","Computer Systems Assurance","P","4.0 units","Lecture","32408D","048","1:00-4:20pm","Friday","45","0","0","","RTH109"
"","","","","Lecture","32409D","034","1:00-4:20pm","Friday","20","0","0","","DEN@Viterbi"
"DSCI-534","Biomedical Data Privacy Issues and Solutions","","4.0 units","Lecture","32439D","048","3:30-6:50pm","Monday","50","0","0","","DMC100"
"","","","","Lecture","32462D","048","3:30-6:50pm","Wednesday","50","0","0","","DMC100"
"DSCI-549","Introduction to Computational Thinking and Data Science","","4.0 units","Lecture","32410D","048","8:00-11:20am","Wednesday","120","0","0","","OHE122"
"","","","","Lecture","32411D","034","8:00-11:20am","Wednesday","30","0","0","","DEN@Viterbi"
"DSCI-550","Data Science at Scale","","4.0 units","Lecture","32412D","048","4:00-5:50pm","Mon, Wed","120","0","0","","OHE122"
"","","","","Lecture","32441D","034","4:00-5:50pm","Mon, Wed","30","0","0","","DEN@Viterbi"
"DSCI-551","Foundations of Data Management","","4.0 units","Lecture","32413D","048","6:00-9:20pm","Monday","120","0","0","","OHE122"
"","","","","Lecture","32414D","048","3:30-6:50pm","Tuesday","163","0","0","","SGM101"
"","","","","Lecture","32443D","034","6:00-9:20pm","Monday","30","0","0","","DEN@Viterbi"
"DSCI-552","Machine Learning for Data Science","","4.0 units","Lecture","32400D","048","4:00-5:50pm","Mon, Wed","187","0","0","","SLH200"
"","","","","Lecture","32448D","048","12:00-1:50pm","Mon, Wed","320","0","0","","SGM123"
"","","","","Lecture","32442D","034","12:00-1:50pm","Mon, Wed","30","0","0","","DEN@Viterbi"
"DSCI-553","Foundations and Applications of Data Mining","P","4.0 units","Lecture","32444D","048","6:00-9:20pm","Thursday","120","0","0","","OHE122"
"","","","","Lecture","32445D","034","6:00-9:20pm","Thursday","30","0","0","","DEN@Viterbi"
"DSCI-554","Data Visualization","","4.0 units","Lecture","32422D","048","9:00-10:50am","Tue, Thu","82","0","0","","GFS116"
"DSCI-556","User Experience Design and Strategy","","4.0 units","Lecture","32424D","048","1:00-4:20pm","Friday","40","0","0","","DMC101"
"","","","","Lecture","32455D","048","5:00-8:20pm","Friday","40","0","0","","DMC101"
"DSCI-560","Data Science Professional Practicum","","4.0 units","Lecture","32426D","048","8:00-9:50am","Mon, Wed","72","0","0","","THH210"
"DSCI-561","Predictive Analytics","","4.0 units","Lecture","31529D","048","2:00-3:50pm","Mon, Wed","45","0","0","","OHE122"
"","","","","Lecture","31546D","048","2:00-3:50pm","Tue, Thu","49","0","0","","GFS101"
"","","","","Lecture","31712D","048","5:30-7:20pm","Mon, Wed","70","0","0","Tao Ma","SOSB46"
"","","","","Lecture","31729D","048","5:30-7:20pm","Tue, Thu","90","0","0","","GFS106"
"","","","","Lecture","31731D","034","2:00-3:50pm","Mon, Wed","20","0","0","","DEN@Viterbi"
"DSCI-562","Integration of Medical Imaging Systems","","4.0 units","Lecture","29305D","034","12:00-1:50pm","Tue, Thu","20","0","0","Brent Liu","DEN@Viterbi"
"","","","","Lecture","29306D","048","12:00-1:50pm","Tue, Thu","33","0","0","Brent Liu","OHE120"
"DSCI-565","Introduction to Deep Learning for Data Science","P","4.0 units","Lecture","32457D","048","4:00-5:50pm","Mon, Wed","48","0","0","","KAP146"
"DSCI-590","Directed Research","","1.0-12.0 units","Lecture","32429D","048","TBA","","30","0","0","","OFFICE"
