"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EALC-101x","Conversational Chinese and Intercultural Communication","","2.0 units","Lecture","25601R","001","1:00-1:50pm","Mon, Wed","12","0","0","Xiang Jian","THH111"
"","","","","Lecture","25602R","001","1:00-1:50pm","Tue, Thu","12","0","0","Xiang Jian","DMC153"
"EALC-102","Language, Art and Culture: Calligraphy","","2.0 units","Lecture","25694R","001","2:00-3:50pm","Monday","12","0","0","Yu-Chi Kuo","WPH603"
"","","","","Lecture","25696R","001","2:00-3:50pm","Tuesday","12","0","0","Hsiao-Yun Liao","DMC104"
"","","","","Lecture","25698R","001","2:00-3:50pm","Wednesday","12","0","0","Yi-Hsien Liu","SOSB43"
"","","","","Lecture","25699R","001","2:00-3:50pm","Thursday","12","0","0","Yu-Chi Kuo","SOSB52"
"EALC-104","Chinese I","","4.0 units","Lecture","25403D","001","10:00-10:50am","MTuWTh","18","0","0","Yu-Chi Kuo","DMC206"
"","","","","Lecture","25636D","001","11:00-11:50am","MTuWTh","19","0","0","Yu-Chi Kuo","DMC206"
"EALC-106","Chinese II","P","4.0 units","Lecture","25373R","001","10:00-10:50am","MTuWTh","18","0","0","Xiang Jian","DMC209"
"","","","","Lecture","25416R","001","11:00-11:50am","MTuWTh","18","0","0","Tin-Yu Tseng","DMC209"
"","","","","Lecture","25417R","001","12:00-12:50pm","MTuWTh","18","0","0","Tin-Yu Tseng","DMC259"
"EALC-110gp","East Asian Humanities: The Great Tradition","","4.0 units","Lecture","25420R","001","12:00-1:20pm","Mon, Wed","49","0","0","Wanmeng Li","ZHS163"
"","","","","Discussion","25421R","001","10:00-10:50am","Friday","24","0","0","","DMC160"
"","","","","Discussion","25422R","001","11:00-11:50am","Friday","25","0","0","","DMC160"
"EALC-115","Korean I","","4.0 units","Lecture","25430D","001","10:00-10:50am","MTuWTh","19","0","0","Woojoo Kim","DMC111"
"","","","","Lecture","25431D","001","11:00-11:50am","MTuWTh","18","0","0","Woojoo Kim","DMC111"
"","","","","Lecture","25432D","001","12:00-12:50pm","MTuWTh","18","0","0","","DMC111"
"EALC-117","Korean II","P","4.0 units","Lecture","25434R","001","10:00-10:50am","MTuWTh","18","0","0","Seojin Park","WPH104"
"","","","","Lecture","25435R","001","11:00-11:50am","MTuWTh","18","0","0","Seojin Park","WPH104"
"","","","","Lecture","25440R","001","12:00-12:50pm","MTuWTh","18","0","0","Seojin Park","WPH104"
"EALC-120","Japanese I","","4.0 units","Lecture","25436D","001","9:00-9:50am","MTuWTh","18","0","0","Maki Irie","THH121"
"","","","","Lecture","25437D","001","10:00-10:50am","MTuWTh","18","0","0","Maki Irie","THH121"
"","","","","Lecture","25438D","001","12:00-12:50pm","MTuWTh","18","0","0","Yuka Kumagai","DMC110"
"","","","","Lecture","25321D","001","1:00-1:50pm","MTuWTh","18","0","0","","DMC110"
"EALC-121","Extensive Reading in Japanese I","P","2.0 units, max 8","Lecture","25526R","001","3:00-4:40pm","Wednesday","12","0","0","Yuka Kumagai","DML110C"
"EALC-122","Japanese II","P","4.0 units","Lecture","25443R","001","9:00-9:50am","MTuWTh","18","0","0","Mamiko Konno","DMC106"
"","","","","Lecture","25444R","001","10:00-10:50am","MTuWTh","18","0","0","Mitsuhiro Kono","DMC106"
"","","","","Lecture","25445R","001","11:00-11:50am","MTuWTh","18","0","0","Mitsuhiro Kono","DMC109"
"EALC-145g","Introduction to Chinese Culture, Art and Literature","","4.0 units","Lecture","25352R","001","2:00-3:20pm","Mon, Wed","49","0","0","Mengxiao Wang","DMC150"
"","","","","Discussion","25380R","001","10:00-10:50am","Friday","24","0","0","","DMC154"
"","","","","Discussion","25381R","001","11:00-11:50am","Friday","25","0","0","","GFS107"
"EALC-150gw","Global Chinese Cinema and Cultural Studies","","4.0 units","Lecture","25500R","001","8:00-9:20am","Tue, Thu","130","0","0","Brian Bernards","THH301"
