"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ECON-101g","Free People, Free Thought and Free Markets","","4.0 units","Lecture-Discussion","49365R","001","11:00-11:50am","MWF","30","0","0","Scott Soames Thomas Chaney","WPH203"
"ECON-203g","Principles of Microeconomics","","4.0 units","Lecture","26022R","001","2:00-3:15pm","Tue, Thu","157","0","0","Brijesh Pinto","SGM101"
"","","","","Discussion","26024R","001","1:00-1:50pm","Friday","26","0","0","","GFS107"
"","","","","Discussion","26026R","001","10:00-10:50am","Friday","26","0","0","","DMC205"
"","","","","Discussion","26028R","001","6:00-6:50pm","Tuesday","26","0","0","","DMC109"
"","","","","Discussion","26030R","001","6:00-6:50pm","Thursday","28","0","0","","DMC200"
"","","","","Discussion","26032R","001","11:00-11:50am","Friday","26","0","0","","DMC256"
"","","","","Discussion","26038R","001","2:00-2:50pm","Friday","26","0","0","","DMC109"
"","","","","Lecture","26320R","001","3:30-4:45pm","Tue, Thu","109","0","0","Xin Jiang","GFS106"
"","","","","Discussion","26321R","001","6:00-6:50pm","Tuesday","27","0","0","","KAP166"
"","","","","Discussion","26322R","001","6:00-6:50pm","Thursday","27","0","0","","KAP166"
"","","","","Discussion","26323R","001","10:00-10:50am","Friday","27","0","0","","DMC256"
"","","","","Discussion","26324R","001","11:00-11:50am","Friday","29","0","0","","DMC210"
"","","","","Lecture","26001R","001","8:30-9:50am","Mon, Wed","109","0","0","Yilmaz Kocer","MRF340"
"","","","","Discussion","26002R","001","6:00-6:50pm","Wednesday","27","0","0","","KAP166"
"","","","","Discussion","26003R","001","6:00-6:50pm","Thursday","27","0","0","","KAP140"
"","","","","Discussion","26006R","001","11:00-11:50am","Friday","27","0","0","","DMC205"
"","","","","Discussion","26010R","001","6:00-6:50pm","Monday","28","0","0","","KAP166"
"ECON-205g","Principles of Macroeconomics","","4.0 units","Lecture","26044R","001","8:00-9:20am","Tue, Thu","108","0","0","Diego de Sousa Rodrigues","GFS106"
"","","","","Discussion","26046R","001","9:00-9:50am","Friday","27","0","0","","KAP166"
"","","","","Discussion","26048R","001","10:00-10:50am","Friday","27","0","0","","DMC210"
"","","","","Discussion","26058R","001","6:00-6:50pm","Monday","27","0","0","","GFS107"
"","","","","Discussion","26059R","001","6:00-6:50pm","Thursday","27","0","0","","GFS107"
"","","","","Lecture","26062R","001","2:00-3:15pm","Mon, Wed","109","0","0","Jaime Meza","THH101"
"","","","","Discussion","26065R","001","10:00-10:50am","Friday","25","0","0","","VHE210"
"","","","","Discussion","26072R","001","6:00-6:50pm","Tuesday","27","0","0","","GFS107"
"","","","","Discussion","26076R","001","11:00-11:50am","Friday","28","0","0","","VHE210"
"","","","","Discussion","26078D","001","6:00-6:50pm","Wednesday","29","0","0","","GFS107"
"ECON-303","Intermediate Microeconomic Theory","P","4.0 units","Lecture","26082R","001","2:00-3:20pm","Mon, Wed","61","0","0","Yilmaz Kocer","GFS118"
"","","","","Lecture","26083R","001","4:00-5:20pm","Mon, Wed","60","0","0","Ergin Bayrak","THH116"
"","","","","Lecture","26085R","001","4:00-5:20pm","Tue, Thu","60","0","0","Ergin Bayrak","VPD105"
"","","","","Lecture","26328R","001","12:00-1:20pm","Mon, Wed","59","0","0","Daniel Bennett","GFS118"
"ECON-305","Intermediate Macroeconomic Theory","P","4.0 units","Lecture","26087R","001","12:00-1:20pm","Mon, Wed","49","0","0","Jaime Meza","SOSB46"
"","","","","Lecture","26088R","001","10:00-11:20am","Mon, Wed","59","0","0","Robert Dekle","SOSB4"
"","","","","Lecture","26090R","001","2:00-3:20pm","Tue, Thu","59","0","0","Lodovico Pizzati","THH114"
"","","","","Lecture","26092R","001","3:30-4:50pm","Tue, Thu","36","0","0","Mark Moore","DMC151"
"ECON-317","Introduction to Statistics for Economists","P","4.0 units","Lecture","26093R","001","4:00-5:20pm","Tue, Thu","64","0","0","Lodovico Pizzati","SOSB4"
"","","","","Lecture","26094R","001","12:00-1:20pm","Tue, Thu","48","0","0","Manochehr Rashidian","KAP146"
"","","","","Lecture","26096R","001","12:00-1:20pm","Mon, Wed","60","0","0","Manochehr Rashidian","THH114"
"","","","","Lecture","26334R","001","4:00-5:20pm","Mon, Wed","52","0","0","Lodovico Pizzati","LVL17"
"ECON-318","Introduction to Econometrics","P","4.0 units","Lecture","26136R","001","10:00-11:20am","Tue, Thu","55","0","0","Manochehr Rashidian","GFS101"
"","","","","Discussion","26311R","001","6:00-6:50pm","Tuesday","29","0","0","","DMC200"
"","","","","Discussion","26319R","001","6:00-6:50pm","Monday","26","0","0","","DMC109"
"","","","","Lecture","26336R","001","5:00-6:20pm","Tue, Thu","62","0","0","Italo Lopez Garcia","GFS116"
"","","","","Discussion","26315R","001","6:00-6:50pm","Wednesday","32","0","0","","KAP145"
"","","","","Discussion","26316R","001","12:00-12:50pm","Friday","30","0","0","","DMC200"
"","","","","Lecture","26338R","001","10:00-11:20am","Mon, Wed","52","0","0","Adam Kaufman","DMC150"
"","","","","Discussion","26317R","001","6:00-6:50pm","Tuesday","30","0","0","","DMC256"
"","","","","Discussion","26318R","001","1:00-1:50pm","Friday","22","0","0","","DMC210"
"ECON-343","Economic Development of East Asia","P","4.0 units","Lecture","26110D","001","10:00-11:20am","Tue, Thu","40","0","0","","KAP163"
"ECON-344","Economic Development of Sub-Saharan Africa","P","4.0 units","Lecture","26111R","001","2:00-3:20pm","Tue, Thu","25","0","0","John Strauss","GFS222"
"ECON-351x","Microeconomics for Business","P","4.0 units","Lecture","26000R","001","11:00-12:20pm","Tue, Thu","70","0","0","","JFFLL125"
"","","","","Lecture","26004R","001","5:00-6:20pm","Mon, Wed","70","0","0","","JFFLL105"
"","","","","Lecture","26007R","001","8:00-9:20am","Tue, Thu","70","0","0","","HOHEDI"
"","","","","Lecture","26008R","001","11:00-12:20pm","Tue, Thu","70","0","0","","JFFLL105"
"","","","","Lecture","26307R","001","12:30-1:50pm","Tue, Thu","70","0","0","","JFFLL125"
"","","","","Lecture","26308R","001","2:00-3:20pm","Tue, Thu","70","0","0","","JFFLL125"
"","","","","Lecture","26310R","001","3:30-4:50pm","Tue, Thu","70","0","0","","JFFLL125"
"","","","","Lecture","26345R","001","12:30-1:50pm","Mon, Wed","70","0","0","","JFFLL105"
"","","","","Lecture","26348R","001","2:00-3:20pm","Mon, Wed","70","0","0","","JFFLL105"
"","","","","Lecture","26349R","001","3:30-4:50pm","Mon, Wed","70","0","0","","JFFLL105"
"","","","","Lecture","26375R","001","6:00-7:20pm","Mon, Wed","70","0","0","","HOHEDI"
"","","","","Lecture","26379R","001","5:00-6:20pm","Tue, Thu","70","0","0","","JFFLL125"
"ECON-352x","Macroeconomics for Business","","4.0 units","Lecture","26051R","001","8:00-9:20am","Tue, Thu","70","0","0","","JFFLL105"
"","","","","Lecture","26052R","001","9:30-10:50am","Tue, Thu","70","0","0","","HOHEDI"
"","","","","Lecture","26053R","001","11:00-12:20pm","Tue, Thu","70","0","0","","HOHEDI"
"","","","","Lecture","26055R","001","12:30-1:50pm","Tue, Thu","70","0","0","","JFFLL105"
"","","","","Lecture","26057R","001","2:00-3:20pm","Mon, Wed","70","0","0","","JFFLL125"
"","","","","Lecture","26060R","001","3:30-4:50pm","Mon, Wed","70","0","0","","JFFLL125"
"","","","","Lecture","26346R","001","8:00-9:20am","Mon, Wed","70","0","0","","JFFLL105"
"","","","","Lecture","26347R","001","9:30-10:50am","Mon, Wed","70","0","0","","JFFLL105"
"","","","","Lecture","26350R","001","11:00-12:20pm","Mon, Wed","70","0","0","","JFFLL105"
"ECON-357","Money, Credit, and Banking","P","4.0 units","Lecture","26118D","001","4:00-5:20pm","Mon, Wed","49","0","0","","SGM601"
"","","","","Lecture","26119R","001","10:00-11:20am","Tue, Thu","53","0","0","Ladan Masoudie","THH210"
"ECON-366","Urban Economics","P","4.0 units","Lecture","26122D","001","8:30-9:50am","Tue, Thu","55","0","0","","SOSB4"
"ECON-395","Economic Policy Issues","P","4.0 units","Lecture","26128D","001","4:00-5:20pm","Mon, Wed","49","0","0","",""
"ECON-404","Games and Economics","P","4.0 units","Lecture","26132R","001","10:00-11:20am","Mon, Wed","49","0","0","Juan Carrillo","KAP156"
"ECON-420","Experimental Economics","P","4.0 units","Lecture","26139R","001","2:00-3:20pm","Mon, Wed","25","0","0","Juan Carrillo","KAP148"
"ECON-450","International Trade","P","4.0 units","Lecture","26148R","001","2:00-3:20pm","Tue, Thu","49","0","0","Terrie Walmsley","KAP156"
"ECON-452","International Finance","P","4.0 units","Lecture","26152R","001","2:00-3:20pm","Tue, Thu","49","0","0","Mark Moore","ZHS163"
"ECON-457","Financial Markets","P","4.0 units","Lecture","26154R","001","3:30-4:50pm","Tue, Thu","49","0","0","","KAP156"
"","","","","Lecture","26155R","001","12:00-1:20pm","Mon, Wed","50","0","0","Steven Sapra","THH212"
"ECON-460","Economic Applications of Machine Learning","P","4.0 units","Lecture","26157D","001","4:00-5:20pm","Mon, Wed","62","0","0","Dong Woo Hahm","VPD105"
"ECON-464","The Principles of Market Design","P","4.0 units","Lecture","26159R","001","10:00-11:20am","Mon, Wed","40","0","0","",""
"ECON-474","Economic Consulting and Applied Managerial Economics","P","4.0 units","Lecture","26161R","001","10:00-11:20am","Mon, Wed","49","0","0","Jeffrey Dubin","DMC102"
"ECON-475","Topics in Philosophy, Politics and Economics","M","4.0 units","Lecture","49586R","001","12:30-1:50pm","Tue, Thu","30","0","0","","SGM226"
"ECON-480","Economics of Industrial Organization","P","4.0 units","Lecture","26162R","001","5:00-6:20pm","Tue, Thu","49","0","0","Ziyi Qiu","LVL16"
"ECON-487","Resource and Environmental Economics","P","4.0 units","Lecture","26165R","001","2:00-3:20pm","Tue, Thu","49","0","0","Matthew Kahn","SSL202"
"ECON-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","26168D","001","TBA","","20","0","0","","OFFICE"
"ECON-495","Honors Thesis","","4.0 units","Lecture","26170D","001","TBA","","15","0","0","","OFFICE"
