"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EE-105","Introduction to Electrical Engineering","","4.0 units","Lecture-Lab","30884D","001","2:00-3:50pm","Tue, Thu","40","0","0","Yasser Khan","OHE230"
"EE-109L","Introduction to Embedded Systems","P","4.0 units","Lecture","30777D","001","12:30-1:50pm","Tue, Thu","30","0","0","","SGM101"
"","","","","Lecture","31009D","001","11:00-12:20pm","Tue, Thu","40","0","0","","GFS106"
"","","","","Lecture","31291D","001","2:00-3:20pm","Tue, Thu","72","0","0","","THH301"
"","","","","Lecture","31395D","001","9:30-10:50am","Tue, Thu","40","0","0","","VPD106"
"","","","","Quiz","30997R","001","7:00-8:50pm","Tuesday","183","0","0","","OFFICE"
"","","","","Lab","30744R","001","12:30-1:50pm","Friday","37","0","0","","VHE205"
"","","","","Lab","30745R","001","12:30-1:50pm","Wednesday","37","0","0","","VHE205"
"","","","","Lab","30746R","001","11:00-12:20pm","Friday","36","0","0","","VHE205"
"","","","","Lab","31292R","001","2:00-3:20pm","Wednesday","38","0","0","","VHE205"
"","","","","Lab","31396R","001","3:30-4:50pm","Wednesday","37","0","0","","VHE205"
"EE-141L","Applied Linear Algebra for Engineering","","4.0 units","Lecture","30418R","001","2:00-3:50pm","Mon, Wed","76","0","0","Todd Brun","ZHS252"
"","","","","Discussion","31225R","001","11:00-11:50am","Tuesday","86","0","0","","MRF340"
"","","","","Lab","30755R","001","9:00-9:50am","Thursday","25","0","0","","VHE214"
"","","","","Lab","30756R","001","10:00-10:50am","Thursday","27","0","0","","GFS223"
"","","","","Lab","30822R","001","11:00-11:50am","Thursday","28","0","0","","THH110"
"EE-155L","Introduction to Computer Programming for Electrical Engineers","","4.0 units","Lecture","30898R","001","4:00-5:50pm","Mon, Wed","98","0","0","Ajitesh Srivastava","SOSB2"
"","","","","Lab","30899R","001","2:00-4:50pm","Friday","98","0","0","","GFS106"
"EE-202L","Linear Circuits","","4.0 units","Lecture","30432R","001","12:00-1:50pm","Tue, Thu","40","0","0","Susan Schober","OHE230"
"","","","","Lecture","30433R","001","10:00-11:50am","Tue, Thu","40","0","0","Susan Schober","OHE230"
"","","","","Discussion","30436R","001","TBA","","80","0","0","","OFFICE"
"","","","","Lab","30434R","001","4:00-5:50pm","Monday","40","0","0","","OHE230"
"","","","","Lab","30435R","001","6:00-8:00pm","Monday","40","0","0","","OHE230"
"EE-250L","Distributed Systems for the Internet of Things","PC","4.0 units","Lecture","30402D","001","10:00-11:50am","Mon, Wed","75","0","0","Bhaskar Krishnamachari","THH301"
"","","","","Lab","30403R","001","4:00-5:50pm","Tuesday","38","0","0","","VHE205"
"","","","","Lab","30420R","001","6:00-7:50pm","Tuesday","38","0","0","","VHE205"
