"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENGL-105x","Creative Writing for Non-Majors","","4.0 units, max 8","Lecture","32600R","001","2:00-4:50pm","Thursday","12","0","0","Robin Lewis","THH105"
"","","","","Lecture","32601R","001","2:00-4:50pm","Monday","12","0","0","","DMC104"
"","","","","Lecture","32602R","001","2:00-4:50pm","Wednesday","12","0","0","","WPH400"
"","","","","Lecture","32603R","001","2:00-4:50pm","Tuesday","12","0","0","","KAP150"
"","","","","Lecture","32604R","001","2:00-4:50pm","Friday","12","0","0","","THH219"
"","","","","Lecture","32605R","001","4:30-7:20pm","Monday","12","0","0","","THH107"
"","","","","Lecture","32613R","001","4:30-7:20pm","Tuesday","12","0","0","","DMC101"
"ENGL-176g","Los Angeles: the City, the Novel, the Movie","","4.0 units","Lecture","32620R","001","2:00-3:50pm","Mon, Wed","150","0","0","Thomas Gustafson","THH202"
"","","","","Discussion","32621R","001","2:00-2:50pm","Tuesday","25","0","0","","DMC200"
"","","","","Discussion","32622R","001","3:00-3:50pm","Tuesday","25","0","0","","DMC259"
"","","","","Discussion","32623R","001","1:00-1:50pm","Thursday","25","0","0","","MHP102"
"","","","","Discussion","32624R","001","12:00-12:50pm","Thursday","25","0","0","","THH106"
"","","","","Discussion","32625R","001","11:00-11:50am","Friday","25","0","0","","DMC109"
"","","","","Discussion","32626R","001","12:00-12:50pm","Friday","25","0","0","","THH213"
"ENGL-230g","Shakespeare and His Times","","4.0 units","Lecture","32627R","001","2:00-3:20pm","Tue, Thu","100","0","0","Ian Smith","SGM124"
"","","","","Discussion","32628R","001","1:00-1:50pm","Monday","25","0","0","","DMC160"
"","","","","Discussion","32629R","001","1:00-1:50pm","Wednesday","24","0","0","","DMC111"
"","","","","Discussion","32630R","001","2:00-2:50pm","Monday","25","0","0","","DMC157"
"","","","","Discussion","32631R","001","12:00-12:50pm","Wednesday","26","0","0","","THH108"
"ENGL-240","Literary Arts","","4.0 units","Lecture","32632D","001","11:00-12:20pm","Tue, Thu","14","0","0","Melissa Daniels-Rauterkus","SOSB38"
"","","","","Lecture","32633D","001","12:30-1:50pm","Tue, Thu","14","0","0","David Roman","DMC204"
"","","","","Lecture","32634D","001","10:00-11:50am","Mon, Wed","14","0","0","Corrine Collins","THH109"
"ENGL-261g","English Literature to 1800","","4.0 units","Lecture","32635R","001","9:30-10:50am","Tue, Thu","20","0","0","Ian Smith","THH115"
"","","","","Lecture","32636R","001","2:00-3:20pm","Tue, Thu","19","0","0","Steven Minas","THHB10"
"","","","","Lecture","32637R","001","3:30-4:50pm","Mon, Wed","19","0","0","Anthony Kemp",""
"ENGL-262g","English Literature since 1800","","4.0 units","Lecture","32640R","001","11:00-12:20pm","Tue, Thu","19","0","0","Margaret Russett","THH119"
"","","","","Lecture","32641R","001","2:00-3:20pm","Tue, Thu","19","0","0","Ashley Cohen","DMC207"
"ENGL-263g","American Literature","","4.0 units","Lecture","32645R","001","10:00-10:50am","MWF","18","0","0","Jane Hu","THH117"
"","","","","Lecture","32646R","001","3:30-4:50pm","Tue, Thu","19","0","0","David Roman","THH203"
