"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENGR-100a","Engineering Honors Colloquium","","1.0 unit","Lecture","28501D","001","1:00-1:50pm","Friday","95","0","0","","GFS106"
"ENGR-100b","Engineering Honors Colloquium","P","1.0 unit","Lecture","28502D","001","1:00-1:50pm","Friday","35","0","0","","GFS106"
"ENGR-102","Engineering Freshman Academy","C","2.0 units","Lecture","28507D","001","10:00-11:50am","Monday","31","0","0","","DRB146"
"","","","","Lecture","28509D","001","1:00-2:50pm","Monday","28","0","0","",""
"","","","","Lecture","28516D","001","11:00-12:50pm","Thursday","28","0","0","",""
"","","","","Lecture","28518D","001","10:00-11:50am","Tuesday","28","0","0","","DRB146"
"","","","","Lecture","28519D","001","1:30-3:20pm","Wednesday","29","0","0","",""
"","","","","Lecture","28520D","001","2:00-3:50pm","Tuesday","28","0","0","","DRB146"
"","","","","Lecture","28631D","001","4:00-5:50pm","Wednesday","28","0","0","",""
"","","","","Lecture","28632D","001","12:00-1:50pm","Friday","28","0","0","",""
"","","","","Lecture","28634D","001","10:00-11:50am","Thursday","28","0","0","","DRB146"
"","","","","Lecture","28635D","001","12:00-1:50pm","Thursday","30","0","0","",""
"","","","","Lecture","28638D","001","10:00-11:50am","Friday","28","0","0","",""
"","","","","Lecture","28641D","001","3:30-5:20pm","Thursday","28","0","0","","DRB146"
"","","","","Quiz","28645R","001","6:00-6:50pm","Thursday","420","0","0","","THH201"
"ENGR-301","Technology Entrepreneurship","","3.0 units","Lecture","14641R","001","6:00-8:50pm","Tuesday","36","0","0","","JFF417"
"","","","","Lecture","14642R","001","6:00-8:50pm","Wednesday","36","0","0","","JFF417"
"ENGR-395ax","Cooperative Education Work Experience","","1.0-2.0 units, max 5","Lecture","28521D","001","TBA","","25","0","0","","OFFICE"
"ENGR-395bx","Cooperative Education Work Experience","P","1.0-2.0 units, max 5","Lecture","28522D","001","TBA","","30","0","0","","OFFICE"
"ENGR-395cx","Cooperative Education Work Experience","P","1.0-2.0 units, max 5","Lecture","28523D","001","TBA","","20","0","0","","OFFICE"
"ENGR-395dx","Cooperative Education Work Experience","P","1.0-2.0 units, max 5","Lecture","28524D","001","TBA","MTuW","85","0","0","","OFFICE"
"ENGR-400","Engineering Honors Projects","M","1.0-3.0 units, max 12","Lecture","28525D","001","TBA","","15","0","0","","OFFICE"
"ENGR-445","Principles and Practices of Global Innovation","C","4.0 units","Lecture","31521D","001","5:00-8:20pm","Tuesday","40","0","0","Stephen Lu","RTH217"
"","","","","Lecture","31721D","034","5:00-8:20pm","Tuesday","20","0","0","Stephen Lu","DEN@Viterbi"
"ENGR-492","Thought Leadership in a Technologically Changing World","","2.0 units","Lecture","28532R","060","10:00-11:50am","Friday","40","0","0","","ONLINE"
"ENGR-494","Technology Development and Commercialization","M","2.0 units","Lecture","28531D","001","3:00-4:50pm","Tuesday","25","0","0","","VHE206"
