"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FBE-206","The Power of Personal Finance","","2.0 units","Lecture","15285R","001","4:00-5:50pm","Tuesday","36","0","0","","JFF417"
"","","","","Lecture","15286R","001","4:00-5:50pm","Thursday","36","0","0","","BRI8"
"FBE-391","Real Estate Finance and Investment","PC","4.0 units","Lecture","15305R","001","10:00-11:50am","Mon, Wed","48","0","0","Selale Tuzel","JFF416"
"","","","","Lecture","15306R","001","12:00-1:50pm","Mon, Wed","48","0","0","Selale Tuzel","JFF236"
"FBE-400x","Introduction to Real Estate Finance and Development","","4.0 units","Lecture","15314R","001","6:00-7:50pm","Tue, Thu","48","0","0","","HOHEDI"
"FBE-403","Introduction to the Legal Environment of Business","C","4.0 units","Lecture","15320R","001","10:00-11:50am","Mon, Wed","86","0","0","Kevin Fields","HOHEDI"
"FBE-421","Financial Analysis and Valuation","PC","4.0 units","Lecture","15323R","001","8:00-9:50am","Mon, Wed","70","0","0","Julia Plotts","JKP110"
"","","","","Lecture","15324R","001","10:00-11:50am","Mon, Wed","70","0","0","Julia Plotts","JKP110"
"","","","","Lecture","15325R","001","12:00-1:50pm","Mon, Wed","70","0","0","Julia Plotts","JKP110"
"","","","","Lecture","15326R","001","2:00-3:50pm","Tue, Thu","73","0","0","Scott Abrams","JFFLL105"
"FBE-423","Introduction to Venture Capital and Private Equity","P","4.0 units","Lecture","15328R","001","2:00-3:50pm","Mon, Wed","45","0","0","","JFF316"
"FBE-424","Financial Institutions and Capital Markets","PC","4.0 units","Lecture","15329R","001","4:00-5:50pm","Mon, Wed","36","0","0","","JFF417"
"FBE-427","Real Estate Law","C","4.0 units","Lecture","15330R","001","4:00-5:50pm","Mon, Wed","78","0","0","","JKP110"
"FBE-428","Introduction to Employment Law","","4.0 units","Lecture","15333R","001","2:00-3:50pm","Tue, Thu","60","0","0","","JFF236"
"FBE-429","International Business Law","","4.0 units","Lecture","15335R","001","12:00-1:50pm","Tue, Thu","60","0","0","","JFF236"
"FBE-430","Introduction to Decentralized Finance - DeFi","","2.0 units","Lecture","15337R","431","2:00-3:50pm","Tue, Thu","25","0","0","","ACC205"
"FBE-432","Corporate Financial Strategy","P","4.0 units","Lecture","15340R","001","12:00-1:50pm","Mon, Wed","36","0","0","","JFF328"
"FBE-435","Applied Finance in Fixed Income Securities","P","4.0 units","Lecture","15350R","001","2:00-3:50pm","Mon, Wed","40","0","0","","JFF236"
