"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GEOL-105Lg","Planet Earth","","4.0 units","Lecture","24800R","001","3:30-4:40pm","Tue, Thu","225","0","0","Sylvain Barbot","THH101"
"","","","","Lab","24801R","001","8:00-9:50am","Tuesday","15","0","0","","ZHSB54"
"","","","","Lab","24802R","001","8:00-9:50am","Wednesday","15","0","0","","ZHSB54"
"","","","","Lab","24803R","001","8:00-9:50am","Thursday","15","0","0","","ZHSB54"
"","","","","Lab","24804R","001","10:00-11:50am","Tuesday","15","0","0","","ZHSB54"
"","","","","Lab","24806R","001","10:00-11:50am","Wednesday","15","0","0","","ZHSB54"
"","","","","Lab","24808R","001","10:00-11:50am","Thursday","15","0","0","","ZHSB54"
"","","","","Lab","24809R","001","10:00-11:50am","Friday","15","0","0","","ZHSB54"
"","","","","Lab","24812R","001","12:00-1:50pm","Tuesday","15","0","0","","ZHSB54"
"","","","","Lab","24814R","001","12:00-1:50pm","Wednesday","15","0","0","","ZHSB54"
"","","","","Lab","24816R","001","12:00-1:50pm","Thursday","15","0","0","","ZHSB54"
"","","","","Lab","24819R","001","12:00-1:50pm","Friday","15","0","0","","ZHSB54"
"","","","","Lab","24820R","001","2:00-3:50pm","Wednesday","15","0","0","","ZHSB54"
"","","","","Lab","24821R","001","2:00-3:50pm","Friday","15","0","0","","ZHSB54"
"","","","","Lab","24822R","001","4:00-5:50pm","Wednesday","15","0","0","","ZHSB54"
"","","","","Lab","24823R","001","6:00-7:50pm","Wednesday","15","0","0","","ZHSB54"
"GEOL-107Lg","Oceanography","","4.0 units","Lecture","24824R","001","2:00-3:20pm","Mon, Wed","270","0","0","Karen Lloyd","SGM123"
"","","","","Lab","24826R","001","8:00-9:50am","Tuesday","15","0","0","","ZHSB61"
"","","","","Lab","24828R","001","8:00-9:50am","Wednesday","15","0","0","","ZHSB61"
"","","","","Lab","24830R","001","8:00-9:50am","Thursday","15","0","0","","ZHSB61"
"","","","","Lab","24833R","001","8:00-9:50am","Friday","15","0","0","","ZHSB61"
"","","","","Lab","24834R","001","10:00-11:50am","Tuesday","15","0","0","","ZHSB61"
"","","","","Lab","24835R","001","10:00-11:50am","Wednesday","15","0","0","","ZHSB61"
"","","","","Lab","24836R","001","10:00-11:50am","Thursday","15","0","0","","ZHSB61"
"","","","","Lab","24837R","001","10:00-11:50am","Friday","15","0","0","","ZHSB61"
"","","","","Lab","24838R","001","12:00-1:50pm","Tuesday","15","0","0","","ZHSB61"
"","","","","Lab","24840R","001","12:00-1:50pm","Wednesday","15","0","0","","ZHSB61"
"","","","","Lab","24842R","001","12:00-1:50pm","Thursday","15","0","0","","ZHSB61"
"","","","","Lab","24846R","001","2:00-3:50pm","Tuesday","15","0","0","","ZHSB61"
"","","","","Lab","24847R","001","2:00-3:50pm","Thursday","15","0","0","","ZHSB61"
"","","","","Lab","24848R","001","2:00-3:50pm","Friday","15","0","0","","ZHSB61"
"","","","","Lab","24850R","001","4:00-5:50pm","Tuesday","15","0","0","","ZHSB61"
