"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GERO-200","Gerontology: The Science of Adult Development","","4.0 units","Lecture","36200R","060","TBA","","250","0","0","John Walsh Julia Walsh","ONLINE"
"GERO-300","Introduction to Geroscience Research","","2.0 units","Lecture","36230R","001","10:00-11:50am","Friday","20","0","0","Sean Curran","GER125"
"GERO-301","Current Topics in Geroscience Research","","2.0 units","Lecture","36201R","001","10:00-11:50am","Friday","15","0","0","Sean Curran","GER125"
"GERO-310","Physiology of Aging","","4.0 units","Lecture-Discussion","36210R","001","2:00-3:50pm","Mon, Wed","125","0","0","John Walsh Tara Mastro","GER124"
"GERO-320g","Psychology of Adult Development","","4.0 units","Lecture","36220D","001","10:00-11:50am","Mon, Wed","30","0","0","Deborah Fui-Yuen Hoe","GER115"
"GERO-321","Introduction to Psychology and Aging","","4.0 units","Lecture","36221D","001","10:00-11:50am","Mon, Wed","10","0","0","Deborah Fui-Yuen Hoe","GER115"
"GERO-330","Society and Adult Development","","4.0 units","Lecture","36225R","001","2:00-3:40pm","Tue, Thu","30","0","0","Deborah Fui-Yuen Hoe","GER230"
"GERO-380m","Diversity in Aging","","4.0 units","Lecture","36242R","060","TBA","","100","0","0","Julie Bates Tameka Brown","ONLINE"
"GERO-411L","Physiology, Nutrition, and Aging","","2.0-4.0 units","Lecture","36211R","001","TBA","","15","0","0","Valter Longo","OFFICE"
"GERO-415","Neuroaffective Disorders of Aging","","4.0 units","Lecture","36215R","001","9:00-11:50am","Thursday","40","0","0","Teal Eich","GER115"
"GERO-461","Seminar in Molecular and Computational Biology","C","2.0 units"
"","The Cellular Basis of Learning and Memory","","2.0","Lecture","13056D","001","4:00-5:50pm","Tuesday","15","0","0","Don Arnold","RRI221"
"GERO-470","Aging and Business","","4.0 units","Lecture","36270R","001","9:00-11:50am","Thursday","25","0","0","Deborah Fui-Yuen Hoe","GER230"
"GERO-475","Ethical Issues in Geriatric Health Care","","4.0 units","Lecture","36275R","001","9:00-10:40am","Tue, Thu","25","0","0","Caroline Cicero","GER125"
"GERO-478","Genetics of Aging in UK, Ireland and the United States","","4.0 units","Lecture","36247R","703","TBA","MTuWThF","25","0","0","Sean Curran","OFFICE"
"GERO-483","Global Health and Aging","","4.0 units","Lecture","36257R","001","12:00-1:40pm","Tue, Thu","25","0","0","Aaron Hagedorn","GER230"
"GERO-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","36280D","001","TBA","","15","0","0","","OFFICE"
"GERO-491","Practicum","","2.0-8.0 units, max 8","Lecture","36282D","001","2:00-4:50pm","Thursday","8","0","0","Aaron Hagedorn","GER125"
"GERO-495","Practicum in Geriatric Care","","4.0 units","Lecture","36289D","001","2:00-4:50pm","Monday","25","0","0","Roberto Vicinanza","GER230"
"GERO-497a","Honors Seminar","M","2.0 units","Lecture","36292D","001","TBA","","12","0","0","Tara Mastro","OFFICE"
"GERO-497b","Honors Seminar","PM","2.0 units","Lecture","36293D","001","TBA","","10","0","0","Tara Mastro","OFFICE"
"GERO-497c","Honors Seminar","PM","2.0-4.0 units","Lecture","36294D","001","TBA","","11","0","0","Tara Mastro","OFFICE"
"GERO-500","Perspectives on a Changing Society: An Introduction to Aging","","4.0 units","Lecture","36297R","001","1:00-3:50pm","Tuesday","65","0","0","Aaron Hagedorn","GER124"
"","","","","Lecture","36300R","060","3:00-5:50pm","Tuesday","50","0","0","Caroline Cicero","ONLINE"
"GERO-501","Applied Legal and Regulatory Issues in Aging","","4.0 units","Lecture","36351R","060","11:00-1:50pm","Monday","25","0","0","Julia Walsh","ONLINE"
"","","","","Lecture","36298R","001","11:00-1:50pm","Monday","25","0","0","Julia Walsh","GER230"
"GERO-502","Marketing and Shifts in Consumer Decision Making","","4.0 units","Lecture","36342R","060","9:00-11:50am","Monday","25","0","0","Joshua Johnson James Biggs","ONLINE"
"","","","","Lecture","36301R","001","9:00-11:50am","Monday","35","0","0","Joshua Johnson James Biggs","GER124"
"GERO-504","Current Issues in Aging Services Management","","4.0 units","Lecture","36304R","001","12:00-2:50pm","Friday","30","0","0","James Biggs Joshua Johnson","GER115"
"","","","","Lecture","36344R","060","12:00-2:50pm","Friday","25","0","0","","ONLINE"
"GERO-507","End of Life Care","","4.0 units","Lecture","36337R","060","9:00-11:50am","Wednesday","25","0","0","Susan Enguidanos","ONLINE"
"","","","","Lecture","36306R","001","9:00-11:50am","Wednesday","30","0","0","Susan Enguidanos","GER230"
"GERO-510","Physiology of Development and Aging","","4.0 units","Lecture","36309R","001","10:00-12:50pm","Tuesday","40","0","0","Changhan Lee","GER224"
"","","","","Lecture","36336R","060","10:00-12:50pm","Tuesday","25","0","0","Changhan Lee","ONLINE"
"GERO-511","Fundamentals of Clinical Nutrition Screening and Assessment","C","4.0 units","Lecture","36321D","001","3:30-6:20pm","Tuesday","25","0","0","Socorro Carranza","GER115"
"","","","","Lecture","36323D","060","3:30-6:20pm","Tuesday","15","0","0","Socorro Carranza","ONLINE"
"GERO-512","Communicating Nutrition and Health","C","2.0 units","Lecture","36310D","060","2:30-4:20pm","Wednesday","15","0","0","Carin Kreutzer","ONLINE"
"","","","","Lecture","36312D","001","2:30-4:20pm","Wednesday","30","0","0","Carin Kreutzer","GER115"
"GERO-513","Fundamentals of Nutrition: Macronutrients","C","2.0 units","Lecture","36311D","001","1:00-2:40pm","Tuesday","25","0","0","Roberto Vicinanza","GER115"
"","","","","Lecture","36313D","060","1:00-2:40pm","Tuesday","15","0","0","Roberto Vicinanza","ONLINE"
"GERO-515L","Food Production and Food Service Management","C","4.0 units","Lecture-Lab","36320D","060","12:00-2:00pm","Wednesday","15","0","0","Nick Padula","ONLINE, ONLINE"
"","","","","Lecture-Lab","36324D","001","12:00-2:00pm","Wednesday","30","0","0","Nick Padula","GER230, GER115"
"GERO-518","Current Topics in Clinical Nutrition","C","4.0 units","Lecture","36318D","060","9:00-11:50am","Friday","15","0","0","Carin Kreutzer","ONLINE"
"","","","","Lecture","36327D","001","9:00-11:50am","Friday","25","0","0","Carin Kreutzer","GER230"
"GERO-520","Life Span Developmental Psychology","","2.0-4.0 units","Lecture","36317R","001","1:00-3:50pm","Thursday","50","0","0","Elizabeth Zelinski Paul Nash","GER124"
"","","","","Lecture","36322R","060","1:00-3:50pm","Thursday","25","0","0","Elizabeth Zelinski Paul Nash","ONLINE"
"GERO-530","Life Span Developmental Sociology","","4.0 units","Lecture","36330R","001","9:00-11:50am","Wednesday","35","0","0","Paul Nash Lauren Brown","GER124"
"","","","","Lecture","36332R","060","9:00-11:50am","Wednesday","40","0","0","Paul Nash Lauren Brown","ONLINE"
"GERO-540","Social Policy and Aging","","4.0 units","Lecture","36333R","001","2:00-4:50pm","Wednesday","50","0","0","Kate Wilber Mireille Jacobson","GER224"
"","","","","Lecture","36340R","060","2:00-4:50pm","Wednesday","30","0","0","Kate Wilber Mireille Jacobson","ONLINE"
"GERO-555","Integrating Gerontology: A Multidisciplinary Approach","","4.0 units","Lecture","36354D","060","11:00-1:50pm","Thursday","25","0","0","Andrei Irimia","ONLINE"
"","","","","Lecture","36350D","001","11:00-1:50pm","Thursday","25","0","0","Andrei Irimia","GER125"
"GERO-564","Multiple Chronic Conditions, Polypharmacy and Geriatric Synd","","4.0 units","Lecture","36364R","060","2:00-4:50pm","Thursday","25","0","0","Roberto Vicinanza","ONLINE"
"","","","","Lecture","36384R","001","2:00-4:50pm","Thursday","30","0","0","Roberto Vicinanza","GER115"
"GERO-566","Cognitive Decline: Alzheimer's Disease and Dementia and Adva","","4.0 units","Lecture","36358R","001","1:00-3:50pm","Tuesday","20","0","0","Daniel Nation","GER125"
"","","","","Lecture","36359R","060","1:00-3:50pm","Tuesday","25","0","0","Daniel Nation","ONLINE"
"GERO-567","Prevention of Chronic Diseases through Nutrition, Physical A","","4.0 units","Lecture","36346R","060","10:00-12:50pm","Monday","25","0","0","Roberto Vicinanza Julie Pollard","ONLINE"
"","","","","Lecture","36347R","001","10:00-12:50pm","Monday","20","0","0","Roberto Vicinanza Julie Pollard","GER224"
"GERO-568","Adaptive Age-Friendly Environments and Injury Prevention","","4.0 units","Lecture","36348R","001","9:00-11:50am","Tuesday","25","0","0","Manuel Acevedo","GER230"
"","","","","Lecture","36349R","060","9:00-11:50am","Tuesday","25","0","0","Manuel Acevedo","ONLINE"
"GERO-574","Leadership and Management in Senior Living","","3.0 units","Lecture","36374D","001","9:30-11:50am","Friday","25","0","0","Joshua Johnson James Biggs","GER115"
"","","","","Lecture","36375D","060","9:30-11:50am","Friday","15","0","0","Joshua Johnson James Biggs","ONLINE"
"GERO-576","Finance and Senior Living","","3.0 units","Lecture","36356D","001","12:00-2:30pm","Monday","15","0","0","DeWayne Mc Mullin","GER125"
"","","","","Lecture","36376D","060","12:00-2:30pm","Monday","15","0","0","DeWayne Mc Mullin","ONLINE"
"GERO-578","Revenue Management for Senior Living","","2.0 units","Lecture","36378D","001","3:00-4:40pm","Monday","25","0","0","DeWayne Mc Mullin","GER125"
"","","","","Lecture","36379D","060","3:00-4:40pm","Monday","15","0","0","DeWayne Mc Mullin","ONLINE"
"GERO-589","Case Studies in Leadership and Change Management","","4.0 units","Lecture","36355R","001","9:00-11:50am","Wednesday","55","0","0","","GER224"
"","","","","Lecture","36369R","060","9:00-11:50am","Wednesday","50","0","0","","ONLINE"
"GERO-590","Directed Research","","1.0-12.0 units","Lecture","36303D","001","TBA","","10","0","0","Carin Kreutzer","OFFICE"
"","","","","Lecture","36305D","060","TBA","","10","0","0","Carin Kreutzer","ONLINE"
"","","","","Lecture","36360D","001","TBA","","15","0","0","","OFFICE"
"GERO-591","Field Practicum","","1.0-12.0 units, max 12","Lecture","36326D","060","12:30-3:00pm","Friday","25","0","0","Carin Kreutzer Nick Padula","ONLINE"
"","","","","Lecture","36361D","060","2:00-4:50pm","Thursday","25","0","0","Aaron Hagedorn","ONLINE"
"","","","","Lecture","36365D","001","2:00-4:50pm","Thursday","25","0","0","Aaron Hagedorn","GER125"
"","","","","Lecture","36366D","001","12:30-3:00pm","Friday","25","0","0","Carin Kreutzer Nick Padula","GER230"
"GERO-593","Research Methods","","4.0 units","Lecture","36368R","001","9:00-11:50am","Thursday","55","0","0","Tara Mastro Michelle Keller","GER124"
