"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"HBIO-120","Introduction to Human and Evolutionary Biology","M","1.0 unit","Lecture","38409D","001","4:00-4:50pm","Monday","90","0","0","Helaine Lopes","WPHB27"
"HBIO-200Lg","The Human Animal","","4.0 units","Lecture","38511R","001","2:00-3:20pm","Mon, Wed","144","0","0","Chrisandra Kufeldt","MRF340"
"","","","","Lab","38513R","001","8:00-9:50am","Monday","10","0","0","","PEDB13"
"","","","","Lab","38515R","001","10:00-11:50am","Monday","10","0","0","","PEDB13"
"","","","","Lab","38516R","001","12:00-1:50pm","Monday","10","0","0","","PEDB13"
"","","","","Lab","38517R","001","2:00-3:50pm","Tuesday","10","0","0","","PEDB13"
"","","","","Lab","38518R","001","4:00-5:50pm","Tuesday","10","0","0","","PEDB13"
"","","","","Lab","38522R","001","6:00-7:50pm","Tuesday","10","0","0","","PEDB13"
"","","","","Lab","38528R","001","9:00-10:50am","Friday","10","0","0","","PEDB13"
"","","","","Lab","38537R","001","11:00-12:50pm","Friday","10","0","0","","PEDB13"
"","","","","Lab","38538R","001","1:00-2:50pm","Friday","10","0","0","","PEDB13"
"HBIO-202g","Nutrition for Life","","4.0 units","Lecture","38400R","001","2:00-3:20pm","Tue, Thu","90","0","0","Gioia Polidori","SOSB2"
"","","","","Lab","38401R","001","9:00-10:50am","Monday","10","0","0","Helaine Lopes","PEDB16"
"","","","","Lab","38402R","001","11:00-12:50pm","Monday","10","0","0","Helaine Lopes","PEDB16"
"","","","","Lab","38403R","001","4:00-5:50pm","Tuesday","10","0","0","Joshua Carlos","PEDB16"
"","","","","Lab","38404R","001","6:00-7:50pm","Tuesday","10","0","0","Joshua Carlos","PEDB16"
"","","","","Lab","38405R","001","8:00-9:50am","Thursday","10","0","0","Joshua Carlos","PEDB16"
"","","","","Lab","38406R","001","10:00-11:50am","Thursday","10","0","0","Gudrun Floyd","PEDB16"
"HBIO-205Lxg","The Science of Sport","","4.0 units","Lecture","38411R","001","10:00-10:50am","MWF","90","0","0","Helen (Eleni) Soultanakis","WPHB27"
"","","","","Lecture","38420R","001","9:00-9:50am","MWF","54","0","0","Helen (Eleni) Soultanakis","WPHB27"
"","","","","Lab","38412R","001","2:00-3:50pm","Monday","10","0","0","Joshua Carlos","PEDB16"
"","","","","Lab","38413R","001","4:00-5:50pm","Monday","10","0","0","Joshua Carlos","PEDB16"
