"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"HIST-101gp","State and Society in the Ancient World","","4.0 units","Lecture","37008R","001","8:30-9:50am","Tue, Thu","50","0","0","Maya Maskarinec","DMC156"
"","","","","Discussion","37011R","001","10:00-10:50am","Friday","25","0","0","","THH119"
"","","","","Discussion","37012R","001","11:00-11:50am","Friday","25","0","0","","WPHB26"
"HIST-103g","The Emergence of Modern Europe","","4.0 units","Lecture","36960R","001","5:00-6:20pm","Tue, Thu","100","0","0","Lindsay O'Neill","THH301"
"","","","","Discussion","36962R","001","10:00-10:50am","Friday","25","0","0","","THH121"
"","","","","Discussion","36964R","001","11:00-11:50am","Friday","25","0","0","","DMC258"
"","","","","Discussion","36965R","001","8:00-8:50am","Friday","25","0","0","","THH112"
"","","","","Discussion","36966R","001","9:00-9:50am","Friday","25","0","0","","THH112"
"HIST-109g","The Latin American Experience","","4.0 units","Lecture","37190R","001","12:30-1:50pm","Tue, Thu","50","0","0","Joan Flores-Villalobos","THH114"
"","","","","Discussion","37193R","001","10:00-10:50am","Friday","25","0","0","","DMC257"
"","","","","Discussion","37194R","001","11:00-11:50am","Friday","25","0","0","","DMC154"
"HIST-110g","History of Early Africa","","4.0 units","Lecture","37195R","001","11:00-12:20pm","Tue, Thu","50","0","0","Admire Mseba","SOSB2"
"","","","","Discussion","37196R","001","10:00-10:50am","Friday","25","0","0","","SOSB48"
"","","","","Discussion","37197R","001","11:00-11:50am","Friday","25","0","0","","SOSB48"
"HIST-201","Approaches to History","","4.0 units","Lecture","37052R","001","12:30-1:50pm","Tue, Thu","15","0","0","Marjorie Becker","SOSB43"
"","","","","Lecture","37053R","001","3:30-4:50pm","Tue, Thu","15","0","0","Benjamin Uchiyama","DMC204"
"HIST-211gp","Race in America","","4.0 units","Lecture","37028R","001","2:00-3:20pm","Tue, Thu","100","0","0","","SGM123"
"","","","","Discussion","37033R","001","9:00-9:50am","Friday","25","0","0","","THH215"
"","","","","Discussion","37034R","001","9:00-9:50am","Friday","25","0","0","","DMC257"
"","","","","Discussion","37035R","001","10:00-10:50am","Friday","25","0","0","","WPH206"
"","","","","Discussion","37036R","001","10:00-10:50am","Friday","25","0","0","","WPH101"
"HIST-250g","Climate Change: Science, History and Solutions","","4.0 units","Lecture","37030R","001","2:00-3:20pm","Mon, Wed","100","0","0","Joshua Goldstein Victoria Petryshyn","SOSB2"
"","","","","Discussion","37031R","001","9:00-9:50am","Friday","25","0","0","","DMC261"
"","","","","Discussion","37032R","001","10:00-10:50am","Friday","25","0","0","","DMC207"
"","","","","Discussion","37041R","001","10:00-10:50am","Friday","25","0","0","","WPHB30"
"","","","","Discussion","37042R","001","11:00-11:50am","Friday","25","0","0","","DMC102"
"HIST-251gp","History of Science, Technology and Medicine","","4.0 units","Lecture","37029R","001","8:00-9:20am","Tue, Thu","100","0","0","Aro Velmet","THH102"
"","","","","Discussion","37024R","001","9:00-9:50am","Friday","25","0","0","","WPH107"
"","","","","Discussion","37025R","001","11:00-11:50am","Friday","25","0","0","","SOSB47"
"","","","","Discussion","37026R","001","8:00-8:50am","Friday","25","0","0","","THH121"
"","","","","Discussion","37027R","001","10:00-10:50am","Friday","25","0","0","","SOSB47"
"HIST-266gp","Business and East Asian Culture, 1800-Present","","4.0 units","Lecture","37107R","001","3:30-4:50pm","Mon, Wed","150","0","0","Brett Sheehan","SGM101"
