"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"IML-140","Workshop in Multimedia Authoring","","2.0 units"
"","Short Form Video Storytelling for the Web","","2.0","Lecture-Lab","37401R","001","4:00-5:50pm","Monday","20","0","0","Jeanne Jo","SCI207"
"IML-201","The Languages of Digital Media","","4.0 units","Lecture-Lab","37402D","001","10:00-12:50pm","Tuesday","20","0","0","David Johnson","SCIL105"
"IML-202","Media Arts and Practice Studio I","PM","4.0 units","Lecture-Lab","37404D","001","10:00-1:50pm","Thursday","15","0","0","Evan Hughes","SCIL106"
"","","","","Lecture-Lab","37405D","001","10:00-1:50pm","Thursday","15","0","0","Michael Bodie","SCI106"
"IML-230","Introduction to Visual Design","","4.0 units","Lecture-Lab","37411D","001","1:00-3:50pm","Monday","20","0","0","Renee Reizman","SCIL105"
"IML-288","Introduction to Creative Coding","","4.0 units","Lecture-Lab","37412D","001","10:00-12:50pm","Monday","20","0","0","Jeanne Jo","SCI206"
"IML-300","Introduction to Creative Web Programming","","4.0 units","Lecture-Lab","37413D","001","6:00-8:50pm","Tuesday","20","0","0","Qianqian Ye","SCI206"
"IML-310","Professionalism for Media Arts","P","2.0 units","Lecture-Lab","37407D","001","10:00-11:50am","Wednesday","20","0","0","Ashley York","SCIL106"
"IML-328","Introduction to Sound","","2.0 units","Lecture-Lab","37414D","001","1:00-3:50pm","Tuesday","20","0","0","Kim Zumpfe","SCI106"
"IML-335","Introduction to Video","","2.0 units","Lecture-Lab","37415D","001","4:00-6:50pm","Wednesday","20","0","0","Ashley York","SCA310"
"IML-346","Methods in Digital Research","PC","2.0 units","Lecture-Lab","37408D","001","4:00-5:50pm","Monday","15","0","0","Virginia Kuhn","SCIL106"
"IML-354","Introduction to 3-D Modeling","","2.0 units","Lecture-Lab","37416D","001","1:00-3:50pm","Friday","20","0","0","Carrie Chen","SCIL105"
"IML-424","The Music Festival Experience","","4.0 units","Lecture","37435R","001","4:00-6:50pm","Wednesday","48","0","0","Evan Hughes","SCB104"
"IML-430","Advanced Platform: Visual Design","P","4.0 units","Lecture-Lab","37423D","001","10:00-12:50pm","Friday","15","0","0","","SCIL105"
"IML-440","Thesis Studio","P","4.0 units","Lecture-Lab","37438D","001","4:00-5:50pm","Tuesday","15","0","0","Elizabeth Ramsey","SCIL106"
"","","","","Lecture-Lab","37439D","001","4:00-5:50pm","Tuesday","15","0","0","David Johnson","SCIL104"
"IML-453","Design Fiction and Speculative Futures","","4.0 units","Lecture-Lab","37443R","001","10:00-12:50pm","Tuesday","20","0","0","Aisling Kelliher","SCIL104"
"IML-454","Advanced Platform: 3-D Design","P","4.0 units","Lecture-Lab","37426D","001","6:00-8:50pm","Wednesday","15","0","0","Todd Furmanski","SCIL105"
"IML-466","Digital Studies Symposium","","2.0 units","Lecture","37450D","001","4:00-5:50pm","Thursday","50","0","0","Holly Willis","SCI106"
"IML-477","Embodied Storytelling and Immersive Docu-Narratives","","4.0 units","Lecture-Lab","37451R","001","10:00-12:50pm","Wednesday","20","0","0","Michael Bodie","SCI207"
"IML-490","Directed Research","P","1.0-8.0 units, max 12","Lecture","37455D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","37456D","001","TBA","","5","0","0","","OFFICE"
"IML-501L","Digital Media Authorship and the Archive","C","4.0 units","Lecture-Lab","37462R","037","1:00-3:50pm","Wednesday","15","0","0","Virginia Kuhn","SCI209"
"IML-560","Embodied Knowledge and the Fantastical","","4.0 units","Lecture-Lab","37472R","037","1:00-3:50pm","Thursday","15","0","0","Virginia Kuhn","SCI209"
"IML-570","Topics in Ethnographic Media Arts","","2.0-6.0 units, max 12"
"","Ethnofiction","","4.0","Lecture-Lab","37473D","037","10:00-12:50pm","Tuesday","15","0","0","Stephanie Spray","SCI106"
"IML-575","Graduate Media Arts Research Lab","","2.0-4.0 units, max 8"
"","World Building, Narrative Design and Design Visualization","","2.0","Lecture-Lab","37475R","037","10:00-12:50pm","Friday","15","0","0","Alexander Mcdowell","RZC120"
"","Media, Machines and Memoirs","","4.0","Lecture-Lab","37476R","037","10:00-12:50pm","Thursday","15","0","0","Aisling Kelliher","SCI209"
"IML-590","Directed Research","","1.0-12.0 units","Lecture","37480D","037","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","37481D","037","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","37482D","037","TBA","","5","0","0","","OFFICE"
"IML-602","Practice of Media Arts","","4.0 units, max 8","Lecture-Lab","37487D","037","6:00-8:50pm","Thursday","10","0","0","","SCI206"
"IML-607","Critique and Criticality","","2.0 units, max 4","Lecture-Lab","37492D","037","4:00-6:50pm","Tuesday","10","0","0","","SCI209"
"IML-794a","Doctoral Dissertation","","2.0 units","Lecture","37495D","037","TBA","","5","0","0","","OFFICE"
"IML-794b","Doctoral Dissertation","P","2.0 units","Lecture","37496D","037","TBA","","5","0","0","","OFFICE"
"IML-794c","Doctoral Dissertation","P","2.0 units","Lecture","37497D","037","TBA","","5","0","0","","OFFICE"
"IML-794d","Doctoral Dissertation","P","2.0 units","Lecture","37498D","037","TBA","","5","0","0","","OFFICE"
"IML-794z","Doctoral Dissertation","P","0.0 units","Lecture","37499D","037","TBA","","10","0","0","","OFFICE"
