"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ITAL-012x","Italian 120 Language Practicum","","1.0 unit","Lecture","34410D","716","TBA","","12","0","0","","OFFICE"
"ITAL-015x","Italian 150 Language Practicum","","1.0 unit","Lecture","34412D","716","TBA","","12","0","0","","OFFICE"
"ITAL-020x","Course in Reading Italian","","2.0 units","Lecture","34400D","001","2:00-3:50pm","Monday","10","0","0","Alessio Filippi","WPH400"
"ITAL-120","Italian I","","4.0 units","Lecture","34403D","001","8:00-9:50am","Mon, Wed","19","0","0","Francesca Ricciardelli","DMC109"
"","","","","Lecture","34404D","001","10:00-11:50am","Tue, Thu","19","0","0","Francesca Leardini","THH108"
"","","","","Lecture","34405D","001","10:00-11:50am","Mon, Wed","19","0","0","Francesca Leardini","THH112"
"","","","","Lecture","34406D","001","4:00-5:50pm","Mon, Wed","19","0","0","Francesca Ricciardelli","DMC111"
"ITAL-150","Italian II","P","4.0 units","Lecture","34418R","001","10:00-10:50am","TuWThF","19","0","0","Antonio Idini","DMC259"
"","","","","Lecture","34420R","001","1:00-1:50pm","MTuWTh","19","0","0","Francesca Leardini","DMC209"
"","","","","Lecture","34421R","001","11:00-11:50am","TuWThF","19","0","0","Antonio Idini","DMC259"
"ITAL-175","Accelerated Italian for Speakers of Spanish and Other Romance Languages","P","4.0 units","Lecture","34426R","001","4:00-5:50pm","Mon, Wed","19","0","0","James Fortney","THH108"
"ITAL-220","Italian III","P","4.0 units","Lecture","34430R","001","11:00-11:50am","MTuWTh","19","0","0","Alessio Filippi","DMC110"
"","","","","Lecture","34431R","001","1:00-1:50pm","MTuWTh","19","0","0","Alessio Filippi","DMC202"
"ITAL-222","Italian Professional Internship: Communication and Culture","P","2.0 units","Lecture","34433D","001","12:00-1:20pm","Monday","10","0","0","Francesca Ricciardelli","THH219"
"ITAL-240","Italian IV","P","4.0 units","Lecture","34434R","001","4:00-5:50pm","Tue, Thu","16","0","0","Antonio Idini","THH106"
"ITAL-270gw","Black Europe","","4.0 units","Lecture","34263R","001","5:00-6:20pm","Tue, Thu","100","0","0","Edwin Hill","THH102"
"","","","","Discussion","34264R","001","9:00-9:50am","Friday","25","0","0","","THH213"
"","","","","Discussion","34265R","001","10:00-10:50am","Friday","25","0","0","","THH213"
"","","","","Discussion","34266R","001","11:00-11:50am","Friday","25","0","0","","THH215"
"","","","","Discussion","34267R","001","12:00-12:50pm","Friday","25","0","0","","THH215"
"ITAL-300g","Inventing Modern Italy","","4.0 units","Lecture-Discussion","34436R","001","10:00-11:50am","Mon, Wed","19","0","0","Gian-Maria Annovi","SOSB41"
"ITAL-374mg","Women Writers in Europe and America","","4.0 units","Lecture","22040R","001","11:00-12:20pm","Tue, Thu","50","0","0","Margaret Rosenthal","THH114"
"","","","","Discussion","22041R","001","10:00-10:50am","Friday","25","0","0","","DMC200"
"","","","","Discussion","22042R","001","11:00-11:50am","Friday","25","0","0","","MRF229"
"ITAL-382g","Dante","","4.0 units","Lecture-Discussion","34446R","001","12:00-1:50pm","Mon, Wed","19","0","0","Ruggero Sciuto","DMC254"
"ITAL-402","Studies in Modernity","P","4.0 units, max 8","Lecture","34447R","001","2:00-3:20pm","Mon, Wed","19","0","0","Gian-Maria Annovi","KAP134"
"ITAL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","34450D","001","TBA","","10","0","0","","OFFICE"
