"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"JOUR-200w","The Power and Responsibility of the Press","","4.0 units","Lecture","21000R","001","11:00-12:20pm","Tue, Thu","100","0","0","Geoffrey Cowan","ASCG26"
"JOUR-201","Culture of Journalism: Past, Present and Future","","4.0 units","Lecture-Lab","21012R","001","12:00-1:40pm","Mon, Wed","60","0","0","Joe Saltzman","ASC204"
"JOUR-205","Journalism Practicum","","1.0-2.0 units, max 4","Lecture","21040D","060","TBA","","25","0","0","","ONLINE"
"","","","","Lecture","21041D","166","TBA","","15","0","0","","ONLINE"
"JOUR-206","Reporting and Writing Practicum","M","1.0 units, max 2","Lecture","21001R","001","9:00-12:50pm","Monday","5","0","0","","ANN102"
"","","","","Lecture","21002R","001","11:05-2:55pm","Monday","4","0","0","","ANN102"
"","","","","Lecture","21004R","001","8:30-12:20pm","Monday","4","0","0","","ANN102"
"","","","","Lecture","21005D","001","2:00-5:50pm","Tuesday","4","0","0","Rebecca Haggerty","ANN102"
"","","","","Lecture","21006R","001","2:00-5:50pm","Monday","4","0","0","","ANN102"
"","","","","Lecture","21007R","001","12:30-4:20pm","Monday","5","0","0","","ANN102"
"","","","","Lecture","21008R","001","8:30-12:20pm","Tuesday","4","0","0","Rebecca Haggerty","ANN102"
"","","","","Lecture","21009R","001","9:00-12:50pm","Tuesday","5","0","0","","ANN102"
"","","","","Lecture","21010R","001","11:05-2:55pm","Tuesday","4","0","0","Rebecca Haggerty","ANN102"
"","","","","Lecture","21013R","001","12:30-4:20pm","Tuesday","5","0","0","","ANN102"
"","","","","Lecture","21015R","001","9:00-12:50pm","Wednesday","5","0","0","","ANN102"
"","","","","Lecture","21016R","001","11:05-2:55pm","Wednesday","4","0","0","","ANN102"
"","","","","Lecture","21018R","001","2:00-5:50pm","Wednesday","4","0","0","","ANN102"
"","","","","Lecture","21019R","001","12:30-4:20pm","Wednesday","5","0","0","","ANN102"
"","","","","Lecture","21020R","001","8:30-12:20pm","Thursday","4","0","0","","ANN102"
"","","","","Lecture","21021R","001","9:00-12:50pm","Thursday","5","0","0","","ANN102"
"","","","","Lecture","21022R","001","11:05-2:55pm","Thursday","4","0","0","","ANN102"
"","","","","Lecture","21024R","001","2:00-5:50pm","Thursday","4","0","0","","ANN102"
"","","","","Lecture","21025R","001","12:30-4:20pm","Thursday","5","0","0","","ANN102"
"","","","","Lecture","21029R","001","9:30-1:20pm","Friday","4","0","0","","ANN102"
"","","","","Lecture","21031R","001","5:00-8:50pm","Tuesday","4","0","0","","ANN102"
"JOUR-207","Reporting and Writing I","M","3.0 units","Lecture","21092R","001","8:30-11:00am","Tuesday","12","0","0","Alan Abrahamson","ASC230"
"","","","","Lecture","21096R","001","8:30-11:00am","Monday","12","0","0","","ANN308"
"","","","","Lecture","21097R","001","11:30-2:00pm","Tuesday","12","0","0","Christina Bellantoni","ANN307"
"","","","","Lecture","21098R","001","8:30-11:00am","Wednesday","12","0","0","Alan Abrahamson","ASC230"
"","","","","Lecture","21099R","001","11:30-2:00pm","Wednesday","12","0","0","Alan Mittelstaedt","ANN308"
"JOUR-210x","Basics of News Production for Non-Majors","M","2.0 units, max 6","Lecture","21080D","001","TBA","","15","0","0","Christina Bellantoni","ANN102"
"","","","","Lecture","21081D","001","TBA","","15","0","0","Stacy Scholder","ANN102"
"","","","","Lecture","21082D","001","TBA","","15","0","0","Leslie Berestein Rojas","ANN102"
"JOUR-307","Reporting and Writing II","PM","3.0 units","Lecture","21100R","001","8:30-11:00am","Wednesday","10","0","0","Rebecca Haggerty","ANN308"
"","","","","Lecture","21101R","001","8:30-11:00am","Wednesday","10","0","0","","ANN307"
"JOUR-320","Introduction to Coding for Storytelling","PM","2.0 units","Lecture","21164D","001","5:00-6:50pm","Tuesday","10","0","0","Keith Plocek","ANN308"
"","","","","Lecture","21165D","001","10:00-11:50am","Monday","10","0","0","","ANN413"
"JOUR-321","Visual Journalism","M","2.0 units","Lecture","21167R","001","7:00-8:40pm","Monday","12","0","0","","ANN308"
"","","","","Lecture","21168R","001","5:00-6:40pm","Monday","12","0","0","","ANN308"
"","","","","Lecture","21170R","001","3:00-4:40pm","Tuesday","12","0","0","","ANN308"
"","","","","Lecture","21172R","001","3:00-4:40pm","Monday","12","0","0","","ANN308"
"","","","","Lecture","21174R","001","5:00-6:40pm","Tuesday","12","0","0","","ANN211"
"JOUR-322","Introduction to Investigative and Data Journalism","P","2.0 units","Lecture","21175R","001","10:00-11:40am","Wednesday","15","0","0","Dana Chinn","ANN408"
"","","","","Lecture","21176R","060","3:00-4:40pm","Wednesday","15","0","0","","ONLINE"
"","","","","Lecture","21177R","001","12:00-1:40pm","Tuesday","15","0","0","Dana Chinn","ANN408"
"","","","","Lecture","21178R","001","6:00-7:40pm","Monday","15","0","0","","ANN307"
"","","","","Lecture","21181R","001","3:00-4:40pm","Tuesday","15","0","0","","ANN408"
"JOUR-323","Journalism and the Audience","","2.0 units","Lecture","21327R","001","2:00-3:40pm","Tuesday","18","0","0","Robert Hernandez","ANN409ABC"
"JOUR-330","Photojournalism","","4.0 units","Lecture","21130R","001","3:00-6:20pm","Tuesday","16","0","0","Myra Turner","ANN209"
"JOUR-350","Introduction to Sports Media","","4.0 units","Lecture","21179R","001","2:00-5:20pm","Tuesday","30","0","0","","ANNL116"
"JOUR-372","Engaging Diverse Communities","PM","2.0 units","Lecture","21106R","001","2:30-4:10pm","Tuesday","14","0","0","","ANN413"
"","","","","Lecture","21107R","001","5:00-6:40pm","Tuesday","14","0","0","","ANN307"
"","","","","Lecture","21108R","001","7:00-8:40pm","Tuesday","14","0","0","","ANN307"
"","","","","Lecture","21109R","001","4:30-6:10pm","Tuesday","14","0","0","","ANN413"
"JOUR-380","Sports, Business and Media in Today's Society","","4.0 units","Lecture","21203R","001","6:30-9:50pm","Wednesday","80","0","0","Jeff Fellenzer","ANNL105A"
"JOUR-381","Entertainment, Business and Media in Today's Society","","4.0 units","Lecture","21224R","001","5:00-8:20pm","Monday","33","0","0","Mary Murphy","ANNL116"
"JOUR-402","Advanced Video Reporting","P","6.0 units","Lecture","21104R","001","9:00-12:20pm","Thursday","15","0","0","","ANN305"
"","","","","Lab","21228R","001","10:00-6:00pm","Monday","4","0","0","","ANN102"
"","","","","Lab","21229R","001","10:00-6:00pm","Tuesday","4","0","0","","ANN102"
"","","","","Lab","21230R","001","10:00-6:00pm","Wednesday","4","0","0","","ANN102"
"","","","","Lab","21231R","001","12:30-8:30pm","Thursday","4","0","0","","ANN102"
"JOUR-403","Television News and Sports Production","P","6.0 units","Lecture","21232R","001","9:00-12:20pm","Thursday","12","0","0","Stacy Scholder","ANN210"
"","","","","Lab","21191R","001","10:30-6:30pm","Monday","3","0","0","","ANN102"
