"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"LAW-150","Stereotypes, Prejudice and the Rule of Law","","4.0 units","Lecture","02663R","001","10:00-11:50am","Mon, Wed","50","0","0","Jody Armour",""
"LAW-200w","Law and Society","","4.0 units","Lecture-Discussion","02603R","001","12:00-1:50pm","Mon, Wed","200","0","0","Felipe Jimenez","THH201"
"LAW-201","Law and Politics","","4.0 units","Lecture","02616R","001","4:00-7:20pm","Tuesday","30","0","0","Franita Tolson","LAW2"
"LAW-203","Criminal Punishment in the Age of Mass Incarceration","","4.0 units","Lecture","02626R","001","4:00-5:50pm","Mon, Wed","40","0","0","Dan Simon","VPD106"
"LAW-205","Introduction to Criminal Law","","4.0 units","Lecture","02613R","001","12:00-1:50pm","Tue, Thu","90","0","0","Peter Johnson","WPHB27"
"LAW-207","Personal Data in the 21st Century","","4.0 units","Lecture","02656R","001","5:00-7:20pm","Thursday","37","0","0","Hinh Tran","DMC261"
"LAW-210p","Fundamentals of the U.S. Legal System","","4.0 units","Lecture","02665R","001","2:00-3:50pm","Tue, Thu","160","0","0","Donald Scotten",""
"LAW-212","Immigration Law for a New America","","4.0 units","Lecture","02653R","001","12:00-1:40pm","Mon, Wed","24","0","0","Jean Reisz","VPD107"
"LAW-220","The Legal Profession","","2.0 units","Lecture","02640R","001","12:00-1:40pm","Friday","160","0","0","Robert Rasmussen","LAW3"
"LAW-222","Interdisciplinary Perspectives on the Law","","2.0 units","Lecture","02612R","001","10:00-11:50am","Monday","30","0","0","Abby Wood","ZHS360"
"LAW-250w","Children and the Law","","4.0 units","Lecture","02650R","001","10:00-11:50am","Mon, Wed","30","0","0","","VHE210"
"LAW-300","Concepts in American Law","","4.0 units","Lecture","02607R","001","2:00-3:50pm","Mon, Wed","90","0","0","Mark Haddad","SLH100"
"","","","","Lecture","02614R","001","2:00-3:50pm","Mon, Wed","58","0","0","Nomi Stolzenberg",""
"LAW-305","International Influence: Law and Power","","4.0 units","Lecture","02654R","001","12:00-1:50pm","Mon, Wed","28","0","0","Iryna Zaverukha","SOSB48"
"LAW-306","Issues in the Use of AI in Law and Regulation","","4.0 units","Lecture","02623R","001","12:00-1:50pm","Tue, Thu","30","0","0","",""
"LAW-311","Fundamentals of Entertainment Law","","4.0 units","Lecture","02689R","001","5:00-6:50pm","Mon, Wed","72","0","0","","THH210"
"LAW-352","Introduction to Law and Economics","","4.0 units","Lecture","02651R","001","9:00-10:50am","Tue, Thu","32","0","0","Robert Maniscalco","DMC155"
"LAW-401","Cybersecurity and Cybercrime","","4.0 units","Lecture","02658R","001","10:00-11:50am","Tue, Thu","40","0","0","","THH118"
"LAW-402","Psychology and Law","","4.0 units","Lecture","02615R","001","4:00-7:20pm","Wednesday","90","0","0","Rakel Larson","WPHB27"
"LAW-407","Regulatory Law","","4.0 units","Lecture","02619R","001","4:00-5:50pm","Tue, Thu","30","0","0","","VPD107"
"LAW-492","Undergraduate Law Review","","1.0-4.0 units","Lecture","02635R","001","6:00-7:50pm","Thursday","25","0","0","","LAW211"
"LAW-497","Legal Studies Capstone Project","MC","2.0 units","Lecture","02659D","001","2:00-3:50pm","Thursday","12","0","0","Dave Campbell","OFFICE"
"","","","","Lecture","02660D","001","4:00-5:50pm","Thursday","12","0","0","","DMC111"
"LAW-498","Law Internship","","1.0-4.0 units, max 8","Lecture","02655D","001","TBA","","11","0","0","","OFFICE"
