"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"LIM-500","Foundations of Library and Information Science","MC","3.0 units","Lecture","16951D","706","5:30-7:00pm","Wednesday","30","0","0","Ruth Wallach","ONLINE"
"LIM-502","User-Centered Collection Development","MC","3.0 units","Lecture","16998D","706","5:30-7:00pm","Tuesday","30","0","0","Joy Shoemaker","ONLINE"
"","","","","Lecture","16999D","706","5:30-7:00pm","Tuesday","30","0","0","Shannon Robinson","ONLINE"
"LIM-503","Information Organization and Description for User Engagement","MC","3.0 units","Lecture","16990D","740","5:30-7:00pm","Wednesday","30","0","0","Marta Golbano","ONLINE"
"LIM-504","Social Science Research Methods in Library and Information S","PMC","3.0 units","Lecture","16974D","740","5:30-7:00pm","Thursday","30","0","0","Eimmy Solis","ONLINE"
"LIM-509","Information Sources and Services","MC","3.0 units","Lecture","16958D","740","5:30-7:00pm","Thursday","30","0","0","Stacy Williams","ONLINE"
"LIM-519","Leading Values-Driven Information Organizations","MC","3.0 units","Lecture","16967D","706","5:30-7:00pm","Thursday","30","0","0","Renee Di Pilato","ONLINE"
"LIM-529","User Services and Community Engagement in Libraries","MC","3.0 units","Lecture","16983D","706","5:30-7:00pm","Wednesday","30","0","0","Jennifer Dinalo","ONLINE"
"LIM-541","Archives and Digital Curation","MC","3.0 units","Lecture","17006D","740","5:30-7:00pm","Tuesday","30","0","0","Ben Alexander","ONLINE"
"","","","","Lecture","17007D","740","5:30-7:00pm","Tuesday","30","0","0","Michaela Ullmann","ONLINE"
"LIM-549","Justice, Equity and Ethics in Information Organizations","MC","3.0 units","Lecture","17030D","706","5:30-7:00pm","Thursday","30","0","0","Cindy Guyer","ONLINE"
"LIM-598","Capstone in Library and Information Management","MC","3.0 units","Lecture","17038D","740","5:30-7:00pm","Wednesday","30","0","0","Jade Winn","ONLINE"
