"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"LING-110g","In a Word","","4.0 units","Lecture","38802R","001","11:00-12:20pm","Tue, Thu","50","0","0","","DMC100"
"","","","","Lab","38808R","001","10:00-11:50am","Friday","25","0","0","","GFS207"
"","","","","Lab","38809R","001","12:00-1:50pm","Friday","25","0","0","","KAP138"
"LING-115gw","Language and Society","","4.0 units","Lecture","38812R","001","9:30-10:50am","Tue, Thu","121","0","0","","GFS106"
"","","","","Discussion","38813R","001","11:00-11:50am","Monday","21","0","0","","THHB9"
"","","","","Discussion","38814R","001","9:00-9:50am","Monday","20","0","0","","KAP165"
"","","","","Discussion","38815R","001","10:00-10:50am","Monday","21","0","0","","THHB9"
"","","","","Discussion","38816R","001","8:00-8:50am","Monday","20","0","0","","GFS114"
"","","","","Discussion","38817R","001","9:00-9:50am","Monday","20","0","0","","KAP134"
"","","","","Discussion","38819R","001","10:00-10:50am","Monday","20","0","0","","DMC255"
"","","","","Lecture","38837R","001","12:30-1:50pm","Tue, Thu","120","0","0","","GFS106"
"","","","","Discussion","38844R","001","11:00-11:50am","Friday","20","0","0","","DMC255"
"","","","","Discussion","38846R","001","9:00-9:50am","Friday","21","0","0","","KAP134"
"","","","","Discussion","38848R","001","10:00-10:50am","Friday","20","0","0","","KAP137"
"","","","","Discussion","38850R","001","8:00-8:50am","Friday","20","0","0","","DMC202"
"","","","","Discussion","38922R","001","9:00-9:50am","Friday","20","0","0","","DMC202"
"","","","","Discussion","38924R","001","10:00-10:50am","Friday","20","0","0","","DMC202"
"","","","","Lecture","38972R","001","2:00-3:20pm","Tue, Thu","120","0","0","","ZHS159"
"","","","","Discussion","38925R","001","12:00-12:50pm","Friday","20","0","0","","THH115"
"","","","","Discussion","38930R","001","9:00-9:50am","Friday","20","0","0","","THH115"
"","","","","Discussion","38931R","001","10:00-10:50am","Friday","20","0","0","","KAP134"
"","","","","Discussion","38932R","001","11:00-11:50am","Friday","20","0","0","","KAP134"
"","","","","Discussion","38937R","001","10:00-10:50am","Friday","18","0","0","","DMC204"
"","","","","Discussion","38939R","001","11:00-11:50am","Friday","23","0","0","","KAP138"
"LING-120","American Sign Language I","","4.0 units","Lecture","38960R","001","4:00-5:20pm","Mon, Wed","25","0","0","","KAP166"
"LING-210g","Introduction to Linguistics","","4.0 units","Lecture","38818R","001","9:30-10:50am","Tue, Thu","48","0","0","","DMC100"
"","","","","Discussion","38830R","001","10:00-11:50am","Friday","24","0","0","","THH106"
"","","","","Discussion","38831R","001","12:00-1:50pm","Friday","24","0","0","","GFS222"
"","","","","Lecture","38990R","001","3:30-4:50pm","Tue, Thu","50","0","0","","DMC152"
"","","","","Discussion","38927R","001","9:30-10:50am","Friday","25","0","0","","VHE206"
"","","","","Discussion","38928R","001","11:00-12:20pm","Friday","25","0","0","","DMC101"
"LING-275Lg","Language and Mind","","4.0 units","Lecture","38971D","001","11:00-12:20pm","Tue, Thu","80","0","0","Barry Schein Toby Mintz",""
"","","","","Lab","38974R","001","8:30-9:50am","Friday","20","0","0","",""
"","","","","Lab","38976R","001","8:30-9:50am","Friday","20","0","0","",""
"","","","","Lab","38978R","001","10:00-11:50am","Friday","20","0","0","",""
"","","","","Lab","38980R","001","10:00-11:50am","Friday","20","0","0","",""
"LING-285Lg","Human Language and Technology","","4.0 units","Lecture","38838R","001","9:30-10:50am","Tue, Thu","120","0","0","","THH102"
"","","","","Lab","38894R","001","8:30-9:50am","Monday","20","0","0","","KAP113"
"","","","","Lab","38896R","001","8:30-9:50am","Friday","20","0","0","","KAP138"
"","","","","Lab","38898R","001","10:00-11:50am","Monday","20","0","0","","LVL3C"
"","","","","Lab","38900R","001","10:00-11:50am","Friday","20","0","0","","VHE214"
"","","","","Lab","38902R","001","12:00-1:50pm","Monday","20","0","0","","KOH208"
"","","","","Lab","38904R","001","12:00-1:50pm","Friday","20","0","0","","KAP166"
"LING-302","Introduction to Syntax","P","4.0 units","Lecture","38845R","001","12:00-1:50pm","Mon, Wed","25","0","0","","GFS222"
"LING-303","Introduction to Semantics and Pragmatics","P","4.0 units","Lecture","38839R","001","1:30-2:50pm","Tue, Thu","25","0","0","","DMC206"
