"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MASC-110L","Materials Science","","4.0 units","Lecture","32100D","001","10:00-10:50am","MWF","68","0","0","","ZHS352"
"","","","","Lecture","32101D","001","11:00-11:50am","MWF","56","0","0","","ZHS352"
"","","","","Discussion","32102R","001","3:30-4:20pm","Monday","32","0","0","","DMC203"
"","","","","Discussion","32104R","001","3:30-4:20pm","Tuesday","30","0","0","","DMC101"
"","","","","Discussion","32106D","001","3:30-4:20pm","Wednesday","32","0","0","","THH106"
"","","","","Discussion","32108R","001","3:30-4:20pm","Thursday","30","0","0","","WPH203"
"","","","","Lab","32118D","001","1:00-2:50pm","Wednesday","16","0","0","","PCE103"
"","","","","Lab","32120R","001","1:00-2:50pm","Monday","16","0","0","","PCE103"
"","","","","Lab","32122R","001","1:00-2:50pm","Tuesday","16","0","0","","PCE103"
"","","","","Lab","32124R","001","1:00-2:50pm","Thursday","16","0","0","","PCE103"
"","","","","Lab","32128R","001","4:00-5:50pm","Thursday","16","0","0","","PCE103"
"","","","","Lab","32130R","001","1:00-2:50pm","Friday","16","0","0","","PCE103"
"","","","","Lab","32126R","001","4:00-5:50pm","Tuesday","16","0","0","","PCE103"
"MASC-310L","Materials Behavior and Processing","","4.0 units","Lecture","32110D","001","2:00-3:20pm","Tue, Thu","35","0","0","","KAP148"
"","","","","Lecture","32131D","001","2:00-3:20pm","Mon, Wed","50","0","0","","THH116"
"","","","","Lab","32117R","001","4:00-5:50pm","Wednesday","12","0","0","","PCE305"
"","","","","Lab","32139R","001","12:00-1:50pm","Thursday","12","0","0","","PCE305"
"","","","","Lab","32109R","001","4:00-5:50pm","Thursday","12","0","0","","PCE305"
"","","","","Lab","32119R","001","10:00-11:50am","Wednesday","12","0","0","","PCE305"
"","","","","Lab","32125R","001","4:00-5:50pm","Tuesday","12","0","0","","PCE305"
"MASC-334L","Mechanical Behavior of Materials","P","4.0 units","Lecture","29636R","001","4:00-5:50pm","Mon, Wed","36","0","0","Bora Gencturk","KAP158"
"","","","","Lab","29638R","001","11:00-1:50pm","Tuesday","9","0","0","","KAPB28"
"","","","","Lab","29640R","001","9:00-11:50am","Friday","9","0","0","","KAPB28"
"","","","","Lab","29641R","001","11:00-1:50pm","Monday","9","0","0","","KAPB28"
"","","","","Lab","29642R","001","11:00-1:50pm","Wednesday","9","0","0","","KAPB28"
"MASC-350L","Nanostructured Materials: Design, Synthesis and Processing","P","4.0 units","Lecture","32132D","001","6:00-8:50pm","Monday","15","0","0","","GFS218"
"","","","","Lab","32135R","001","10:00-12:50pm","Friday","12","0","0","","HED103"
"MASC-475","Physical Properties of Polymers","","4.0 units","Lecture","29452D","001","4:00-5:50pm","Tue, Thu","30","0","0","","KAP140"
"MASC-503","Thermodynamics of Materials","","4.0 units","Lecture","32140D","034","4:00-5:50pm","Mon, Wed","15","0","0","","DEN@Viterbi"
"","","","","Lecture","32142R","048","4:00-5:50pm","Mon, Wed","56","0","0","","OHE100D"
"MASC-505","Crystals and Anisotropy","","4.0 units","Lecture","32144R","048","8:00-9:50am","Tue, Thu","31","0","0","","VHE217"
