"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MATH-040x","Basic Mathematical Skills","","4.0 units","Lecture","39407R","001","9:00-9:50am","MWF","30","0","0","","THH214"
"","","","","Discussion","39408R","001","9:00-9:50am","Tue, Thu","30","0","0","","KAP148"
"MATH-108g","Contemporary Precalculus","P","4.0 units","Lecture","39403R","001","9:00-9:50am","MWF","49","0","0","","DMC100"
"","","","","Discussion","39401R","001","2:00-2:50pm","Tue, Thu","25","0","0","","VHE214"
"","","","","Discussion","39402R","001","3:00-3:50pm","Tue, Thu","24","0","0","","VHE214"
"","","","","Lecture","39406R","001","12:00-12:50pm","MWF","49","0","0","","THH301"
"","","","","Discussion","39404R","001","10:00-10:50am","Tue, Thu","25","0","0","","KAP167"
"","","","","Discussion","39405R","001","11:00-11:50am","Tue, Thu","24","0","0","","KAP167"
"MATH-114xg","Foundations of Statistics","P","4.0 units","Lecture","39410R","001","10:00-10:50am","MWF","49","0","0","","WPHB28"
"","","","","Discussion","39411R","001","8:00-8:50am","Tue, Thu","25","0","0","","KAP113"
"","","","","Discussion","39412R","001","9:00-9:50am","Tue, Thu","24","0","0","","KAP113"
"","","","","Lecture","39413R","001","2:00-2:50pm","MWF","49","0","0","","MHPB7B"
"","","","","Discussion","39414R","001","2:00-2:50pm","Tue, Thu","25","0","0","","DMC109"
"","","","","Discussion","39415R","001","3:00-3:50pm","Tue, Thu","24","0","0","","DMC109"
"MATH-117g","Introduction to Mathematics for Business and Economics","P","4.0 units","Lecture","39419R","001","11:00-11:50am","MWF","49","0","0","","KAP146"
"","","","","Discussion","39420R","001","8:00-8:50am","Tue, Thu","25","0","0","","THH214"
"","","","","Discussion","39421R","001","9:00-9:50am","Tue, Thu","24","0","0","","THH214"
"","","","","Lecture","39422R","001","2:00-2:50pm","MWF","48","0","0","","KAP146"
"","","","","Discussion","39423R","001","10:00-10:50am","Tue, Thu","24","0","0","","KAP113"
"","","","","Discussion","39424R","001","11:00-11:50am","Tue, Thu","24","0","0","","KAP113"
"MATH-118xg","Calculus for Business and Economics","P","4.0 units","Lecture","39429R","001","9:00-9:50am","MWF","49","0","0","","ZHS163"
"","","","","Discussion","39430R","001","10:00-10:50am","Tue, Thu","25","0","0","","KAP159"
"","","","","Discussion","39431R","001","11:00-11:50am","Tue, Thu","24","0","0","","KAP159"
"","","","","Lecture","39432R","001","10:00-10:50am","MWF","49","0","0","","SOSB44"
"","","","","Discussion","39433R","001","2:00-2:50pm","Tue, Thu","25","0","0","","DMC201"
"","","","","Discussion","39434R","001","3:00-3:50pm","Tue, Thu","24","0","0","","DMC201"
"","","","","Lecture","39435R","001","10:00-10:50am","MWF","49","0","0","","DMC100"
"","","","","Discussion","39436R","001","12:00-12:50pm","Tue, Thu","25","0","0","","KAP166"
"","","","","Discussion","39437R","001","1:00-1:50pm","Tue, Thu","24","0","0","","KAP166"
"","","","","Lecture","39438R","001","11:00-11:50am","MWF","49","0","0","","SGM601"
"","","","","Discussion","39439R","001","8:00-8:50am","Tue, Thu","25","0","0","","KAP159"
"","","","","Discussion","39440R","001","9:00-9:50am","Tue, Thu","24","0","0","","KAP159"
"","","","","Lecture","39441R","001","12:00-12:50pm","MWF","49","0","0","","SGM601"
"","","","","Discussion","39442R","001","8:00-8:50am","Tue, Thu","25","0","0","","KAP165"
"","","","","Discussion","39443R","001","9:00-9:50am","Tue, Thu","24","0","0","","KAP165"
"","","","","Lecture","39444R","001","12:00-12:50pm","MWF","49","0","0","","ZHS352"
"","","","","Discussion","39445R","001","2:00-2:50pm","Tue, Thu","25","0","0","","KAP165"
"","","","","Discussion","39446R","001","3:00-3:50pm","Tue, Thu","24","0","0","","KAP165"
"","","","","Lecture","39450R","001","1:00-1:50pm","MWF","49","0","0","","ZHS252"
"","","","","Discussion","39451R","001","2:00-2:50pm","Tue, Thu","25","0","0","","KAP167"
"","","","","Discussion","39452R","001","3:00-3:50pm","Tue, Thu","24","0","0","","KAP167"
"","","","","Lecture","39453R","001","2:00-2:50pm","MWF","49","0","0","","KDC235"
"","","","","Discussion","39454R","001","10:00-10:50am","Tue, Thu","25","0","0","","KAP166"
"","","","","Discussion","39455R","001","11:00-11:50am","Tue, Thu","24","0","0","","KAP166"
"","","","","Lecture","39492R","001","1:00-1:50pm","MWF","49","0","0","","WPHB28"
"","","","","Discussion","39493R","001","12:00-12:50pm","Tue, Thu","25","0","0","","KAP113"
"","","","","Discussion","39494R","001","1:00-1:50pm","Tue, Thu","24","0","0","","KAP113"
"MATH-125g","Calculus I","P","4.0 units","Lecture","39456D","001","9:00-9:50am","MWF","49","0","0","","KAP144"
"","","","","Discussion","39457R","001","10:00-10:50am","Tue, Thu","24","0","0","","KAP140"
"","","","","Discussion","39458R","001","11:00-11:50am","Tue, Thu","25","0","0","","KAP140"
"","","","","Lecture","39495R","001","9:00-9:50am","MWF","49","0","0","","THH116"
"","","","","Discussion","39496R","001","4:00-4:50pm","Tue, Thu","25","0","0","","KAP166"
"","","","","Discussion","39497R","001","5:00-5:50pm","Tue, Thu","24","0","0","","KAP166"
"","","","","Lecture","39462D","001","10:00-10:50am","MWF","49","0","0","","KAP144"
"","","","","Discussion","39463R","001","2:00-2:50pm","Tue, Thu","25","0","0","","KAP140"
"","","","","Discussion","39464R","001","3:00-3:50pm","Tue, Thu","24","0","0","","KAP140"
"","","","","Lecture","39465R","001","10:00-10:50am","MWF","49","0","0","","THH114"
"","","","","Discussion","39466R","001","12:00-12:50pm","Tue, Thu","25","0","0","","KAP167"
"","","","","Discussion","39467R","001","1:00-1:50pm","Tue, Thu","24","0","0","","KAP167"
"","","","","Lecture","39468D","001","11:00-11:50am","MWF","49","0","0","","GFS101"
"","","","","Discussion","39469R","001","12:00-12:50pm","Tue, Thu","25","0","0","","KAP159"
"","","","","Discussion","39470R","001","1:00-1:50pm","Tue, Thu","24","0","0","","KAP159"
"","","","","Lecture","39471R","001","11:00-11:50am","MWF","49","0","0","","DMC152"
"","","","","Discussion","39472R","001","8:00-8:50am","Tue, Thu","25","0","0","","KAP166"
"","","","","Discussion","39473R","001","9:00-9:50am","Tue, Thu","24","0","0","","KAP166"
"","","","","Lecture","39474R","001","12:00-12:50pm","MWF","49","0","0","","SOSB4"
"","","","","Discussion","39475R","001","12:00-12:50pm","Tue, Thu","25","0","0","","KAP165"
"","","","","Discussion","39476R","001","1:00-1:50pm","Tue, Thu","24","0","0","","KAP165"
"","","","","Lecture","39477R","001","12:00-12:50pm","MWF","49","0","0","","KAP146"
"","","","","Discussion","39478R","001","10:00-10:50am","Tue, Thu","25","0","0","","KAP148"
"","","","","Discussion","39479R","001","11:00-11:50am","Tue, Thu","24","0","0","","KAP138"
"","","","","Lecture","39480D","001","1:00-1:50pm","MWF","49","0","0","","MHPB7B"
"","","","","Discussion","39481R","001","8:00-8:50am","Tue, Thu","25","0","0","","KAP140"
"","","","","Discussion","39482R","001","9:00-9:50am","Tue, Thu","24","0","0","","KAP141"
"","","","","Lecture","39486D","001","2:00-2:50pm","MWF","49","0","0","","SOSB4"
"","","","","Discussion","39487R","001","12:00-12:50pm","Tue, Thu","25","0","0","","THHB10"
"","","","","Discussion","39488R","001","1:00-1:50pm","Tue, Thu","24","0","0","","THHB10"
"","","","","Lecture","39489R","001","10:00-10:50am","MWF","49","0","0","","DMC152"
"","","","","Discussion","39490R","001","8:00-8:50am","Tue, Thu","25","0","0","","GFS221"
"","","","","Discussion","39491R","001","9:00-9:50am","Tue, Thu","24","0","0","","GFS221"
"","","","","Lecture","39498R","001","9:00-9:50am","MWF","49","0","0","","SOSB2"
"","","","","Discussion","39499R","001","3:00-3:50pm","Tue, Thu","25","0","0","","DMC206"
"","","","","Discussion","39522R","001","4:00-4:50pm","Tue, Thu","24","0","0","","DMC206"
"MATH-126g","Calculus II","P","4.0 units","Lecture","39500R","001","9:00-9:50am","MWF","49","0","0","","KAP156"
"","","","","Discussion","39501R","001","10:00-10:50am","Tue, Thu","24","0","0","","KAP141"
"","","","","Discussion","39502R","001","11:00-11:50am","Tue, Thu","25","0","0","","KAP148"
"","","","","Lecture","39504D","001","10:00-10:50am","MWF","49","0","0","","THH116"
"","","","","Discussion","39505R","001","8:00-8:50am","Tue, Thu","25","0","0","","KAP148"
"","","","","Discussion","39506R","001","9:00-9:50am","Tue, Thu","24","0","0","","KAP138"
"","","","","Lecture","39512R","001","11:00-11:50am","MWF","49","0","0","","THH114"
"","","","","Discussion","39513R","001","12:00-12:50pm","Tue, Thu","25","0","0","","GFS221"
"","","","","Discussion","39514R","001","1:00-1:50pm","Tue, Thu","24","0","0","","GFS221"
"","","","","Lecture","39516R","001","12:00-12:50pm","MWF","49","0","0","","DMC150"
"","","","","Discussion","39517R","001","10:00-10:50am","Tue, Thu","24","0","0","","KAP158"
"","","","","Discussion","39518R","001","11:00-11:50am","Tue, Thu","25","0","0","","KAP134"
"","","","","Lecture","39519R","001","1:00-1:50pm","MWF","49","0","0","","GFS101"
"","","","","Discussion","39520R","001","5:00-5:50pm","Tue, Thu","25","0","0","","KAP156"
"","","","","Discussion","39521R","001","6:00-6:50pm","Tue, Thu","24","0","0","","KAP113"
"MATH-129","Calculus II for Engineers and Scientists","P","4.0 units","Lecture","39524D","001","9:00-9:50am","MWF","49","0","0","","KAP146"
"","","","","Discussion","39525R","001","8:00-8:50am","Tue, Thu","24","0","0","","THH215"
"","","","","Discussion","39526R","001","9:00-9:50am","Tue, Thu","25","0","0","","THH215"
"","","","","Lecture","39527D","001","11:00-11:50am","MWF","49","0","0","","KAP144"
"","","","","Discussion","39528R","001","8:00-8:50am","Tue, Thu","24","0","0","","KAP137"
"","","","","Discussion","39529R","001","9:00-9:50am","Tue, Thu","25","0","0","","KAP137"
"MATH-208x","Elementary Probability and Statistics","P","4.0 units","Lecture","39530R","001","11:00-11:50am","MWF","49","0","0","","LVL16"
"MATH-225","Linear Algebra and Linear Differential Equations","P","4.0 units","Lecture","39538R","001","9:00-9:50am","MWF","49","0","0","","SOSB44"
"","","","","Discussion","39539R","001","2:00-2:50pm","Tue, Thu","25","0","0","","ZHS360"
"","","","","Discussion","39540R","001","3:00-3:50pm","Tue, Thu","24","0","0","","ZHS360"
"","","","","Lecture","39541D","001","10:00-10:50am","MWF","49","0","0","","SSL202"
"","","","","Discussion","39542R","001","8:00-8:50am","Tue, Thu","24","0","0","","KAP145"
"","","","","Discussion","39543R","001","9:00-9:50am","Tue, Thu","25","0","0","","KAP158"
"","","","","Lecture","39544R","001","11:00-11:50am","MWF","49","0","0","","SOSB44"
"","","","","Discussion","39545R","001","10:00-10:50am","Tue, Thu","25","0","0","","SOSB37"
"","","","","Discussion","39546R","001","11:00-11:50am","Tue, Thu","24","0","0","","THH215"
"","","","","Lecture","39547R","001","12:00-12:50pm","MWF","49","0","0","","WPHB28"
"","","","","Discussion","39548R","001","12:00-12:50pm","Tue, Thu","24","0","0","","KAP137"
"","","","","Discussion","39549R","001","1:00-1:50pm","Tue, Thu","25","0","0","","KAP137"
"","","","","Lecture","39550R","001","1:00-1:50pm","MWF","49","0","0","","DMC100"
"","","","","Discussion","39551R","001","5:00-5:50pm","Tue, Thu","25","0","0","","KAP167"
"","","","","Discussion","39552R","001","6:00-6:50pm","Tue, Thu","24","0","0","","KAP167"
"","","","","Lecture","39535R","001","2:00-2:50pm","MWF","49","0","0","","DMC156"
"","","","","Discussion","39536R","001","12:00-12:50pm","Tue, Thu","25","0","0","","WPH207"
"","","","","Discussion","39537R","001","1:00-1:50pm","Tue, Thu","24","0","0","","DMC155"
"MATH-226g","Calculus III","P","4.0 units","Lecture","39553R","001","9:00-9:50am","MWF","49","0","0","","SOSB4"
"","","","","Discussion","39554R","001","10:00-10:50am","Tue, Thu","25","0","0","","THHB9"
"","","","","Discussion","39555R","001","11:00-11:50am","Tue, Thu","24","0","0","","THHB9"
"","","","","Lecture","39556D","001","9:00-9:50am","MWF","49","0","0","","KDC235"
"","","","","Discussion","39557R","001","8:00-8:50am","Tue, Thu","25","0","0","","SOSB37"
