"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUSC-102gw","World Music","","4.0 units","Lecture","47203R","001","4:00-5:50pm","Mon, Wed","150","0","0","Scott Spencer","THH202"
"MUSC-105g","Exploring Our Musical Campus","","4.0 units","Lecture","47205R","001","2:00-3:50pm","Tue, Thu","70","0","0","Robert Cutietta","TMCG156"
"MUSC-115gp","Western Music as Sounding History","","4.0 units","Lecture","47208R","001","10:00-11:50am","Tue, Thu","100","0","0","Adam Gilbert","BMH100"
"MUSC-200mgw","The Broadway Musical: Reflections of American Diversity","","4.0 units","Lecture","47213R","001","4:00-5:50pm","Tue, Thu","150","0","0","Karen Parks","THH202"
"MUSC-210g","Electronic Music and Dance Culture","","4.0 units","Lecture","47216R","001","6:00-7:50pm","Mon, Wed","150","0","0","Sean Nye","THH202"
"MUSC-250mgw","The Music of Black Americans","","4.0 units","Lecture","47220R","001","2:00-3:50pm","Mon, Wed","60","0","0","Ron Mc Curdy","KDC240"
"MUSC-255","Songwriting I","","2.0 units","Lecture","47223D","001","6:00-7:50pm","Monday","12","0","0","Natasha Pasternak","TMCG102B"
"","","","","Lecture","47224D","001","2:00-3:50pm","Tuesday","12","0","0","Sean Holt","TMCG102B"
"","","","","Lecture","47225D","001","4:00-5:50pm","Wednesday","25","0","0","David Poe","TMCG102B"
"","","","","Lecture","47226D","001","12:00-1:50pm","Thursday","25","0","0","David Poe","TMCG102B"
"","","","","Lecture","47227D","001","10:00-11:50am","Wednesday","25","0","0","Natasha Pasternak","TMCG102B"
"","","","","Lecture","47228D","001","6:00-7:50pm","Tuesday","25","0","0","Haleigh Bowers","TMCG102B"
"MUSC-320mgw","Hip-hop Music and Culture","","4.0 units","Lecture","47229R","001","6:00-7:50pm","Tue, Thu","150","0","0","Sean Nye","THH202"
"MUSC-355","Songwriting II","P","2.0 units","Lecture","47234D","001","4:00-5:50pm","Tuesday","12","0","0","Haleigh Bowers","TMCG102B"
"","","","","Lecture","47235R","001","4:00-5:50pm","Thursday","25","0","0","David Poe","TMCG102B"
"","","","","Lecture","47236D","001","12:00-1:50pm","Tuesday","12","0","0","Haleigh Bowers","TMCG102B"
"MUSC-372g","Music, Turmoil and Nationalism","","4.0 units","Lecture","47240R","001","2:00-3:50pm","Mon, Wed","70","0","0","Lisa Vest","BMH100"
"MUSC-373g","Writing About Popular Music","","4.0 units","Lecture","47293R","001","12:00-1:50pm","Tue, Thu","70","0","0","Joanna Demers","TMCG156"
"MUSC-374g","Beatles, Stones, Bowie: Empire and Masculinity","","4.0 units","Lecture","47245R","001","2:00-3:50pm","Tue, Thu","140","0","0","Joanna Demers","MRF340"
"MUSC-455","Songwriting III: The Performing Songwriter","P","2.0 units","Lecture","47263R","001","6:00-7:50pm","Wednesday","25","0","0","David Poe","TMCG102B"
"MUSC-460","Film Music: History and Function From 1930 to the Present","","4.0 units","Lecture","47266R","001","4:00-5:50pm","Tue, Thu","60","0","0","Tim Greiving","TMCG156"
"MUSC-481","Young Artist Project II","P","2.0 units","Lecture","47276D","001","10:00-11:50am","Monday","35","0","0","Veronika Krausas","KDC240"
"MUSC-498x","Internship in Music","MC","1.0-4.0 units, max 8","Lecture","47280D","001","TBA","","20","0","0","Brian Head","MUS317"
"MUSC-598","Internship in Music","M","1.0-4.0 units, max 4","Lecture","47286D","001","TBA","","20","0","0","Brian Head","MUS317"
"MUSC-798","Internship in Music","MC","1.0-4.0 units, max 4","Lecture","47294D","001","TBA","","20","0","0","Brian Head","MUS317"
"MUSC-800","Studies for the Qualifying Examination in Music","MC","0.0 units","Lecture","47297D","001","TBA","","30","0","0","Brian Head","MUS317"
