"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"NEUR-421","Neurobiology","P","4.0 units","Lecture","13033R","001","11:00-11:50am","MWF","200","0","0","Dion Dickman Emily Liman Lauren McElvain","SAL101"
"","","","","Discussion","13395R","001","2:00-3:50pm","Thursday","25","0","0","","MHP102"
"","","","","Discussion","13396R","001","2:00-3:50pm","Friday","25","0","0","","KAP147"
"","","","","Discussion","13397R","001","2:00-3:50pm","Monday","25","0","0","","MRF229"
"","","","","Discussion","13398R","001","2:00-3:50pm","Wednesday","25","0","0","","THHB10"
"","","","","Discussion","13399R","001","12:00-1:50pm","Friday","25","0","0","","KAP167"
"","","","","Discussion","13400R","001","12:00-1:50pm","Wednesday","25","0","0","","ZHS360"
"","","","","Discussion","13401R","001","2:00-3:50pm","Tuesday","25","0","0","","KAP147"
"","","","","Discussion","13402R","001","10:00-11:50am","Thursday","25","0","0","","HNB107"
"NEUR-422","Neuropsychology","PC","4.0 units","Lecture","52629R","001","10:00-11:50am","Mon, Wed","25","0","0","Shirin Birjandi","GFS221"
"NEUR-427","Neuropsychopharmacology","P","4.0 units","Lecture","52660R","001","10:00-11:50am","Tue, Thu","25","0","0","Shirin Birjandi","VHE214"
"NEUR-440","Foundations of Cognitive Neuroscience","P","4.0 units","Lecture","52442R","001","4:00-5:50pm","Tue, Thu","125","0","0","Jason Zevin","MRF340"
"NEUR-462","Seminar in Neurobiology","C","2.0 units, max 4"
"","Systems Neuroscience: From Foundational Studies to Today","","2.0","Lecture","13040D","001","4:00-5:50pm","Monday","15","0","0","Judith Hirsch","HNB120F"
"NEUR-490x","Directed Research","","1.0-4.0 units, max 12","Lecture","47600D","001","TBA","","40","0","0","David McKemy","OFFICE"
"NEUR-493x","Neuroscience Honors Seminar","P","1.0 units, max 4","Lecture","47643D","001","12:00-12:50pm","Thursday","16","0","0","Sarah Bottjer Payam Piray","HNB120"
"NEUR-494x","Honors Thesis","","2.0 units","Lecture","47644D","001","12:00-12:50pm","Thursday","15","0","0","Sarah Bottjer Payam Piray","HNB120"
