"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PHED-102a","Weight Training","","1.0 unit","Lecture","49700R","001","8:00-8:50am","Mon, Wed","19","0","0","Sarah McGill","PED210"
"","","","","Lecture","49701R","001","8:00-8:50am","Tue, Thu","19","0","0","Sarah McGill","PED210"
"","","","","Lecture","49702R","001","9:00-9:50am","Mon, Wed","19","0","0","Sarah McGill","PED210"
"","","","","Lecture","49703R","001","9:00-9:50am","Tue, Thu","19","0","0","Scott Teves","PED210"
"","","","","Lecture","49704R","001","10:00-10:50am","Mon, Wed","19","0","0","","PED210"
"","","","","Lecture","49705R","001","10:00-10:50am","Tue, Thu","19","0","0","Kevin Robinson","PED210"
"","","","","Lecture","49706R","001","11:00-11:50am","Mon, Wed","19","0","0","Kevin Robinson","PED210"
"","","","","Lecture","49707R","001","11:00-11:50am","Tue, Thu","19","0","0","Kevin Robinson","PED210"
"","","","","Lecture","49708R","001","12:00-12:50pm","Mon, Wed","19","0","0","","PED210"
"","","","","Lecture","49709R","001","12:00-12:50pm","Tue, Thu","19","0","0","Kevin Robinson","PED210"
"","","","","Lecture","49710R","001","1:00-1:50pm","Mon, Wed","19","0","0","","PED210"
"","","","","Lecture","49711R","001","1:00-1:50pm","Tue, Thu","19","0","0","Diana Ordorica","PED210"
"","","","","Lecture","49712R","001","2:00-2:50pm","Mon, Wed","19","0","0","Scott Teves","PED210"
"","","","","Lecture","49713R","001","2:00-2:50pm","Tue, Thu","19","0","0","Diana Ordorica","PED210"
"","","","","Lecture","49908R","001","10:00-11:50am","Friday","19","0","0","Kevin Robinson","PED210"
"","","","","Lecture","49910R","001","12:00-1:50pm","Friday","19","0","0","Kevin Robinson","PED210"
"PHED-104a","Self-Defense","","1.0 unit","Lecture","49718R","001","10:00-10:50am","Mon, Wed","19","0","0","","PED201"
"","","","","Lecture","49719R","001","10:00-10:50am","Tue, Thu","19","0","0","","PED201"
"","","","","Lecture","49720R","001","11:00-11:50am","Mon, Wed","19","0","0","","PED201"
"","","","","Lecture","49721R","001","11:00-11:50am","Tue, Thu","19","0","0","","PED201"
"","","","","Lecture","49722R","001","12:00-12:50pm","Mon, Wed","19","0","0","","PED201"
"","","","","Lecture","49723R","001","2:00-2:50pm","Tue, Thu","19","0","0","","PED201"
"","","","","Lecture","49920R","001","10:00-11:50am","Friday","19","0","0","","PED201"
"","","","","Lecture","49921R","001","12:00-1:50pm","Friday","19","0","0","","PED201"
"PHED-105","Principles of Self Defense and Personal Safety","","2.0 units","Lecture","49923R","001","8:00-9:50am","Tuesday","19","0","0","","PED201"
"","","","","Lecture","49924R","001","8:00-9:50am","Thursday","19","0","0","","PED201"
"PHED-106a","Physical Conditioning","","1.0 unit","Lecture","49727R","001","8:00-8:50am","Tue, Thu","19","0","0","Kevin Robinson","PED210"
"","","","","Lecture","49728R","001","9:00-9:50am","Mon, Wed","19","0","0","Kevin Robinson","PED210"
"","","","","Lecture","49729R","001","10:00-10:50am","Tue, Thu","19","0","0","Ian Culbertson","PED210"
"","","","","Lecture","49732R","001","11:00-11:50am","Mon, Wed","19","0","0","Isabelle Pilliere Mazumdar","PED210"
"PHED-110a","Swimming","","1.0 unit","Lecture","49739R","001","8:00-8:50am","Tue, Thu","19","0","0","Ian Culbertson","PED210"
"","","","","Lecture","49740R","001","9:00-9:50am","Tue, Thu","19","0","0","Ian Culbertson","PED210"
