"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PHIL-101g","Free People, Free Thought and Free Markets","","4.0 units","Lecture-Discussion","49365R","001","11:00-11:50am","MWF","30","0","0","Scott Soames Thomas Chaney","WPH203"
"PHIL-103g","Philosophy, Politics and Economics in Europe, from Renaissan","","4.0 units","Lecture","49679R","001","11:00-12:20pm","Tue, Thu","100","0","0","Jacob Soll","MHP101"
"","","","","Discussion","49392R","001","1:00-1:50pm","Wednesday","25","0","0","","MHP102"
"","","","","Discussion","49393R","001","1:00-1:50pm","Monday","25","0","0","","GFS220"
"","","","","Discussion","49694R","001","8:00-8:50am","Wednesday","25","0","0","","MHPB7B"
"","","","","Discussion","49695R","001","9:00-9:50am","Wednesday","25","0","0","","GFS108"
"","","","","Discussion","49696R","001","8:00-8:50am","Friday","22","0","0","","MHP102"
"","","","","Discussion","49697R","001","9:00-9:50am","Friday","22","0","0","","DMC107"
"PHIL-122a","Reasoning and Argument","","2.0 units","Lecture","49345R","416","5:00-6:50pm","Tue, Thu","25","0","0","",""
"PHIL-122b","Reasoning and Argument","P","2.0 units","Lecture","49346D","664","5:00-6:50pm","Tue, Thu","25","0","0","",""
"PHIL-170g","Introduction to Philosophy, Politics and Economics and Law","","4.0 units","Lecture","49356R","001","11:00-12:20pm","Mon, Wed","100","0","0","Jake Monaghan",""
"PHIL-174gw","Freedom, Equality, and Social Justice","","4.0 units","Lecture","49401R","001","2:00-2:50pm","MWF","150","0","0","Jonathan Quong","HAR101"
"","","","","Discussion","49402R","001","8:00-8:50am","Tuesday","25","0","0","","THHB10"
"","","","","Discussion","49403R","001","9:00-9:50am","Tuesday","25","0","0","","THHB10"
"","","","","Discussion","49404R","001","10:00-10:50am","Tuesday","25","0","0","",""
"","","","","Discussion","49405R","001","11:00-11:50am","Tuesday","25","0","0","","MHP102"
"","","","","Discussion","49406R","001","10:00-10:50am","Thursday","25","0","0","","KAP165"
"","","","","Discussion","49407R","001","11:00-11:50am","Thursday","25","0","0","","KAP165"
"PHIL-176gw","Introduction to Feminist Philosophy","","4.0 units","Lecture","49410R","001","12:30-1:50pm","Tue, Thu","150","0","0","Emily Tilton","THH301"
"","","","","Discussion","49411R","001","9:00-9:50am","Wednesday","25","0","0","","KAP167"
"","","","","Discussion","49412R","001","9:00-9:50am","Friday","25","0","0","","KAP167"
"","","","","Discussion","49413R","001","8:00-8:50am","Wednesday","25","0","0","","DMC161"
"","","","","Discussion","49414R","001","8:00-8:50am","Friday","25","0","0","","TBD"
"","","","","Discussion","49431R","001","10:00-10:50am","Wednesday","25","0","0","","TBD"
"","","","","Discussion","49435R","001","10:00-10:50am","Friday","25","0","0","","DMC209"
"PHIL-178gw","Moral Dilemmas in the Legal Domain","","4.0 units","Lecture","49415R","001","12:00-1:50pm","Mon, Wed","100","0","0","John Hawthorne","TBD"
"","","","","Discussion","49416R","001","9:00-9:50am","Tuesday","25","0","0","","TBD"
"","","","","Discussion","49417R","001","9:00-9:50am","Thursday","25","0","0","","TBD"
"","","","","Discussion","49418R","001","10:00-10:50am","Tuesday","25","0","0","","GFS229"
"","","","","Discussion","49432R","001","10:00-10:50am","Thursday","25","0","0","","TBD"
"PHIL-220g","Introduction to Logic","","4.0 units","Lecture","49419R","001","2:00-3:20pm","Mon, Wed","200","0","0","Gabriel Uzquiano",""
"","","","","Discussion","49420R","001","8:00-8:50am","Tuesday","25","0","0","","MHP102"
"","","","","Discussion","49421R","001","9:00-9:50am","Tuesday","25","0","0","","MHP102"
"","","","","Discussion","49422R","001","8:00-8:50am","Thursday","25","0","0","","THHB10"
"","","","","Discussion","49423R","001","9:00-9:50am","Thursday","25","0","0","","THHB10"
"","","","","Discussion","49424R","001","10:00-10:50am","Friday","25","0","0","","MHPB7B"
"","","","","Discussion","49425R","001","11:00-11:50am","Friday","25","0","0","","THH119"
"","","","","Discussion","49426R","001","10:00-10:50am","Friday","25","0","0","","MHP102"
"","","","","Discussion","49427R","001","11:00-11:50am","Friday","25","0","0","","MHP102"
"PHIL-255gp","Existentialism in Philosophy, Literature and Film","","4.0 units","Lecture","49687R","001","3:30-4:50pm","Tue, Thu","100","0","0","Edwin McCann",""
"","","","","Discussion","49688R","001","10:00-10:50am","Wednesday","25","0","0","",""
"","","","","Discussion","49689R","001","11:00-11:50am","Wednesday","25","0","0","","MHP102"
"","","","","Discussion","49690R","001","10:00-10:50am","Friday","25","0","0","","ZHS360"
"","","","","Discussion","49691R","001","11:00-11:50am","Friday","25","0","0","","DMC158"
"PHIL-258g","Probability and Rational Choice","","4.0 units","Lecture","49464R","001","8:30-9:50am","Mon, Wed","100","0","0","Jeff Russell","TBD"
"","","","","Discussion","49465R","001","11:00-11:50am","Tuesday","25","0","0","","THH110"
"","","","","Discussion","49466R","001","11:00-11:50am","Thursday","25","0","0","","TBD"
"","","","","Discussion","49467R","001","8:00-8:50am","Tuesday","25","0","0","","TBD"
"","","","","Discussion","49468R","001","8:00-8:50am","Thursday","25","0","0","","TBD"
"PHIL-270g","Conceptual Foundations of Conflict","","4.0 units","Lecture","49470R","001","2:00-3:20pm","Mon, Wed","100","0","0","Mark Schroeder",""
"","","","","Discussion","49469R","001","8:00-8:50am","Thursday","25","0","0","","MHP102"
"","","","","Discussion","49471R","001","9:00-9:50am","Thursday","25","0","0","","THHB9"
"","","","","Discussion","49472R","001","9:00-9:50am","Friday","25","0","0","","GFS229"
"","","","","Discussion","49473R","001","10:00-10:50am","Friday","25","0","0","","WPH103"
"PHIL-284gp","Ideas on Trial","","4.0 units","Lecture","49482R","001","2:00-3:20pm","Tue, Thu","100","0","0","Robin Jeshion","MHP101"
"","","","","Discussion","49483R","001","9:00-9:50am","Wednesday","25","0","0","","KAP113"
"","","","","Discussion","49484R","001","10:00-10:50am","Wednesday","25","0","0","","MHP102"
"","","","","Discussion","49485R","001","9:00-9:50am","Friday","25","0","0","","MHP102"
"","","","","Discussion","49486R","001","10:00-10:50am","Friday","25","0","0","","KAP163"
"PHIL-336","Philosophy of Mind and Language","","4.0 units","Lecture","49511R","001","12:30-1:50pm","Tue, Thu","30","0","0","Robin Jeshion","WPHB28"
"PHIL-337","Political Philosophy","","4.0 units","Lecture","49512R","001","9:30-10:50am","Tue, Thu","30","0","0","Collis Tahzib",""
"PHIL-350","Intermediate Logic","","4.0 units","Lecture","49522R","001","9:00-9:50am","MWF","30","0","0","Zlatan Damnjanovic","GFS222"
"PHIL-360","Epistemology and Metaphysics","","4.0 units","Lecture","49526R","001","2:00-3:20pm","Mon, Wed","30","0","0","James Van Cleve","DMC261"
"PHIL-363","Philosophy of Perception","","4.0 units","Lecture","49528R","001","5:00-6:20pm","Tue, Thu","31","0","0","Christina Dietz","THH110"
"PHIL-430","Philosophy of Law","","4.0 units","Lecture","49551R","001","5:00-6:20pm","Tue, Thu","100","0","0","Scott Soames","MHP101"
"","","","","Discussion","49553R","001","12:00-12:50pm","Wednesday","25","0","0","","MHP102"
"","","","","Discussion","49554R","001","1:00-1:50pm","Friday","25","0","0","","THH213"
"","","","","Discussion","49556R","001","12:00-12:50pm","Monday","25","0","0","","MHP102"
"","","","","Discussion","49557R","001","1:00-1:50pm","Monday","25","0","0","","MHP102"
"PHIL-431","Law, Society, and Politics","","4.0 units","Lecture","49552R","001","10:00-10:50am","MWF","100","0","0","Jonathan Quong",""
"","","","","Discussion","49550R","001","11:00-11:50am","Tuesday","25","0","0","","TBD"
"","","","","Discussion","49559R","001","10:00-10:50am","Tuesday","25","0","0","","TBD"
"","","","","Discussion","49561R","001","9:00-9:50am","Thursday","25","0","0","","TBD"
"","","","","Discussion","49562R","001","10:00-10:50am","Thursday","25","0","0","","TBD"
"PHIL-437","Social and Political Philosophy","","4.0 units","Lecture","49555R","001","12:30-1:50pm","Tue, Thu","31","0","0","Sharon Lloyd","VPD106"
"PHIL-442","History of Ethics to 1900","","4.0 units","Lecture","49560R","001","3:30-4:50pm","Tue, Thu","30","0","0","Jacob Soll","DMC211"
"PHIL-450","The Limits of Logic","P","4.0 units","Lecture","49568R","001","2:00-4:50pm","Thursday","28","0","0","","THH215"
"PHIL-452","Modal Logic","P","4.0 units","Lecture","49572R","001","8:30-9:20am","Mon, Wed","18","0","0","Gabriel Uzquiano","MHP102"
"PHIL-462","Philosophy of Mind","","4.0 units","Lecture","49575R","001","2:00-3:20pm","Mon, Wed","30","0","0","Sam Clarke","WPH205"
"PHIL-463","Theories of Action","","4.0 units","Lecture","49676R","001","2:00-3:20pm","Tue, Thu","30","0","0","Kadri Vihvelin",""
"PHIL-467","Language, Linguistics and Mind","","4.0 units","Lecture","49582R","001","2:00-3:20pm","Mon, Wed","30","0","0","","THH213"
"PHIL-473","Wittgenstein","","4.0 units","Lecture","49584R","001","11:00-12:20pm","Tue, Thu","30","0","0","Edwin McCann",""
"PHIL-475","Topics in Philosophy, Politics and Economics","M","4.0 units","Lecture","49586R","001","12:30-1:50pm","Tue, Thu","30","0","0","","SGM226"
"PHIL-480","Philosophy of Mathematics","","4.0 units","Lecture","49587R","001","11:00-12:20pm","Tue, Thu","15","0","0","Zlatan Damnjanovic",""
"PHIL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","49593D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49594D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49595D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49596D","001","TBA","","5","0","0","","OFFICE"
"PHIL-494","Senior Thesis","MC","4.0 units","Lecture","49597D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49598D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49599D","001","TBA","","5","0","0","","OFFICE"
"PHIL-500","Introduction to Contemporary Philosophical Literature","","4.0 units","Lecture","49602R","001","2:00-4:20pm","Wednesday","15","0","0","John Hawthorne","DMC210"
"PHIL-501","Seminar in Recent Philosophy","","4.0 units, max 16","Lecture","49603R","001","4:30-6:50pm","Tuesday","15","0","0","Robin Jeshion",""
"PHIL-515","Studies in Ancient and Medieval Philosophy","","4.0 units, max 16","Lecture","49611R","001","2:00-4:50pm","Thursday","15","0","0","Merrick Anderson","TBD"
"PHIL-537","Seminar in Social and Political Philosophy","","4.0 units, max 16","Lecture","49619R","001","2:00-4:20pm","Wednesday","18","0","0","Jake Monaghan","MHP102"
"PHIL-565","Philosophy of Language","","4.0 units, max 12","Lecture","49630R","001","4:30-6:50pm","Wednesday","15","0","0","Barry Schein","MHP102"
"PHIL-590","Directed Research","","1.0-12.0 units","Lecture","49638D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49639D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49640D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49641D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49642D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49643D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49644D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49645D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49646D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49647D","001","TBA","","5","0","0","","OFFICE"
"","","","","Lecture","49648D","001","TBA","","5","0","0","","OFFICE"
"PHIL-593x","Teaching Philosophy","MC","2.0 units","Lecture","49649R","001","10:00-12:00pm","Friday","8","0","0","Mark Schroeder","THH111"
