"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PHYS-100Lxg","The Physical World","","4.0 units","Lecture","50310R","001","9:00-10:50am","Mon, Wed","93","0","0","Vahe Peroomian","SLH100"
"","","","","Lab","50311R","001","10:00-11:50am","Tuesday","16","0","0","","SGM314"
"","","","","Lab","50314R","001","12:00-1:50pm","Tuesday","16","0","0","","SGM314"
"","","","","Lab","50316R","001","12:00-1:50pm","Thursday","16","0","0","","SGM314"
"","","","","Lab","50317R","001","2:00-3:50pm","Tuesday","16","0","0","","SGM314"
"","","","","Lab","50318R","001","2:00-3:50pm","Wednesday","16","0","0","","SGM314"
"","","","","Lab","50319R","001","2:00-3:50pm","Thursday","16","0","0","","SGM314"
"PHYS-135aLg","Physics for the Life Sciences","P","4.0 units","Lecture","50340R","001","10:00-11:50am","Mon, Wed","128","0","0","Hamid Chabok","SLH200"
"","","","","Lecture","50342R","001","12:00-1:50pm","Tue, Thu","93","0","0","Aaron Wirthwein","SLH100"
"","","","","Quiz","50343R","001","5:00-6:20pm","Wednesday","280","0","0","","THH201"
"","","","","Lab","50346R","001","8:00-10:50am","Friday","14","0","0","","KAPB5"
"","","","","Lab","50347R","001","11:00-1:50pm","Tuesday","14","0","0","","KAPB5"
"","","","","Lab","50348R","001","11:00-1:50pm","Wednesday","14","0","0","","KAPB5"
"","","","","Lab","50349R","001","11:00-1:50pm","Thursday","14","0","0","","KAPB5"
"","","","","Lab","50350R","001","11:00-1:50pm","Friday","14","0","0","","KAPB5"
"","","","","Lab","50351R","001","2:00-4:50pm","Wednesday","14","0","0","","KAPB5"
"","","","","Lab","50352R","001","2:00-4:50pm","Thursday","14","0","0","","KAPB5"
"","","","","Lab","50353R","001","2:00-4:50pm","Friday","14","0","0","","KAPB5"
"","","","","Lab","50354R","001","5:00-7:50pm","Tuesday","14","0","0","","KAPB5"
"","","","","Lab","50355R","001","2:00-4:50pm","Tuesday","14","0","0","","KAPB5"
"","","","","Lab","50356R","001","5:00-7:50pm","Thursday","14","0","0","","KAPB5"
"PHYS-135bL","Physics for the Life Sciences","P","4.0 units","Lecture","50362R","001","10:00-11:50am","Wed, Fri","93","0","0","Lara Martini","SLH102"
"","","","","Lecture","50360R","001","10:00-11:50am","Tue, Thu","93","0","0","James Boedicker","SLH102"
"","","","","Quiz","50361R","001","5:00-6:20pm","Tuesday","224","0","0","",""
"","","","","Lab","50367R","001","11:00-1:50pm","Tuesday","12","0","0","","KAPB11"
"","","","","Lab","50368R","001","2:00-4:50pm","Tuesday","12","0","0","","KAPB11"
"","","","","Lab","50369R","001","2:00-4:50pm","Wednesday","12","0","0","","KAPB11"
"","","","","Lab","50370R","001","2:00-4:50pm","Thursday","12","0","0","","KAPB11"
"","","","","Lab","50371R","001","2:00-4:50pm","Friday","12","0","0","","KAPB11"
"","","","","Lab","50372R","001","5:00-7:50pm","Wednesday","12","0","0","","KAPB11"
"","","","","Lab","50373R","001","5:00-7:50pm","Thursday","12","0","0","","KAPB11"
"PHYS-141L","Special Laboratory I","","1.0 unit","Lecture-Lab","50471D","001","TBA","","4","0","0","","OFFICE"
"PHYS-142L","Special Laboratory II","","1.0 unit","Lecture-Lab","50478D","001","TBA","","4","0","0","","OFFICE"
"PHYS-151Lg","Fundamentals of Physics I: Mechanics and Thermodynamics","P","4.0 units","Lecture","50380R","001","8:30-9:50am","MWF","128","0","0","Christopher Gould","SLH200"
"","","","","Lecture","50382R","001","12:00-1:50pm","Mon, Wed","128","0","0","Bo Shrewsbury","SLH200"
"","","","","Quiz","50383R","001","5:00-6:20pm","Wednesday","356","0","0","","THH101"
"","","","","Lab","50386R","001","8:00-10:50am","Tuesday","14","0","0","","KAPB8"
"","","","","Lab","50388R","001","11:00-1:50pm","Wednesday","14","0","0","","KAPB8"
"","","","","Lab","50389R","001","11:00-1:50pm","Thursday","14","0","0","","KAPB8"
"","","","","Lab","50390R","001","11:00-1:50pm","Friday","14","0","0","","KAPB8"
"","","","","Lab","50391R","001","2:00-4:50pm","Tuesday","14","0","0","","KAPB8"
"","","","","Lab","50392R","001","2:00-4:50pm","Wednesday","14","0","0","","KAPB8"
"","","","","Lab","50393R","001","2:00-4:50pm","Thursday","14","0","0","","KAPB8"
"","","","","Lab","50394R","001","2:00-4:50pm","Friday","14","0","0","","KAPB8"
"","","","","Lab","50395R","001","5:00-7:50pm","Thursday","14","0","0","","KAPB8"
"","","","","Lab","50396R","001","5:00-7:50pm","Tuesday","14","0","0","","KAPB8"
"","","","","Lab","50397R","001","11:00-1:50pm","Tuesday","14","0","0","","KAPB8"
"PHYS-152L","Fundamentals of Physics II: Electricity and Magnetism","P","4.0 units","Lecture","50400R","001","12:00-1:50pm","Wed, Fri","90","0","0","Lara Martini","SLH102"
"","","","","Lecture","50402R","001","10:00-11:50am","Tue, Thu","128","0","0","Vahe Peroomian","SLH200"
