"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"POIR-590","Directed Research","","1.0-12.0 units","Lecture","52337D","001","TBA","","15","0","0","","OFFICE"
"POIR-593","Practicum in Teaching Politics and International Relations","C","2.0 units","Lecture","52341R","001","5:00-7:20pm","Monday","15","0","0","Carol Wise","DMC104"
"POIR-596","Internship for Curricular Practical Training","MC","1.0-3.0 units, max 3","Lecture","52340R","001","-","","8","0","0","","TBA"
"","","","","Lecture","52335D","001","TBA","","10","0","0","","OFFICE"
"POIR-599","Special Topics","M","2.0-8.0 units, max 8"
"","Political Economy and Public Policy","","4.0","Lecture","52342D","001","4:00-6:50pm","Wednesday","15","0","0","Jefferey Sellers","DMC104"
"POIR-610","Research Design","C","4.0 units","Lecture","52301D","001","4:00-6:50pm","Tuesday","15","0","0","Sherry Zaks","DMC209"
"POIR-611","Introduction to Regression Analysis","C","4.0 units","Lecture","52302D","001","2:00-3:20pm","Tue, Thu","20","0","0","Dan Schrage","HSH201"
"POIR-613","Topics in Quantitative Analysis","C","4.0 units, max 12","Lecture","52306D","001","4:00-6:50pm","Thursday","15","0","0","","SOSB45"
"POIR-616","Advanced Quantitative Methods","PC","4.0 units","Lecture","52309D","001","2:00-4:50pm","Monday","15","0","0","Varun Karekurve-Ramachandra","DMC209"
"POIR-618","Problems of American Politics","C","4.0 units, max 12"
"","Seminar in Problems of American Politics","","4.0","Lecture","52314D","001","2:00-4:50pm","Wednesday","15","0","0","Christian Phillips","THH219"
"POIR-660","Introduction to International Relations Theory","C","4.0 units","Lecture","52303D","001","4:00-6:50pm","Thursday","15","0","0","Jacques Hymans","WPH104"
"POIR-790","Research","","1.0-12.0 units","Lecture","52343D","001","TBA","","10","0","0","","OFFICE"
"POIR-794a","Doctoral Dissertation","","2.0 units","Lecture","52345D","001","TBA","","12","0","0","","OFFICE"
"POIR-794b","Doctoral Dissertation","P","2.0 units","Lecture","52346D","001","TBA","","12","0","0","","OFFICE"
"POIR-794c","Doctoral Dissertation","P","2.0 units","Lecture","52347D","001","TBA","","12","0","0","","OFFICE"
"POIR-794d","Doctoral Dissertation","P","2.0 units","Lecture","52348D","001","TBA","","12","0","0","","OFFICE"
"POIR-794z","Doctoral Dissertation","P","0.0 units","Lecture","52349D","001","TBA","","20","0","0","","OFFICE"
