"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PPD-202","Health and Health Care in America Today","","2.0 units","Lecture","51110R","001","10:00-11:50am","Tuesday","32","0","0","Genevieve Kanter Dana Goldman","VPD116"
"PPD-203","Economic Analysis for Public Policy","","4.0 units","Lecture","51112R","001","10:00-11:50am","Tue, Thu","32","0","0","T.J. Mccarthy","VPD110"
"PPD-225","Solving Public Problems","","4.0 units","Lecture","51101R","001","10:00-11:50am","Mon, Wed","40","0","0","","VPD112"
"PPD-227","Planning for the Future City","","4.0 units","Lecture","51100R","001","6:00-9:20pm","Thursday","40","0","0","Ken Bernstein","RGL100"
"PPD-240g","Citizenship and Public Ethics","","4.0 units","Lecture","51140D","001","12:00-1:50pm","Tue, Thu","37","0","0","Grace Bahng","DMC203"
"PPD-245g","The Urban Context","","4.0 units","Lecture","51105D","001","2:00-3:50pm","Mon, Wed","68","0","0","Marlon Boarnet","VPD105"
"","","","","Lecture","51127D","001","10:00-11:50am","Tue, Thu","68","0","0","Todd Gish","RGL101"
"PPD-300","Social Justice Issues in Public Policy and Urban Planning","","4.0 units","Lecture","51119R","001","2:00-3:50pm","Tue, Thu","42","0","0","Lavonna Lewis","VPD105"
"PPD-301","PPD Practices: Internship Seminar","","2.0 units, max 4","Lecture","51129D","001","6:30-8:20pm","Tuesday","32","0","0","Lauren Opgenorth","DMC158"
"PPD-303","Statistics for Policy, Planning, and Development","P","4.0 units","Lecture","51102R","001","2:00-3:50pm","Tue, Thu","32","0","0","Norris Gunby","VPD106"
"","","","","Lecture","51104R","001","12:00-1:50pm","Mon, Wed","32","0","0","","VPD110"
"","","","","Lecture","51107R","001","8:00-9:50am","Mon, Wed","32","0","0","","VPD112"
"PPD-313","Finance of the Public Sector","P","4.0 units","Lecture","51113R","001","10:00-11:50am","Mon, Wed","32","0","0","Mark Phillips","RGL209"
"PPD-314","Public Policy and Law","","4.0 units","Lecture","51115R","001","6:00-9:20pm","Wednesday","40","0","0","Frank Zerunyan","VPD112"
"PPD-315","Analytic Foundations for Public Policy","P","4.0 units","Lecture","51106R","001","10:00-11:50am","Tue, Thu","25","0","0","Pamela Mccann","VPD112"
"PPD-325","Fundamentals of Health Policy and Management","","4.0 units","Lecture","51108R","001","12:00-1:50pm","Mon, Wed","32","0","0","Genevieve Kanter","VPD106"
"PPD-342","Crime and Public Policy","","4.0 units","Lecture","51118R","001","4:00-5:50pm","Tue, Thu","45","0","0","Candice Cobarrubias","VPD116"
"PPD-344","Environmental Policy and Sustainable Development","","4.0 units","Lecture","51117R","001","10:00-11:50am","Mon, Wed","32","0","0","Antonio Bento","VPD116"
"PPD-357","Government and Business","P","4.0 units","Lecture","51139R","001","12:00-1:50pm","Tue, Thu","32","0","0","","RGL215"
"PPD-360","Urban Transportation Planning and Policy","","4.0 units","Lecture","51116R","001","6:00-9:20pm","Tuesday","40","0","0","Selika Talbott","VPD105"
"PPD-361","Sustainable Communities, Policy and Planning","","4.0 units","Lecture","51148R","001","12:00-1:50pm","Mon, Wed","42","0","0","Antonio Bento","VPD116"
"PPD-371","The Nonprofit Sector and the Public Interest","","4.0 units","Lecture","51123R","001","12:00-1:50pm","Mon, Wed","32","0","0","Alexandra Graddy-Reed","VPD112"
"PPD-373","Public Policy and Planning Analysis","P","4.0 units","Lecture","51114R","001","12:00-1:50pm","Tue, Thu","32","0","0","","VPD110"
"PPD-400","Topics in Public Policy and Urban Studies","M","4.0 units","Lecture","51131R","001","10:00-11:50am","Tue, Thu","32","0","0","Eric Heikkila","RGL209"
"PPD-413","Management of Health Care Organizations","","4.0 units","Lecture","51147R","001","10:00-11:50am","Mon, Wed","32","0","0","Philip Dalton","RGL219"
"PPD-430","Urban Informatics","","4.0 units","Lecture","51133R","001","6:00-9:20pm","Tuesday","32","0","0","Geoff Boeing","VPD112"
"PPD-431","Undergraduate Policy, Planning, and Development Studio","MC","4.0 units","Lecture","51120R","001","6:00-9:20pm","Wednesday","25","0","0","Pedro Spindler-Ruiz","RGL219"
"","","","","Lecture","51121R","001","12:00-1:50pm","Mon, Wed","25","0","0","Lauren Quan-Madrid","RGL215"
"","","","","Lecture","51128R","001","6:00-9:20pm","Tuesday","25","0","0","Kate Nelischer","RGL209"
"PPD-439","Housing and Community Development","","4.0 units","Lecture","51132R","001","6:00-9:20pm","Wednesday","32","0","0","Jennifer Thomas","VPD105"
"PPD-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","51135D","001","TBA","","10","0","0","","OFFICE"
"PPD-497a","Senior Thesis","C","2.0 units","Lecture","51146D","001","TBA","","10","0","0","","OFFICE"
"PPD-503","Economics for Public Policy","","4.0 units","Lecture","51216D","001","2:00-5:20pm","Wednesday","10","0","0","Mark Phillips","RGL101"
"","","","","Lecture","51217D","001","6:00-9:20pm","Wednesday","15","0","0","Antonio Bento","RGL101"
"PPD-504","Essential Statistics for Public Management","","2.0 units","Lecture","51201R","060","6:00-7:50pm","Monday","20","0","0","Gentian Droboniku","ONLINE"
"PPD-506","Introduction to Microeconomics: Applications in Health","","2.0 units","Lecture","51515D","001","12:00-1:50pm","Monday","25","0","0","Neeraj Sood","RGL100"
"","","","","Lecture","51516D","001","4:00-5:50pm","Monday","25","0","0","Neeraj Sood","VPDLL101"
"PPD-508","Health Care Operations Improvement","","4.0 units","Lecture","31508D","048","6:00-9:40pm","Wednesday","30","0","0","David Belson","OHE100B"
"","","","","Lecture","31708D","034","6:00-9:40pm","Wednesday","10","0","0","David Belson","DEN@Viterbi"
"PPD-509","Problems and Issues in the Health Field","C","4.0 units","Lecture","51206D","001","6:00-9:20pm","Wednesday","22","0","0","Howard Greenwald","VPD116"
"","","","","Lecture","51275D","001","2:00-5:20pm","Tuesday","22","0","0","Philip Dalton","RGL100"
"","","","","Lecture","51300D","791","TBA","","22","0","0","Lavonna Lewis","OFFICE &amp; ONLINE"
"PPD-513","Legal Issues in Health Care Delivery","C","2.0 units","Lecture","51301D","791","TBA","","25","0","0","","OFFICE &amp; ONLINE"
"","","","","Lecture","51302D","791","TBA","","25","0","0","","OFFICE &amp; ONLINE"
"PPD-516","Financial Accounting for Health Care Organizations","C","4.0 units","Lecture","51271D","001","6:00-9:20pm","Tuesday","22","0","0","Norris Gunby","VPDLL101"
"","","","","Lecture","51272D","001","6:00-9:20pm","Thursday","22","0","0","Norris Gunby","VPD112"
