"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PSYC-100Lg","Introduction to Psychology","","4.0 units","Lecture","52400R","001","9:30-10:50am","Tue, Thu","200","0","0","Kyoung sook Kim","THH101"
"","","","","Lab","52401R","001","10:00-11:50am","Friday","25","0","0","","KAP156"
"","","","","Lab","52402R","001","12:00-1:50pm","Tuesday","25","0","0","","VHE214"
"","","","","Lab","52403R","001","10:00-11:50am","Monday","25","0","0","","THHB10"
"","","","","Lab","52404R","001","8:00-9:50am","Wednesday","25","0","0","","KAP165"
"","","","","Lab","52405R","001","4:00-5:50pm","Wednesday","25","0","0","","KAP148"
"","","","","Lab","52406R","001","12:00-1:50pm","Monday","25","0","0","","ZHS360"
"","","","","Lab","52407R","001","10:00-11:50am","Wednesday","25","0","0","","KAP167"
"","","","","Lab","52409R","001","12:00-1:50pm","Friday","25","0","0","","KAP165"
"","","","","Lecture","52410R","001","2:00-3:20pm","Mon, Wed","200","0","0","Kyoung sook Kim","SGM124"
"","","","","Lab","52411R","001","10:00-11:50am","Friday","25","0","0","","KAP113"
"","","","","Lab","52412R","001","8:00-9:50am","Tuesday","25","0","0","","KAP163"
"","","","","Lab","52413R","001","12:00-1:50pm","Friday","25","0","0","","KAP159"
"","","","","Lab","52414R","001","8:00-9:50am","Thursday","25","0","0","","GFS223"
"","","","","Lab","52415R","001","4:00-5:50pm","Wednesday","25","0","0","","GFS229"
"","","","","Lab","52416R","001","8:00-9:50am","Wednesday","25","0","0","","GFS221"
"","","","","Lab","52418R","001","8:00-9:50am","Monday","25","0","0","","GFS221"
"","","","","Lab","52419R","001","2:00-3:50pm","Friday","25","0","0","","GFS105"
"","","","","Lecture","52451R","001","12:30-1:50pm","Tue, Thu","200","0","0","Patricia George","THH201"
"","","","","Lab","52453R","001","4:00-5:50pm","Monday","25","0","0","","GFS221"
"","","","","Lab","52458R","001","4:00-5:50pm","Wednesday","25","0","0","","GFS221"
"","","","","Lab","52550R","001","2:00-3:50pm","Tuesday","25","0","0","","DMC260"
"","","","","Lab","52551R","001","2:00-3:50pm","Thursday","25","0","0","","THH217"
"","","","","Lab","52554R","001","10:00-11:50am","Friday","25","0","0","","GFS221"
"","","","","Lab","52556R","001","12:00-1:50pm","Wednesday","25","0","0","","WPH207"
"","","","","Lab","52557R","001","12:00-1:50pm","Friday","25","0","0","","GFS220"
"","","","","Lab","52558R","001","10:00-11:50am","Monday","25","0","0","","ZHS163"
"","","","","Lecture","52440R","001","8:30-9:50am","Mon, Wed","200","0","0","Laila Madni","THH201"
"","","","","Lab","52441R","001","12:00-1:50pm","Wednesday","25","0","0","","GFS228"
"","","","","Lab","52443R","001","8:00-9:50am","Tuesday","25","0","0","","GFS107"
"","","","","Lab","52444R","001","12:00-1:50pm","Monday","25","0","0","","GFS228"
"","","","","Lab","52445R","001","8:00-9:50am","Friday","25","0","0","","GFS108"
"","","","","Lab","52446R","001","10:00-11:50am","Friday","25","0","0","","GFS222"
"","","","","Lab","52447R","001","2:00-3:50pm","Thursday","25","0","0","","KAP147"
"","","","","Lab","52448R","001","8:00-9:50am","Friday","25","0","0","","GFS213"
"","","","","Lab","52449R","001","8:00-9:50am","Thursday","25","0","0","","GFS107"
"PSYC-210mgw","Social Analysis of Gender","","4.0 units","Lecture","34900R","001","3:30-4:50pm","Mon, Wed","150","0","0","Chris Belcher","THH201"
"","","","","Discussion","34906R","001","9:00-9:50am","Friday","25","0","0","","DMC109"
"","","","","Discussion","34907R","001","10:00-10:50am","Friday","25","0","0","","THH112"
"","","","","Discussion","34908R","001","11:00-11:50am","Friday","25","0","0","","DMC211"
"","","","","Discussion","34909R","001","12:00-12:50pm","Friday","25","0","0","","THH108"
"","","","","Discussion","34910R","001","1:00-1:50pm","Friday","25","0","0","","DMC200"
"","","","","Discussion","34911R","001","2:00-2:50pm","Friday","25","0","0","","DMC200"
"PSYC-274Lg","Statistics","","4.0 units","Lecture","52450R","001","3:30-4:50pm","Mon, Wed","40","0","0","Meng Chen","GFS207"
"","","","","Lab","52452R","001","10:00-11:50am","Tuesday","20","0","0","","SGM631"
"","","","","Lab","52454R","001","4:00-5:50pm","Friday","20","0","0","","SGM631"
"","","","","Lecture","52455R","001","9:30-10:50am","Tue, Thu","40","0","0","David Walsh","SGM601"
"","","","","Lab","52456R","001","12:00-1:50pm","Thursday","20","0","0","","SGM631"
"","","","","Lab","52457R","001","2:00-3:50pm","Tuesday","20","0","0","","SGM631"
"","","","","Lecture","52460R","001","2:00-3:20pm","Mon, Wed","40","0","0","Canan Ipek","ZHS163"
"","","","","Lab","52461R","001","4:00-5:50pm","Tuesday","20","0","0","","SGM631"
"","","","","Lab","52462R","001","2:00-3:50pm","Friday","20","0","0","","SGM631"
"","","","","Lecture","52473R","001","8:00-9:20am","Tue, Thu","40","0","0","Rand Wilcox","DMC150"
"","","","","Lab","52474R","001","10:00-11:50am","Thursday","20","0","0","","SGM631"
"","","","","Lab","52475R","001","6:00-7:50pm","Wednesday","20","0","0","","SGM631"
"","","","","Lecture","52476R","001","2:00-3:20pm","Mon, Wed","40","0","0","William Breland","GFS207"
"","","","","Lab","52477R","001","12:00-1:50pm","Friday","20","0","0","","SGM631"
"","","","","Lab","52478R","001","10:00-11:50am","Friday","20","0","0","","SGM631"
"","","","","Lecture","52480R","001","3:30-4:50pm","Tue, Thu","40","0","0","Canan Ipek","THH118"
"","","","","Lab","52484R","001","4:00-5:40pm","Wednesday","20","0","0","","SGM631"
"","","","","Lab","52486R","001","4:00-5:50pm","Monday","20","0","0","","SGM631"
"","","","","Lecture","52470R","001","12:30-1:50pm","Tue, Thu","40","0","0","David Walsh","GFS207"
"","","","","Lab","52471R","001","8:00-9:50am","Tuesday","20","0","0","","SGM631"
"","","","","Lab","52472R","001","12:00-1:50pm","Wednesday","20","0","0","","SGM631"
"PSYC-275Lg","Language and Mind","","4.0 units","Lecture","38971D","001","11:00-12:20pm","Tue, Thu","80","0","0","Barry Schein Toby Mintz",""
"","","","","Lab","38974R","001","8:30-9:50am","Friday","20","0","0","",""
"","","","","Lab","38976R","001","8:30-9:50am","Friday","20","0","0","",""
"","","","","Lab","38978R","001","10:00-11:50am","Friday","20","0","0","",""
"","","","","Lab","38980R","001","10:00-11:50am","Friday","20","0","0","",""
"PSYC-290","Supervised Research in Psychology","P","2.0-4.0 units","Lecture","52483D","001","TBA","","15","0","0","Antoine Bechara","OFFICE"
