"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PTE-411x","Introduction to Transport Processes in Porous Media","M","3.0 units","Lecture","32200D","001","4:00-5:50pm","Mon, Wed","30","0","0","","OHE100C"
"","","","","Lecture","32202D","014","4:00-5:50pm","Mon, Wed","20","0","0","","DEN@Viterbi"
"PTE-463L","Introduction to Transport Processes in Porous Media","P","4.0 units","Lecture","32208D","001","4:00-5:50pm","Mon, Wed","28","0","0","","OHE100C"
"","","","","Lab","32210R","001","3:30-5:50pm","Monday","12","0","0","","PCE313"
"","","","","Lab","32290R","001","3:30-5:50pm","Thursday","12","0","0","","PCE313"
"PTE-465L","Drilling Technology and Subsurface Methods","P","3.0 units","Lecture","32212D","001","8:00-10:20am","Friday","15","0","0","","GFS201"
"","","","","Lab","32214R","001","12:30-1:30pm","Friday","15","0","0","","PCE313"
"PTE-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","32216D","001","TBA","","15","0","0","","OFFICE"
"PTE-500","Computational Reservoir Modeling","M","3.0 units","Lecture","32205D","048","4:00-5:50pm","Tue, Thu","45","0","0","","OHE100C"
"","","","","Lecture","32207D","034","4:00-5:50pm","Tue, Thu","20","0","0","","DEN@Viterbi"
"PTE-502","Applied Subsurface Characterization and Engineering","","4.0 units","Lecture","32295D","048","12:00-1:50pm","Tue, Thu","25","0","0","","RTH105"
"","","","","Lecture","32296D","034","12:00-1:50pm","Thursday","25","0","0","","DEN@Viterbi"
"PTE-507","Engineering and Economic Evaluation of Subsurface Reservoirs","P","3.0 units","Lecture","32276D","048","2:00-4:50pm","Tuesday","28","0","0","","RTH326"
"","","","","Lecture","32278D","034","2:00-4:50pm","Tuesday","20","0","0","","ONLINE"
"PTE-519","Integrated Physical and Cyber Security for Oil and Gas Operations","C","3.0 units","Lecture","32292D","048","12:00-1:50pm","Mon, Wed","28","0","0","","RTH105"
"","","","","Lecture","32294D","034","12:00-1:50pm","Mon, Wed","15","0","0","","DEN@Viterbi"
"PTE-520","Mathematical Methods for Deep Learning","","4.0 units","Lecture","32127R","048","12:00-1:50pm","Tue, Thu","24","0","0","","VHE217"
"PTE-572","Applied Geostatistical Modeling for Subsurface Characterizat","C","4.0 units","Lecture","32275D","048","9:00-10:50am","Mon, Wed","25","0","0","","KAP166"
"","","","","Lab","32273R","001","11:30-12:20pm","Monday","25","0","0","","DMC207"
"PTE-582","Fluid Flow and Transport Processes in Porous Media","","3.0 units","Lecture","32268D","048","4:00-6:40pm","Wednesday","40","0","0","","RTH326"
"","","","","Lecture","32270D","034","4:00-6:40pm","Wednesday","18","0","0","","ONLINE"
"PTE-588","Smart Oilfield Data Mining","C","3.0 units","Lecture","32283D","048","11:00-1:40pm","Thursday","25","0","0","",""
"PTE-590","Directed Research","","1.0-12.0 units","Lecture","32246D","048","TBA","","30","0","0","","OFFICE"
"PTE-594a","Master's Thesis","C","2.0 units","Lecture","32248D","048","TBA","","15","0","0","","OFFICE"
"PTE-594b","Master's Thesis","PC","2.0 units","Lecture","32249D","048","TBA","","15","0","0","","OFFICE"
"PTE-594z","Master's Thesis","PC","0.0 units","Lecture","32252D","048","TBA","","15","0","0","","OFFICE"
"PTE-790","Research","","1.0-12.0 units","Lecture","32256D","048","TBA","","25","0","0","","OFFICE"
"PTE-794a","Doctoral Dissertation","","2.0 units","Lecture","32228D","048","TBA","","15","0","0","","OFFICE"
"PTE-794b","Doctoral Dissertation","PC","2.0 units","Lecture","32229D","048","TBA","","15","0","0","","OFFICE"
"PTE-794c","Doctoral Dissertation","PC","2.0 units","Lecture","32262D","048","TBA","","15","0","0","","OFFICE"
"PTE-794d","Doctoral Dissertation","PC","2.0 units","Lecture","32264D","048","TBA","","15","0","0","","OFFICE"
"PTE-794z","Doctoral Dissertation","PC","0.0 units","Lecture","32266D","048","TBA","","15","0","0","","OFFICE"
