"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"REL-125gp","Introduction to Christianity: Antiquity to 1500","","4.0 units","Lecture","60025R","001","2:00-3:20pm","Mon, Wed","150","0","0","David Albertson","THH301"
"","","","","Discussion","60028R","001","10:00-10:50am","Monday","25","0","0","","DMC155"
"","","","","Discussion","60029R","001","11:00-11:50am","Monday","25","0","0","","KAP166"
"","","","","Discussion","60030R","001","10:00-10:50am","Wednesday","25","0","0","","DMC154"
"","","","","Discussion","60031R","001","11:00-11:50am","Wednesday","25","0","0","","DMC155"
"","","","","Discussion","60032R","001","10:00-10:50am","Friday","25","0","0","","SOSB41"
"","","","","Discussion","60036R","001","11:00-11:50am","Friday","25","0","0","","SOSB41"
"REL-130g","Indian Traditions of Mind and Body","","4.0 units","Lecture","60056R","001","12:30-1:50pm","Tue, Thu","50","0","0","James Mchugh","SGM601"
"","","","","Discussion","60057R","001","2:00-2:50pm","Tuesday","25","0","0","","THH112"
"","","","","Discussion","60058R","001","2:00-2:50pm","Thursday","24","0","0","","THH112"
"REL-146gp","Spirituality in America","","4.0 units","Lecture","60037R","001","11:00-12:20pm","Tue, Thu","19","0","0","Diane Winston","ACB238"
"REL-301","Introduction to the Study of Religion","","4.0 units","Lecture","60055R","001","3:30-4:50pm","Mon, Wed","19","0","0","Jill Hicks-Keeton","DMC157"
"REL-340","Introduction to Indian Philosophy","","4.0 units","Lecture","60082R","001","2:00-3:20pm","Tue, Thu","19","0","0","James Mchugh","LVL13"
"REL-341","Technology, Culture, and Ethics","","4.0 units","Lecture","60089R","001","2:00-3:20pm","Mon, Wed","19","0","0","Sheila Briggs","WPH106"
"REL-345p","Islamic Spirituality: Mysticism and the Sufi Tradition","","4.0 units","Lecture","60077D","001","11:00-12:20pm","Tue, Thu","20","0","0","Arjun Nair","ACB330"
"REL-361","Law and Religion","","4.0 units","Lecture","60079R","001","9:30-10:50am","Tue, Thu","19","0","0","Max Strassfeld","ACB238"
"REL-415","Seminar in Buddhism","","4.0 units","Lecture","60141R","001","12:30-1:50pm","Tue, Thu","19","0","0","Lori Meeks","ACB238"
"REL-448m","France and Islam","P","4.0 units","Lecture","34295R","001","10:00-11:50am","Mon, Wed","19","0","0","Olivia C Harrison","THH214"
"REL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","60150D","001","TBA","","10","0","0","","OFFICE"
"","","","","Lecture","60151D","001","TBA","","20","0","0","","OFFICE"
"REL-491x","Undergraduate Honors Research","MC","4.0 units","Lecture","60155D","001","TBA","","10","0","0","","OFFICE"
"REL-590","Directed Research","","1.0-12.0 units","Lecture","60160D","001","TBA","","10","0","0","","OFFICE"
"","","","","Lecture","60161D","001","TBA","","5","0","0","","OFFICE"
"REL-592","Professionalization Proseminar in Religious Studies","","2.0 units","Lecture","60170D","001","12:00-2:00pm","Wednesday","8","0","0","Jill Hicks-Keeton","ACB330"
"REL-652","Readings in Buddhist Texts","","4.0 units, max 12"
"","Buddhist processual social philosophy","","4.0","Lecture","60180D","001","11:00-1:50pm","Tuesday","10","0","0","Jessica (Xiaomin) Zu","WPH200"
"REL-701","Research Seminar in Religious Studies","C","2.0 units, max 8","Lecture","60181D","001","12:00-1:50pm","Monday","15","0","0","Jill Hicks-Keeton","ACB330"
"REL-794a","Doctoral Dissertation","C","2.0 units","Lecture","60194D","001","TBA","","5","0","0","","OFFICE"
"REL-794b","Doctoral Dissertation","P","2.0 units","Lecture","60195D","001","TBA","","3","0","0","","OFFICE"
"REL-794c","Doctoral Dissertation","P","2.0 units","Lecture","60196D","001","TBA","","6","0","0","","OFFICE"
"REL-794d","Doctoral Dissertation","P","2.0 units","Lecture","60197D","001","TBA","","3","0","0","","OFFICE"
"REL-794z","Doctoral Dissertation","PC","0.0 units","Lecture","60198D","001","TBA","","10","0","0","","OFFICE"
