"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SOCI-155mg","Immigrant America","","4.0 units","Lecture","61425R","001","11:00-12:20pm","Tue, Thu","100","0","0","Jody Agius Vallejo",""
"","","","","Discussion","61426R","001","8:00-8:50am","Monday","25","0","0","","GFS213"
"","","","","Discussion","61427R","001","9:00-9:50am","Monday","25","0","0","","GFS213"
"","","","","Discussion","61428R","001","8:00-8:50am","Wednesday","25","0","0","","GFS213"
"","","","","Discussion","61429R","001","9:00-9:50am","Wednesday","25","0","0","","GFS213"
"SOCI-169mg","Changing Family Forms","","4.0 units","Lecture","61430D","001","2:00-3:20pm","Mon, Wed","93","0","0","Jennifer Hook","SLH102"
"","","","","Discussion","61431R","001","8:00-8:50am","Friday","25","0","0","","GFS104"
"","","","","Discussion","61432R","001","11:00-11:50am","Friday","25","0","0","","THHB9"
"","","","","Discussion","61433R","001","3:00-3:50pm","Wednesday","25","0","0","","GFS223"
"","","","","Discussion","61434R","001","4:00-4:50pm","Wednesday","25","0","0","","GFS213"
"SOCI-200mg","Introduction to Sociology","","4.0 units","Lecture","61440R","001","2:00-3:20pm","Mon, Wed","150","0","0","Juliana Mc Gene","MHP101"
"","","","","Discussion","61441R","001","11:00-11:50am","Monday","25","0","0","","DMC205"
"","","","","Discussion","61442R","001","12:00-12:50pm","Monday","25","0","0","","GFS220"
"","","","","Discussion","61443R","001","8:00-8:50am","Friday","25","0","0","","DMC161"
"","","","","Discussion","61444R","001","1:00-1:50pm","Friday","25","0","0","","DMC209"
"","","","","Discussion","61455R","001","10:00-10:50am","Monday","25","0","0","","DMC161"
"","","","","Discussion","61456R","001","12:00-12:50pm","Monday","25","0","0","","DMC160"
"SOCI-210g","Science, Technology, and Social Conflict","","4.0 units","Lecture","61445D","001","8:30-9:50am","Mon, Wed","50","0","0","","GFS101"
"","","","","Discussion","61446R","001","12:00-12:50pm","Friday","25","0","0","","THHB9"
"","","","","Discussion","61447R","001","1:00-1:50pm","Friday","25","0","0","","GFS213"
"SOCI-242g","Sociology, Demography and Health","PC","4.0 units","Lecture","61540D","001","11:00-12:20pm","Tue, Thu","150","0","0","Juliana Mc Gene","THH202"
"","","","","Discussion","61541R","001","12:00-12:50pm","Friday","25","0","0","","DMC157"
"","","","","Discussion","61542R","001","11:00-11:50am","Friday","25","0","0","","DMC156"
"","","","","Discussion","61543R","001","2:00-2:50pm","Friday","25","0","0","","KAP113"
"","","","","Discussion","61544R","001","1:00-1:50pm","Friday","25","0","0","","GFS108"
"","","","","Discussion","61545R","001","11:00-11:50am","Friday","25","0","0","","KAP167"
"","","","","Discussion","61547R","001","1:00-1:50pm","Friday","25","0","0","","GFS104"
"SOCI-270g","Sociological Theory","P","4.0 units","Lecture","61508R","001","3:30-4:50pm","Mon, Wed","19","0","0","Alexandra Brewer","THH214"
"","","","","Lecture","61511R","001","2:00-3:20pm","Mon, Wed","19","0","0","Robert Werth","DMC207"
"SOCI-305m","Sociology of Childhood","P","4.0 units","Lecture","61483D","001","12:30-1:50pm","Tue, Thu","19","0","0","Karen Sternheimer","GFS222"
"SOCI-313L","Sociological Research Methods","P","4.0 units","Lecture-Lab","61482D","001","9:30-10:50am","Tue, Thu","17","0","0","Karen Sternheimer","DMC204"
"","","","","Lecture-Lab","61484D","001","3:30-4:50pm","Mon, Wed","19","0","0","Dan Lainer-Vos","THHB9"
"SOCI-314Lg","Analyzing Social Statistics","P","4.0 units","Lecture-Lab","61485D","060","10:30-11:50am","Mon, Wed","15","0","0","Tim Biblarz","ONLINE"
"","","","","Lecture-Lab","61487D","060","8:30-9:50am","Mon, Wed","15","0","0","Tim Biblarz","ONLINE"
"SOCI-325","Applied Social Research Methods","P","4.0 units","Lecture","61481D","001","10:30-11:50am","Mon, Wed","19","0","0","Daniela Urbina Julio","KAP305"
"SOCI-335","Society and Population","P","4.0 units","Lecture","61490D","001","2:00-3:20pm","Wed, Fri","19","0","0","Emily Smith-Greenaway","WPHB26"
"SOCI-336","Health, Gender and Ethnicity","P","4.0 units","Lecture","34927R","001","11:00-12:20pm","Tue, Thu","20","0","0","Atia Sattar",""
"SOCI-353","Crime, Punishment and Society","P","4.0 units","Lecture","61495D","001","3:30-4:50pm","Mon, Wed","19","0","0","Robert Werth","DMC207"
"SOCI-360m","Social Inequality: Class, Status and Power","P","4.0 units","Lecture","61500D","001","8:00-9:20am","Tue, Thu","15","0","0","Karen Sternheimer","DMC202"
"SOCI-369","The Family in a Changing Society","P","4.0 units","Lecture","61506D","001","9:30-10:50am","Tue, Thu","19","0","0","Juliana Mc Gene","THH209"
"SOCI-440","Environmental Sociology","P","4.0 units","Lecture","61518D","001","2:00-3:20pm","Mon, Wed","19","0","0","Dan Lainer-Vos","DMC208"
"SOCI-460","Key Issues in Contemporary International Migration","P","4.0 units","Lecture","61546D","001","3:30-6:20pm","Wednesday","19","0","0","","THH213"
"SOCI-475","Medical Sociology","","4.0 units","Lecture","61517D","001","12:30-1:50pm","Tue, Thu","19","0","0","Juliana Mc Gene","LVL3V"
"SOCI-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","61530D","001","TBA","","11","0","0","","OFFICE"
"","","","","Lecture","61532D","001","TBA","","15","0","0","","OFFICE"
"SOCI-500","Sociology Professional Seminar","MC","2.0 units","Lecture","61600D","001","10:00-11:40am","Wednesday","10","0","0","Jody Agius Vallejo","HSH303"
"SOCI-510","Sociological Theory I","","4.0 units","Lecture","61550D","001","10:00-12:50pm","Tuesday","10","0","0","Hajar Yazdiha","HSH303"
"SOCI-521L","Quantitative Methods and Statistics I","","4.0 units","Lecture-Lab","61555D","001","2:00-3:20pm","Tue, Thu","10","0","0","Dan Schrage","HSH201"
"SOCI-590","Directed Research","","1.0-12.0 units","Lecture","61604D","001","TBA","","10","0","0","","OFFICE"
"","","","","Lecture","61606D","001","-","","10","0","0","","TBA"
"SOCI-593","Practicum in Teaching the Liberal Arts","","2.0 units","Lecture","61610D","001","3:30-5:10pm","Tuesday","10","0","0","Karen Sternheimer","HSH303"
"SOCI-620","Advanced Methods--Qualitative Research","P","4.0 units","Lecture","61571D","001","11:00-1:50pm","Monday","10","0","0","Alexandra Brewer","HSH303"
"SOCI-647","Political Sociology: Politics, Symbols and Everyday Life","","4.0 units","Lecture","61580R","001","2:00-4:50pm","Monday","10","0","0","Nina Eliasoph","HSH201"
