"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SPAN-120","Spanish I","","4.0 units","Lecture","62001D","001","9:00-9:50am","MTuThF","19","0","0","Martin Ocon-Gamarra","DMC259"
"","","","","Lecture","62003D","001","12:00-12:50pm","MTuThF","19","0","0","Jamie Fudacz","THH121"
"","","","","Lecture","62005D","001","8:00-9:50am","Mon, Wed","19","0","0","Jaclyn Cohen-Steinberg","THH207"
"","","","","Lecture","62007D","001","10:00-10:50am","MTuThF","19","0","0","Jamie Fudacz","THH203"
"","","","","Lecture","62009D","001","11:00-11:50am","MTuThF","19","0","0","Goretti Prieto Botana","THH203"
"","","","","Lecture","62013D","001","10:00-11:50am","Tue, Thu","19","0","0","","THH112"
"SPAN-150","Spanish II","P","4.0 units","Lecture","62027R","001","6:00-7:50pm","Mon, Wed","19","0","0","","DMC255"
"","","","","Lecture","62029R","001","12:00-1:50pm","Mon, Wed","19","0","0","Jaclyn Cohen-Steinberg","DMC106"
"","","","","Lecture","62031R","001","2:00-3:50pm","Tue, Thu","19","0","0","Leah Kemp","THH213"
"","","","","Lecture","62033R","001","10:00-11:50am","Tue, Thu","19","0","0","Ivette Gomez","DMC210"
"","","","","Lecture","62035R","001","10:00-11:50am","Tue, Thu","19","0","0","Maura Crowley","WPH206"
"","","","","Lecture","62039R","001","4:00-5:50pm","Tue, Thu","19","0","0","Maura Crowley","THH209"
"","","","","Lecture","62041R","001","12:00-1:50pm","Tue, Thu","19","0","0","Leah Kemp","WPHB30"
"","","","","Lecture","62043R","001","12:00-1:50pm","Mon, Wed","19","0","0","Gayle Fiedler-Vierma","DMC105"
"","","","","Lecture","62045R","001","4:00-5:50pm","Mon, Wed","19","0","0","Lorena Gallego","THH121"
"","","","","Lecture","62047R","001","2:00-3:50pm","Tue, Thu","19","0","0","Liana Stepanyan","DMC107"
"","","","","Lecture","62049R","001","4:00-5:50pm","Tue, Thu","19","0","0","Marie Enright","WPHB26"
"","","","","Lecture","62051R","001","2:00-3:50pm","Mon, Wed","19","0","0","Jaclyn Cohen-Steinberg","DMC106"
"","","","","Lecture","62053R","001","4:00-5:50pm","Tue, Thu","19","0","0","Karen Perez","THH213"
"","","","","Lecture","62055R","001","9:00-9:50am","MTuThF","19","0","0","Jamie Fudacz","THH203"
"","","","","Lecture","62059R","001","12:00-1:50pm","Mon, Wed","19","0","0","Maria Mercedes Fages Agudo","SOSB47"
"","","","","Lecture","62060R","001","10:00-11:50am","Tue, Thu","19","0","0","","DMC256"
"","","","","Lecture","62061R","001","8:00-9:50am","Mon, Wed","19","0","0","Gayle Fiedler-Vierma","THH106"
"","","","","Lecture","62062R","001","10:00-10:50am","MTuThF","19","0","0","Martin Ocon-Gamarra","DMC254"
"","","","","Lecture","62063R","001","11:00-11:50am","MTuThF","19","0","0","Martin Ocon-Gamarra","THH205"
"","","","","Lecture","62064R","001","2:00-3:50pm","Mon, Wed","19","0","0","","DMC206"
"","","","","Lecture","62065R","001","8:00-9:50am","Mon, Wed","19","0","0","Maria Mercedes Fages Agudo","THH115"
"","","","","Lecture","62066R","001","10:00-11:50am","Tue, Thu","19","0","0","David Zarazua","THH113"
"","","","","Lecture","62068R","001","10:00-11:50am","Tue, Thu","19","0","0","Karen Perez","THH214"
"SPAN-220","Spanish III","P","4.0 units","Lecture","62071R","001","11:00-11:50am","MWThF","19","0","0","Consuelo Siguenza-Ortiz","THH207"
"","","","","Lecture","62073R","001","8:00-9:50am","Tue, Thu","19","0","0","Lori Mesrobian","WPH101"
