"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SWMS-105g","Identity Development of the Contemporary Female","","4.0 units","Lecture","34901R","001","5:30-6:50pm","Tue, Thu","40","0","0","","THH118"
"SWMS-210mgw","Social Analysis of Gender","","4.0 units","Lecture","34900R","001","3:30-4:50pm","Mon, Wed","150","0","0","Chris Belcher","THH201"
"","","","","Discussion","34906R","001","9:00-9:50am","Friday","25","0","0","","DMC109"
"","","","","Discussion","34907R","001","10:00-10:50am","Friday","25","0","0","","THH112"
"","","","","Discussion","34908R","001","11:00-11:50am","Friday","25","0","0","","DMC211"
"","","","","Discussion","34909R","001","12:00-12:50pm","Friday","25","0","0","","THH108"
"","","","","Discussion","34910R","001","1:00-1:50pm","Friday","25","0","0","","DMC200"
"","","","","Discussion","34911R","001","2:00-2:50pm","Friday","25","0","0","","DMC200"
"SWMS-215gw","Introduction to Gender and Sexuality: International Perspect","","4.0 units","Lecture","34903R","001","9:30-10:50am","Tue, Thu","50","0","0","Atia Sattar","ZHS352"
"","","","","Discussion","34904R","001","11:00-11:50am","Friday","25","0","0","","WPH107"
"","","","","Discussion","34905R","001","12:00-12:50pm","Friday","25","0","0","","DMC154"
"SWMS-219gp","Introduction to Feminist Theory","","4.0 units","Lecture","34912R","001","12:30-1:50pm","Tue, Thu","150","0","0","Diana Blaine","THH202"
"","","","","Discussion","34913R","001","9:00-9:50am","Friday","25","0","0","","THHB10"
"","","","","Discussion","34914R","001","10:00-10:50am","Friday","25","0","0","","WPH203"
"","","","","Discussion","34916R","001","11:00-11:50am","Friday","25","0","0","","THH108"
"","","","","Discussion","34917R","001","12:00-12:50pm","Friday","25","0","0","","SOSB37"
"","","","","Discussion","34926R","001","1:00-1:50pm","Friday","25","0","0","","DMC154"
"","","","","Discussion","34928R","001","2:00-2:50pm","Friday","25","0","0","","DMC154"
"SWMS-306","Contemporary Issues in LGBTQ Studies","P","4.0 units","Lecture","34920R","001","9:30-10:50am","Tue, Thu","15","0","0","Eli Dunn",""
"SWMS-308","Advanced Gender Theory","P","4.0 units","Lecture","34921R","001","11:00-12:20pm","Tue, Thu","20","0","0","Julie Van Dam","THH105"
"SWMS-311","Gender and Sexuality Studies: Internship","M","2.0-8.0 units, max 8","Lecture","34923D","001","TBA","","15","0","0","Diana Blaine","OFFICE"
"SWMS-316","Gender and Global Issues","","4.0 units","Lecture","37803R","001","8:30-9:50am","Mon, Wed","48","0","0","Sara Angevine","SOSB46"
"SWMS-325","The Science of Sex Differences: A Gender and Sexuality Studi","P","4.0 units","Lecture","34925R","001","3:30-4:50pm","Tue, Thu","15","0","0","Sunyoung Park","SOSB43"
"SWMS-336","Health, Gender and Ethnicity","P","4.0 units","Lecture","34927R","001","11:00-12:20pm","Tue, Thu","20","0","0","Atia Sattar",""
"SWMS-344mg","Sexual/Textual Diversity","","4.0 units","Lecture","32745R","001","3:30-4:50pm","Mon, Wed","19","0","0","Sarah Kessler","DMC260"
"SWMS-355","Transgender Studies","P","4.0 units","Lecture","34935R","001","8:00-9:20am","Tue, Thu","20","0","0","Eli Dunn","DMC211"
"SWMS-374mg","Women Writers in Europe and America","","4.0 units","Lecture","22040R","001","11:00-12:20pm","Tue, Thu","50","0","0","Margaret Rosenthal","THH114"
"","","","","Discussion","22041R","001","10:00-10:50am","Friday","25","0","0","","DMC200"
"","","","","Discussion","22042R","001","11:00-11:50am","Friday","25","0","0","","MRF229"
"SWMS-378","Gender and Sexuality in Literary Theory","","4.0 units","Lecture","22037R","001","12:00-1:50pm","Mon, Wed","19","0","0","Mia Du Plessis","DMC210"
"SWMS-381","Sex, Power, and Politics","","4.0 units","Lecture","52010R","001","12:00-1:20pm","Mon, Wed","48","0","0","Christian Phillips","VPD105"
"SWMS-383","French Women Writers","","4.0 units","Lecture","34284R","001","11:00-12:20pm","Tue, Thu","19","0","0","Antonia Szabari","DMC157"
"SWMS-395m","Gender, Media and Communication","","4.0 units","Lecture-Discussion","20600R","001","12:30-1:50pm","Tue, Thu","25","0","0","Daniela Baroffio","ASC240"
"SWMS-410","Senior Seminar in Gender and Sexuality Studies","P","4.0 units","Lecture","34951D","001","2:00-4:50pm","Wednesday","15","0","0","Jane Junn","SOSB41"
"SWMS-412","Gender, Sexuality and Media","","4.0 units, max 8","Lecture","18196R","001","10:00-1:50pm","Monday","20","0","0","","SCA316"
"SWMS-442m","Women's Spaces in History: 'Hussies,' 'Harems,' and 'Housewi","","4.0 units","Lecture","11256R","060","12:30-3:20pm","Tuesday","20","0","0","","ONLINE"
"SWMS-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","34967D","001","TBA","","10","0","0","Diana Blaine","OFFICE"
"SWMS-588","Seminar in Gay, Lesbian, Bisexual and Transgender Studies","","4.0 units","Lecture","34984R","001","2:00-4:50pm","Monday","15","0","0","Karen Tongson","SOSB41"
"SWMS-590","Directed Research","","1.0-12.0 units","Lecture","34988D","001","TBA","","10","0","0","Karen Tongson","OFFICE"
