"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"THTR-101","Introduction to Acting","","4.0 units","Lecture","62602R","001","8:00-9:50am","Mon, Wed","18","0","0","","DABB5"
"","","","","Lecture","62607R","001","8:00-9:50am","Mon, Wed","18","0","0","","MCC112"
"","","","","Lecture","62610R","001","6:00-7:50pm","Tue, Thu","18","0","0","","MCC109"
"","","","","Lecture","62601R","001","8:00-9:50am","Mon, Wed","18","0","0","","PED206"
"","","","","Lecture","62603R","001","8:00-9:50am","Mon, Wed","18","0","0","","DAB213"
"","","","","Lecture","62604D","001","8:00-9:50am","Tue, Thu","18","0","0","","DABB5"
"","","","","Lecture","62605R","001","8:00-9:50am","Mon, Wed","18","0","0","","DAB109"
"","","","","Lecture","62608R","001","8:00-9:50am","Tue, Thu","18","0","0","","MCC112"
"THTR-105","Introduction to Screen Acting","P","2.0 units","Lecture","62609R","001","8:00-9:50am","Friday","12","0","0","","DABB10"
"THTR-115a","Movement I","M","4.0 units","Lecture","62621D","001","8:00-9:50am","Mon, Wed","18","0","0","","MCC107"
"","","","","Lab","62622R","001","2:00-3:50pm","Wednesday","18","0","0","","MCC111"
"THTR-120aL","Acting I","","4.0 units","Lecture","62625D","001","8:00-9:50am","Tue, Thu","18","0","0","","DAB109"
"","","","","Lecture","62627D","001","2:00-3:50pm","Mon, Wed","18","0","0","","MCC107"
"","","","","Lab","62626D","001","10:00-11:50am","Friday","18","0","0","","MCC112"
"","","","","Lab","62629D","001","9:00-10:50am","Friday","18","0","0","","MCC111"
"THTR-122","Improvisation and Theatre Games","","2.0 units, max 4","Lecture","62636R","001","6:00-7:50pm","Monday","20","0","0","","MCC109"
"","","","","Lecture","62637R","001","4:00-5:50pm","Friday","20","0","0","","DABB5"
"","","","","Lecture","62638R","001","12:00-1:50pm","Thursday","20","0","0","","MCC111"
"","","","","Lecture","62631R","001","2:00-3:50pm","Tuesday","20","0","0","","MCC111"
"","","","","Lecture","62632R","001","2:00-3:50pm","Thursday","20","0","0","","MCC111"
"","","","","Lecture","62633R","001","4:00-5:50pm","Tuesday","20","0","0","","PED202"
"THTR-125","Text Studies for Production","","4.0 units","Lecture","62639R","001","12:00-1:50pm","Mon, Wed","26","0","0","","SOSB37"
"","","","","Lecture","62641R","001","12:00-1:50pm","Mon, Wed","25","0","0","","SOSB41"
