"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"WRIT-150","Writing and Critical Reasoning--Thematic Approaches","","4.0 units"
"","Human Values and Belief Systems","","4.0","Lecture","64200R","001","8:30-9:50am","Mon, Wed","3","0","0","Sean Cosgrove","GFS229"
"","Identity and Diversity in American Contexts","","4.0","Lecture","64201R","001","8:00-9:20am","Tue, Thu","3","0","0","Brett Gordon","GFS114"
"","Issues in Law and Social Justice","","4.0","Lecture","64202R","001","8:00-9:20am","Tue, Thu","3","0","0","Taiyaba Husain","THH115"
"","Human Values and Belief Systems","","4.0","Lecture","64204R","001","8:00-9:20am","Tue, Thu","3","0","0","Amber Foster","THH117"
"","Human Values and Belief Systems","","4.0","Lecture","64210R","001","8:30-9:50am","Mon, Wed","3","0","0","Sandra Ross","GFS223"
"","Education and Intellectual Development","","4.0","Lecture","64220R","001","8:00-9:20am","Tue, Thu","3","0","0","Brent Chappelow","THH209"
"","Human Values and Belief Systems","","4.0","Lecture","64225R","001","8:00-9:20am","Tue, Thu","3","0","0","Evelyn Boria-Rivera","GFS112"
"","Technology &amp; Social Change","","4.0","Lecture","64235R","001","8:00-9:20am","Tue, Thu","3","0","0","Patti Taylor","THH207"
"","Health and Healing","","4.0","Lecture","64250R","001","9:00-9:50am","MWF","3","0","0","Vanessa Osborne","GFS204"
"","Issues in Sustainability","","4.0","Lecture","64255R","001","9:00-9:50am","MWF","3","0","0","Rochelle Gold","GFS113"
"","Education and Intellectual Development","","4.0","Lecture","64260R","001","9:00-9:50am","MWF","3","0","0","Cory Nelson","GFS220"
"","Health and Healing","","4.0","Lecture","64265R","001","9:00-9:50am","MWF","3","0","0","Rowan Bayne","GFS205"
"","Globalization: Current Issues &amp; Cross-Cultural Perspectives.","","4.0","Lecture","64275R","001","9:00-9:50am","MWF","3","0","0","Noor Hashem","GFS212"
"","Issues in Work and Working Life","","4.0","Lecture","64280R","001","9:00-9:50am","MWF","3","0","0","Ryan Boyd","GFS210"
"","Issues in Sustainability","","4.0","Lecture","64285R","001","9:00-9:50am","MWF","3","0","0","Corinna Schroeder","GFS217"
"","Issues in Contemporary Economics","","4.0","Lecture","64290R","001","9:00-9:50am","MWF","3","0","0","Rory Lukins","GFS114"
"","Technology &amp; Social Change","","4.0","Lecture","64295R","001","9:00-9:50am","MWF","3","0","0","Eric Rawson","GFS218"
"","Education and Intellectual Development","","4.0","Lecture","64310R","001","9:30-10:50am","Tue, Thu","3","0","0","Brent Chappelow","GFS201"
"","Human Values and Belief Systems","","4.0","Lecture","64315R","001","9:30-10:50am","Tue, Thu","3","0","0","Amber Foster","SOSB47"
